Branch,First Name,Last Name,District,Party,Counties
Senate,George,Barker,39,D,"Fairfax County, Prince William County, Alexandria City, "
Senate,Richard,Black,13,R,"Loudoun County, Prince William County, "
Senate,Jennifer,Boysko,33,D,"Fairfax County, Loudoun County, "
Senate,Charles,Carrico,40,R,"Lee County, Scott County, Washington County, Bristol City, Smyth County, Wise County, Grayson County, Wythe County, "
Senate,Benton,Chafin,38,R,"Bland County, Buchanan County, Dickenson County, Russell County, Tazewell County, Smyth County, Wise County, Pulaski County, Norton City, Radford City, Montgomery County, "
Senate,Amanda,Chase,11,R,"Chesterfield County, Colonial Heights City, Amelia County, "
Senate,John,Cosgrove,14,R,"Chesapeake City, Virginia Beach City, Isle of Wight County, Southampton County, Franklin City, Portsmouth City, Suffolk City, "
Senate,Rosalyn,Dance,16,D,"Chesterfield County, Prince George County, Richmond City, Petersburg City, Dinwiddie County, Hopewell City, "
Senate,William,DeSteph,8,R,"Virginia Beach City, "
Senate,Creigh,Deeds,25,D,"Albemarle County, Alleghany County, Bath County, Buena Vista City, Charlottesville City, Covington City, Nelson County, Highland County, Rockbridge County, Lexington City, "
Senate,Siobhan,Dunnavant,12,R,"Henrico County, Hanover County, "
Senate,Adam,Ebbin,30,D,"Alexandria City, Arlington County, Fairfax County, "
Senate,John,Edwards,21,D,"Giles County, Roanoke City, Montgomery County, Roanoke County, "
Senate,Barbara,Favola,31,D,"Arlington County, Fairfax County, Loudoun County, "
Senate,Emmett,Hanger,24,R,"Rockingham County, Augusta County, Greene County, Staunton City, Waynesboro City, Madison County, Culpeper County, "
Senate,Janet,Howell,32,D,"Fairfax County, Arlington County, "
Senate,Lynwood,Lewis,6,D,"Accomack County, Mathews County, Northampton County, Norfolk City, Virginia Beach City, "
Senate,Mamie,Locke,2,D,"Hampton City, Newport News City, Portsmouth City, York, "
Senate,Louise,Lucas,18,D,"Brunswick County, Chesapeake City, Franklin City, Isle of Wight County, Portsmouth City, Southampton County, Suffolk City, Emporia City, Greensville County, Sussex County, Surry County, "
Senate,David,Marsden,37,D,"Fairfax County, "
Senate,Monty,Mason,1,D,"Hampton City, Newport News City, York, Williamsburg City, James City County, Suffolk City, "
Senate,Jennifer,McClellan,9,D,"Charles City County, Henrico County, Richmond City, Hanover County, "
Senate,Ryan,McDougle,4,R,"Caroline County, Essex County, Middlesex County, Spotsylvania County, Lancaster County, Northumberland County, Richmond County, Hanover County, King George County, Westmoreland County, "
Senate,Jeremy,McPike,29,D,"Manassas City, Manassas Park City, Prince William County, "
Senate,Stephen,Newman,23,R,"Campbell County, Botetourt County, Craig County, Bedford County, Roanoke County, Lynchburg City, "
Senate,Thomas,Norment,3,R,"Gloucester County, New Kent County, King and Queen County, King William County, Poquoson City, Isle of Wight County, James City County, Surry County, York, Hampton City, Suffolk City, "
Senate,Mark,Obenshain,26,R,"Harrisonburg City, Page County, Rappahannock County, Shenandoah County, Warren County, Rockingham County, "
Senate,Mark,Peake,22,R,"Amherst County, Appomattox County, Buckingham County, Cumberland County, Fluvanna County, Goochland County, Prince Edward County, Louisa County, Lynchburg City, "
Senate,Chapman,Petersen,34,D,"Fairfax City, Fairfax County, "
