,State,County,TotalPop,UnderEighteen,SixtyFivePlus,PedAshtma,AAshthma,COPD,HeartDisease,Diabetes,Poverty,LC
0,AL,Autauga County,"55,504","13,286","8,392","1,753","4,625","4,563","5,072","5,938","7,390",36
1,AL,Baldwin County,"212,628","46,456","42,413","6,130","18,222","19,201","22,330","25,519","21,199",138
2,AL,Barbour County,"25,270","5,247","4,757",692,"2,190","2,228","2,550","2,925","7,414",16
3,AL,Bibb County,"22,668","4,671","3,632",616,"1,969","1,936","2,153","2,514","4,137",15
4,AL,Blount County,"58,013","13,546","10,351","1,787","4,873","4,998","5,712","6,586","7,343",38
5,AL,Bullock County,"10,309","2,135","1,631",281,894,877,974,"1,138","2,956",6
6,AL,Butler County,"19,825","4,507","3,877",594,"1,677","1,747","2,025","2,312","4,154",12
7,AL,Calhoun County,"114,728","24,999","19,862","3,299","9,823","9,876","11,169","12,922","19,832",74
8,AL,Chambers County,"33,713","7,126","6,432",940,"2,915","3,028","3,487","4,007","6,036",21
9,AL,Cherokee County,"25,857","5,097","5,848",672,"2,280","2,494","2,959","3,356","4,381",16
10,AL,Chilton County,"44,067","10,521","7,209","1,388","3,675","3,690","4,157","4,829","7,303",28
11,AL,Choctaw County,"12,945","2,601","2,944",343,"1,135","1,241","1,474","1,668","3,031",8
12,AL,Clarke County,"24,083","5,269","4,643",695,"2,063","2,156","2,493","2,860","5,541",15
13,AL,Clay County,"13,367","2,750","2,706",362,"1,165","1,233","1,435","1,642","2,363",8
14,AL,Cleburne County,"14,900","3,419","2,847",451,"1,259","1,319","1,527","1,751","2,365",9
15,AL,Coffee County,"51,874","12,307","8,593","1,624","4,331","4,335","4,886","5,664","7,954",34
16,AL,Colbert County,"54,500","11,451","10,682","1,511","4,718","4,916","5,684","6,509","8,324",35
17,AL,Conecuh County,"12,469","2,622","2,733",346,"1,080","1,166","1,377","1,561","2,939",8
18,AL,Coosa County,"10,754","1,764","2,448",232,989,"1,085","1,282","1,463","1,823",7
19,AL,Covington County,"37,092","8,098","7,665","1,068","3,180","3,386","3,965","4,516","6,447",24
20,AL,Crenshaw County,"13,871","3,202","2,597",422,"1,169","1,217","1,404","1,612","2,722",9
21,AL,Cullman County,"82,755","18,596","15,135","2,454","7,028","7,204","8,247","9,487","11,256",54
