,CD #.1,County.1,"County Pop.
in CD","% of CD
in County"
0,1,Butte,220000,0.313
1,1,Glenn,2321,0.003
2,1,Lassen,34895,0.05
3,1,Modoc,9686,0.014
4,1,Nevada,82378,0.117
5,1,Placer,44792,0.064
6,1,Plumas,20007,0.028
7,1,Shasta,177223,0.252
8,1,Sierra,3240,0.005
9,1,Siskiyou,44900,0.064
10,1,Tehama,63463,0.09
11,2,Del Norte,28610,0.041
12,2,Humboldt,134623,0.192
13,2,Marin,252409,0.359
14,2,Mendocino,87841,0.125
15,2,Sonoma,185636,0.264
16,2,Trinity,13786,0.02
17,3,Colusa,21419,0.03
18,3,Glenn,25801,0.037
19,3,Lake,33614,0.048
20,3,Sacramento,35921,0.051
21,3,Solano,267184,0.38
22,3,Sutter,94737,0.135
23,3,Yolo,152105,0.216
24,3,Yuba,72155,0.103
25,4,Alpine,1175,0.002
26,4,Amador,38091,0.054
27,4,Calaveras,45578,0.065
28,4,El Dorado,181058,0.258
29,4,Fresno,14912,0.021
30,4,Madera,28450,0.04
31,4,Mariposa,18251,0.026
32,4,Nevada,16386,0.023
33,4,Placer,303640,0.432
34,4,Tuolumne,55365,0.079
35,5,Contra Costa,90968,0.129
36,5,Lake,31051,0.044
37,5,Napa,136484,0.194
38,5,Solano,146160,0.208
39,5,Sonoma,298242,0.424
40,6,Sacramento,654118,0.931
41,6,Yolo,48744,0.069
42,7,Sacramento,702917,1.0
43,8,Inyo,18546,0.026
44,8,Mono,14202,0.02
45,8,San Bernardino,670153,0.953
46,9,Contra Costa,180218,0.256
47,9,Sacramento,25832,0.037
48,9,San Joaquin,496854,0.707
49,10,San Joaquin,188452,0.268
50,10,Stanislaus,514453,0.732
51,11,Contra Costa,702906,1.0
52,12,San Francisco,702905,1.0
53,13,Alameda,702906,1.0
54,14,San Francisco,102330,0.146
55,14,San Mateo,600575,0.854
56,15,Alameda,627971,0.893
57,15,Contra Costa,74933,0.107
58,16,Fresno,324696,0.462
59,16,Madera,122415,0.174
60,16,Merced,255793,0.364
61,17,Alameda,179394,0.255
62,17,Santa Clara,523513,0.745
63,18,San Mateo,117876,0.168
64,18,Santa Clara,535700,0.762
65,18,Santa Cruz,49327,0.07
66,19,Santa Clara,702904,1.0
67,20,Monterey,415057,0.59
68,20,San Benito,55269,0.079
69,20,Santa Clara,19525,0.028
70,20,Santa Cruz,213055,0.303
71,21,Fresno,201449,0.287
72,21,Kern,313718,0.446
73,21,Kings,152982,0.218
74,21,Tulare,34755,0.049
75,22,Fresno,389393,0.554
76,22,Tulare,313512,0.446
77,23,Kern,525913,0.748
78,23,Los Angeles,83079,0.118
79,23,Tulare,93912,0.134
80,24,San Luis Obispo,269637,0.384
81,24,Santa Barbara,423895,0.603
82,24,Ventura,9372,0.013
83,25,Los Angeles,585642,0.833
84,25,Ventura,117262,0.167
85,26,Los Angeles,8270,0.012
86,26,Ventura,694635,0.988
87,27,Los Angeles,670024,0.953
88,27,San Bernardino,32881,0.047
89,28,Los Angeles,702904,1.0
90,29,Los Angeles,702905,1.0
91,30,Los Angeles,700855,0.997
92,30,Ventura,2049,0.003
93,31,San Bernardino,702909,1.0
94,32,Los Angeles,702905,1.0
95,33,Los Angeles,702904,1.0
96,34,Los Angeles,702904,1.0
97,35,Los Angeles,149058,0.212
98,35,San Bernardino,553847,0.788
99,36,Riverside,702905,1.0
100,37,Los Angeles,702904,1.0
101,38,Los Angeles,687337,0.978
102,38,Orange,15571,0.022
103,39,Los Angeles,195205,0.278
104,39,Orange,432280,0.615
105,39,San Bernardino,75420,0.107
106,40,Los Angeles,702904,1.0
107,41,Riverside,702967,1.0
108,42,Riverside,702847,1.0
109,43,Los Angeles,702904,1.0
110,44,Los Angeles,702904,1.0
111,45,Orange,702921,1.0
112,46,Orange,702942,1.0
113,47,Los Angeles,412997,0.588
114,47,Orange,289844,0.412
115,48,Orange,702916,1.0
116,49,Orange,163758,0.233
117,49,San Diego,539146,0.767
118,50,Riverside,80922,0.115
119,50,San Diego,621981,0.885
120,51,Imperial,174528,0.248
121,51,San Diego,528378,0.752
122,52,San Diego,702904,1.0
123,53,San Diego,702904,1.0
