,CD #.1,County.1,"County Pop.
in CD","% of CD
in County"
0,1,Hartford,647876,0.906
1,1,Litchfield,38914,0.054
2,1,Middlesex,28030,0.039
3,2,Hartford,68674,0.096
4,2,Middlesex,82702,0.116
5,2,New Haven,18269,0.026
6,2,New London,274055,0.383
7,2,Tolland,152691,0.214
8,2,Windham,118428,0.166
9,3,Fairfield,53742,0.075
10,3,Middlesex,54944,0.077
11,3,New Haven,606133,0.848
12,4,Fairfield,702136,0.982
13,4,New Haven,12683,0.018
14,5,Fairfield,160951,0.225
15,5,Hartford,177464,0.248
16,5,Litchfield,151013,0.211
17,5,New Haven,225392,0.315
