,CD #.1,County.1,"County Pop.
in CD","% of CD
in County"
0,1,Bacon,11096,0.016
1,1,Brantley,18411,0.027
2,1,Bryan,30233,0.044
3,1,Camden,50513,0.073
4,1,Charlton,12171,0.018
5,1,Chatham,265128,0.383
6,1,Clinch,6798,0.01
7,1,Echols,4034,0.006
8,1,Effingham,30877,0.045
9,1,Glynn,79626,0.115
10,1,Liberty,63453,0.092
11,1,Long,14464,0.021
12,1,Lowndes,5668,0.008
13,1,McIntosh,14333,0.021
14,1,Pierce,18758,0.027
15,1,Ware,36312,0.052
16,1,Wayne,30099,0.043
17,2,Baker,3451,0.005
18,2,Bibb,112650,0.163
19,2,Calhoun,6694,0.01
20,2,Chattahoochee,11267,0.016
21,2,Clay,3183,0.005
22,2,Crawford,12630,0.018
23,2,Crisp,23439,0.034
24,2,Decatur,27842,0.04
25,2,Dooly,14918,0.022
26,2,Dougherty,94565,0.137
27,2,Early,11008,0.016
28,2,Grady,25011,0.036
29,2,Lee,28298,0.041
30,2,Macon,14740,0.021
31,2,Marion,8742,0.013
32,2,Miller,6125,0.009
33,2,Mitchell,23498,0.034
34,2,Muscogee,145487,0.21
35,2,Peach,27695,0.04
36,2,Quitman,2513,0.004
37,2,Randolph,7719,0.011
38,2,Schley,5010,0.007
39,2,Seminole,8729,0.013
40,2,Stewart,6058,0.009
41,2,Sumter,32819,0.047
42,2,Talbot,6865,0.01
43,2,Taylor,8906,0.013
44,2,Terrell,9315,0.013
45,2,Webster,2799,0.004
46,3,Carroll,110527,0.16
47,3,Coweta,127317,0.184
48,3,Fayette,88905,0.128
49,3,Harris,32024,0.046
50,3,Heard,11834,0.017
51,3,Henry,60521,0.087
52,3,Lamar,18317,0.026
53,3,Meriwether,21992,0.032
54,3,Muscogee,44398,0.064
55,3,Pike,17869,0.026
56,3,Spalding,64073,0.093
57,3,Troup,67044,0.097
58,3,Upson,27153,0.039
59,4,DeKalb,354275,0.512
60,4,Gwinnett,173937,0.251
61,4,Newton,78548,0.114
62,4,Rockdale,85215,0.123
63,5,Clayton,103264,0.149
64,5,DeKalb,159596,0.231
65,5,Fulton,429116,0.62
66,6,Cobb,178647,0.258
67,6,DeKalb,178022,0.257
68,6,Fulton,335306,0.485
69,7,Forsyth,122706,0.177
70,7,Gwinnett,569270,0.823
71,8,Atkinson,8375,0.012
72,8,Ben Hill,17634,0.025
73,8,Berrien,19286,0.028
74,8,Bibb,42897,0.062
75,8,Bleckley,13063,0.019
76,8,Brooks,16243,0.023
77,8,Colquitt,45498,0.066
78,8,Cook,17212,0.025
79,8,Dodge,21796,0.031
80,8,Houston,139900,0.202
81,8,Irwin,9538,0.014
82,8,Jones,28669,0.041
83,8,Lanier,10078,0.015
84,8,Lowndes,103565,0.15
85,8,Monroe,26424,0.038
86,8,Pulaski,12010,0.017
87,8,Telfair,16500,0.024
88,8,Thomas,44720,0.065
89,8,Tift,40118,0.058
90,8,Turner,8930,0.013
91,8,Twiggs,9023,0.013
92,8,Wilcox,9255,0.013
93,8,Wilkinson,9563,0.014
94,8,Worth,21679,0.031
95,9,Banks,18395,0.027
96,9,Clarke,17178,0.025
97,9,Dawson,22330,0.032
98,9,Elbert,20166,0.029
99,9,Fannin,23682,0.034
100,9,Forsyth,52805,0.076
101,9,Franklin,22084,0.032
102,9,Gilmer,28292,0.041
103,9,Habersham,43041,0.062
104,9,Hall,179684,0.26
105,9,Hart,25213,0.036
106,9,Jackson,60485,0.087
107,9,Lumpkin,29966,0.043
108,9,Madison,28120,0.041
109,9,Pickens,19112,0.028
110,9,Rabun,16276,0.024
111,9,Stephens,26175,0.038
112,9,Towns,10471,0.015
113,9,Union,21356,0.031
114,9,White,27144,0.039
115,10,Baldwin,45720,0.066
116,10,Barrow,69367,0.1
117,10,Butts,23655,0.034
118,10,Clarke,99536,0.144
119,10,Columbia,15328,0.022
120,10,Glascock,3082,0.004
121,10,Greene,15994,0.023
122,10,Gwinnett,62114,0.09
123,10,Hancock,9429,0.014
124,10,Henry,45768,0.066
125,10,Jasper,13900,0.02
126,10,Jefferson,16930,0.024
127,10,Johnson,9980,0.014
128,10,Lincoln,7996,0.012
129,10,McDuffie,21875,0.032
130,10,Morgan,17868,0.026
131,10,Newton,21410,0.031
132,10,Oconee,32808,0.047
133,10,Oglethorpe,14899,0.022
134,10,Putnam,21218,0.031
135,10,Taliaferro,1717,0.002
136,10,Walton,83768,0.121
137,10,Warren,5834,0.008
138,10,Washington,21187,0.031
139,10,Wilkes,10593,0.015
140,11,Bartow,100157,0.145
141,11,Cherokee,214346,0.31
142,11,Cobb,337811,0.488
143,11,Fulton,39661,0.057
144,12,Appling,18236,0.026
145,12,Bulloch,70217,0.101
146,12,Burke,23316,0.034
147,12,Candler,10998,0.016
148,12,Coffee,42356,0.061
149,12,Columbia,108725,0.157
150,12,Effingham,21373,0.031
151,12,Emanuel,22598,0.033
152,12,Evans,11000,0.016
153,12,Jeff Davis,15068,0.022
154,12,Jenkins,8340,0.012
155,12,Laurens,48434,0.07
156,12,Montgomery,9123,0.013
157,12,Richmond,200549,0.29
158,12,Screven,14593,0.021
159,12,Tattnall,25520,0.037
160,12,Toombs,27223,0.039
161,12,Treutlen,6885,0.01
162,12,Wheeler,7421,0.011
163,13,Clayton,156160,0.226
164,13,Cobb,171620,0.248
165,13,Douglas,132403,0.191
166,13,Fayette,17662,0.026
167,13,Fulton,116498,0.168
168,13,Henry,97633,0.141
169,14,Catoosa,63942,0.092
170,14,Chattooga,26015,0.038
171,14,Dade,16633,0.024
172,14,Floyd,96317,0.139
173,14,Gordon,55186,0.08
174,14,Haralson,28780,0.042
