,CD #.1,County.1,"County Pop.
in CD","% of CD
in County"
0,1,Lake,496005,0.688
1,1,La Porte,60074,0.083
2,1,Porter,164343,0.228
3,2,Elkhart,197559,0.274
4,2,Fulton,20836,0.029
5,2,Kosciusko,30097,0.042
6,2,La Porte,51393,0.071
7,2,Marshall,47051,0.065
8,2,Miami,36903,0.051
9,2,Pulaski,13402,0.019
10,2,St. Joseph,266931,0.371
11,2,Starke,23363,0.032
12,2,Wabash,32888,0.046
13,3,Adams,34387,0.048
14,3,Allen,355329,0.493
15,3,Blackford,3069,0.004
16,3,De Kalb,42223,0.059
17,3,Huntington,37124,0.052
18,3,Jay,21253,0.03
19,3,Kosciusko,47261,0.066
20,3,Lagrange,37128,0.052
21,3,Noble,47536,0.066
22,3,Steuben,34185,0.047
23,3,Wells,27636,0.038
24,3,Whitley,33292,0.046
25,4,Benton,8854,0.012
26,4,Boone,31073,0.043
27,4,Carroll,20155,0.028
28,4,Cass,38966,0.054
29,4,Clinton,33224,0.046
30,4,Fountain,17240,0.024
31,4,Hendricks,145448,0.202
32,4,Howard,72765,0.101
33,4,Jasper,33478,0.046
34,4,Montgomery,38124,0.053
35,4,Morgan,22957,0.032
36,4,Newton,14244,0.02
37,4,Putnam,37963,0.053
38,4,Tippecanoe,172780,0.24
39,4,Warren,8508,0.012
40,4,White,24643,0.034
41,5,Blackford,9697,0.013
42,5,Boone,25567,0.035
43,5,Grant,70061,0.097
44,5,Hamilton,274569,0.381
45,5,Howard,9987,0.014
46,5,Madison,131636,0.183
47,5,Marion,182970,0.254
48,5,Tipton,15936,0.022
49,6,Bartholomew,76794,0.107
50,6,Dearborn,50047,0.069
51,6,Decatur,25740,0.036
52,6,Delaware,117671,0.163
53,6,Fayette,24277,0.034
54,6,Franklin,23087,0.032
55,6,Hancock,70002,0.097
56,6,Henry,49462,0.069
57,6,Jefferson,32428,0.045
58,6,Jennings,28525,0.04
59,6,Ohio,6128,0.009
60,6,Randolph,26171,0.036
61,6,Ripley,28818,0.04
62,6,Rush,17392,0.024
63,6,Scott,12398,0.017
64,6,Shelby,44436,0.062
65,6,Switzerland,10613,0.015
66,6,Union,7516,0.01
67,6,Wayne,68917,0.096
68,7,Marion,720423,1.0
69,8,Clay,26890,0.037
70,8,Crawford,1667,0.002
71,8,Daviess,31648,0.044
72,8,Dubois,41889,0.058
73,8,Gibson,33503,0.047
74,8,Greene,33165,0.046
75,8,Knox,38440,0.053
76,8,Martin,10334,0.014
77,8,Owen,21575,0.03
78,8,Parke,17339,0.024
79,8,Perry,19338,0.027
80,8,Pike,12845,0.018
81,8,Posey,25910,0.036
82,8,Spencer,20952,0.029
83,8,Sullivan,21475,0.03
84,8,Vanderburgh,179703,0.249
85,8,Vermillion,16212,0.023
86,8,Vigo,107848,0.15
87,8,Warrick,59689,0.083
88,9,Brown,15242,0.021
89,9,Clark,110232,0.153
90,9,Crawford,9046,0.013
91,9,Floyd,74578,0.104
92,9,Harrison,39364,0.055
93,9,Jackson,42376,0.059
94,9,Johnson,139654,0.194
95,9,Lawrence,46134,0.064
96,9,Monroe,137974,0.192
97,9,Morgan,45937,0.064
98,9,Orange,19840,0.028
99,9,Scott,11783,0.016
100,9,Washington,28262,0.039
