,CD #.1,County.1,"County Pop.
in CD","% of CD
in County"
0,1,Adair,18656,0.026
1,1,Allen,19956,0.028
2,1,Ballard,8249,0.011
3,1,Caldwell,12984,0.018
4,1,Calloway,37191,0.051
5,1,Carlisle,5104,0.007
6,1,Casey,15955,0.022
7,1,Christian,73955,0.102
8,1,Clinton,10272,0.014
9,1,Crittenden,9315,0.013
10,1,Cumberland,6856,0.009
11,1,Fulton,6813,0.009
12,1,Graves,37121,0.051
13,1,Henderson,46250,0.064
14,1,Hickman,4902,0.007
15,1,Hopkins,46920,0.065
16,1,Livingston,9519,0.013
17,1,Logan,26835,0.037
18,1,Lyon,8314,0.011
19,1,McCracken,65565,0.091
20,1,McLean,9531,0.013
21,1,Marion,19820,0.027
22,1,Marshall,31448,0.043
23,1,Metcalfe,10099,0.014
24,1,Monroe,10963,0.015
25,1,Muhlenberg,31499,0.044
26,1,Ohio,23842,0.033
27,1,Russell,17565,0.024
28,1,Simpson,17327,0.024
29,1,Taylor,24512,0.034
30,1,Todd,12460,0.017
31,1,Trigg,14339,0.02
32,1,Union,15007,0.021
33,1,Washington,413,0.001
34,1,Webster,13621,0.019
35,2,Barren,42173,0.058
36,2,Boyle,28432,0.039
37,2,Breckinridge,20059,0.028
38,2,Bullitt,74319,0.103
39,2,Butler,12690,0.018
40,2,Daviess,96656,0.134
41,2,Edmonson,12161,0.017
42,2,Garrard,16912,0.023
43,2,Grayson,25746,0.036
44,2,Green,11258,0.016
45,2,Hancock,8565,0.012
46,2,Hardin,105543,0.146
47,2,Hart,18199,0.025
48,2,Jessamine,12405,0.017
49,2,Larue,14193,0.02
50,2,Lincoln,5,0.0
51,2,Meade,28602,0.04
52,2,Mercer,21331,0.029
53,2,Nelson,43437,0.06
54,2,Spencer,5360,0.007
55,2,Warren,113792,0.157
56,2,Washington,11304,0.016
57,3,Jefferson,723171,1.0
58,4,Boone,118811,0.164
59,4,Boyd,40044,0.055
60,4,Bracken,8488,0.012
61,4,Campbell,90336,0.125
62,4,Carroll,10811,0.015
63,4,Gallatin,8589,0.012
64,4,Grant,24662,0.034
65,4,Greenup,36910,0.051
66,4,Harrison,11787,0.016
67,4,Henry,15416,0.021
68,4,Jefferson,17925,0.025
69,4,Kenton,159720,0.221
70,4,Lewis,13870,0.019
71,4,Mason,17490,0.024
72,4,Oldham,60316,0.083
73,4,Owen,10841,0.015
74,4,Pendleton,14877,0.021
75,4,Shelby,42074,0.058
76,4,Spencer,11701,0.016
77,4,Trimble,8809,0.012
78,5,Bell,28691,0.04
79,5,Boyd,9498,0.013
80,5,Breathitt,13878,0.019
81,5,Carter,27720,0.038
82,5,Clay,21730,0.03
83,5,Elliott,7852,0.011
84,5,Floyd,39451,0.055
85,5,Harlan,29278,0.04
86,5,Jackson,13494,0.019
87,5,Johnson,23356,0.032
88,5,Knott,16346,0.023
89,5,Knox,31883,0.044
90,5,Laurel,58849,0.081
91,5,Lawrence,15860,0.022
92,5,Lee,7887,0.011
93,5,Leslie,11310,0.016
94,5,Letcher,24519,0.034
95,5,Lincoln,24737,0.034
96,5,McCreary,18306,0.025
97,5,Magoffin,13333,0.018
98,5,Martin,12929,0.018
99,5,Morgan,13923,0.019
100,5,Owsley,4755,0.007
101,5,Perry,28712,0.04
102,5,Pike,65024,0.09
103,5,Pulaski,63063,0.087
104,5,Rockcastle,17056,0.024
105,5,Rowan,23333,0.032
106,5,Wayne,20813,0.029
107,5,Whitley,35637,0.049
108,6,Anderson,21421,0.03
109,6,Bath,11591,0.016
110,6,Bourbon,19985,0.028
111,6,Clark,35613,0.049
112,6,Estill,14672,0.02
113,6,Fayette,295803,0.409
114,6,Fleming,14348,0.02
115,6,Franklin,49285,0.068
116,6,Harrison,7059,0.01
117,6,Jessamine,36181,0.05
118,6,Madison,82916,0.115
119,6,Menifee,6306,0.009
120,6,Montgomery,26499,0.037
121,6,Nicholas,7135,0.01
122,6,Powell,12613,0.017
123,6,Robertson,2282,0.003
124,6,Scott,47173,0.065
125,6,Wolfe,7355,0.01
126,6,Woodford,24939,0.034
