,CD #.1,County.1,"County Pop.
in CD","% of CD
in County"
0,1,St. Louis,429324,0.573
1,1,St. Louis city,319294,0.427
2,2,Jefferson,44106,0.059
3,2,St. Charles,134878,0.18
4,2,St. Louis,569630,0.761
5,3,Callaway,44332,0.059
6,3,Camden,26722,0.036
7,3,Cole,75990,0.102
8,3,Franklin,101492,0.136
9,3,Gasconade,15222,0.02
10,3,Jefferson,114133,0.152
11,3,Lincoln,52566,0.07
12,3,Maries,9176,0.012
13,3,Miller,24748,0.033
14,3,Montgomery,12236,0.016
15,3,Osage,13878,0.019
16,3,St. Charles,225607,0.301
17,3,Warren,32513,0.043
18,4,Audrain,19204,0.026
19,4,Barton,12402,0.017
20,4,Bates,17049,0.023
21,4,Benton,19056,0.025
22,4,Boone,162642,0.217
23,4,Camden,17280,0.023
24,4,Cass,99478,0.133
25,4,Cedar,13982,0.019
26,4,Cooper,17601,0.024
27,4,Dade,7883,0.011
28,4,Dallas,16777,0.022
29,4,Henry,22272,0.03
30,4,Hickory,9627,0.013
31,4,Howard,10144,0.014
32,4,Jackson,21,0.0
33,4,Johnson,52595,0.07
34,4,Laclede,35571,0.048
35,4,Moniteau,15607,0.021
36,4,Morgan,20565,0.027
37,4,Pettis,42201,0.056
38,4,Pulaski,52274,0.07
39,4,Randolph,25414,0.034
40,4,St. Clair,9805,0.013
41,4,Vernon,21159,0.028
42,4,Webster,28028,0.037
43,5,Clay,73731,0.098
44,5,Jackson,594619,0.794
45,5,Lafayette,33381,0.045
46,5,Ray,23494,0.031
47,5,Saline,23370,0.031
48,6,Adair,25607,0.034
49,6,Andrew,17291,0.023
50,6,Atchison,5685,0.008
51,6,Audrain,6325,0.008
52,6,Buchanan,89201,0.119
53,6,Caldwell,9424,0.013
54,6,Carroll,9295,0.012
55,6,Chariton,7831,0.01
56,6,Clark,7139,0.01
57,6,Clay,148208,0.198
58,6,Clinton,20743,0.028
59,6,Daviess,8433,0.011
60,6,DeKalb,12892,0.017
61,6,Gentry,6738,0.009
62,6,Grundy,10261,0.014
63,6,Harrison,8957,0.012
64,6,Holt,4912,0.007
65,6,Jackson,79518,0.106
66,6,Knox,4131,0.006
67,6,Lewis,10211,0.014
68,6,Linn,12761,0.017
69,6,Livingston,15195,0.02
70,6,Macon,15566,0.021
71,6,Marion,28781,0.038
72,6,Mercer,3785,0.005
73,6,Monroe,8840,0.012
74,6,Nodaway,23370,0.031
75,6,Pike,18516,0.025
76,6,Platte,89322,0.119
77,6,Putnam,4979,0.007
78,6,Ralls,10167,0.014
79,6,Schuyler,4431,0.006
80,6,Scotland,4843,0.006
81,6,Shelby,6373,0.009
82,6,Sullivan,6714,0.009
83,6,Worth,2171,0.003
84,7,Barry,35597,0.048
85,7,Christian,77422,0.103
86,7,Greene,275174,0.368
87,7,Jasper,117404,0.157
88,7,Lawrence,38634,0.052
89,7,McDonald,23083,0.031
90,7,Newton,58114,0.078
91,7,Polk,31137,0.042
92,7,Stone,32202,0.043
93,7,Taney,51675,0.069
94,7,Webster,8174,0.011
95,8,Bollinger,12363,0.017
96,8,Butler,42794,0.057
97,8,Cape Girardeau,75674,0.101
98,8,Carter,6265,0.008
99,8,Crawford,24696,0.033
100,8,Dent,15657,0.021
101,8,Douglas,13684,0.018
102,8,Dunklin,31953,0.043
103,8,Howell,40400,0.054
104,8,Iron,10630,0.014
105,8,Jefferson,60494,0.081
106,8,Madison,12226,0.016
107,8,Mississippi,14358,0.019
108,8,New Madrid,18956,0.025
109,8,Oregon,10881,0.015
110,8,Ozark,9723,0.013
111,8,Pemiscot,18296,0.024
112,8,Perry,18971,0.025
113,8,Phelps,45156,0.06
114,8,Reynolds,6696,0.009
115,8,Ripley,14100,0.019
116,8,Ste. Genevieve,18145,0.024
117,8,St. Francois,65359,0.087
118,8,Scott,39191,0.052
119,8,Shannon,8441,0.011
120,8,Stoddard,29968,0.04
121,8,Texas,26008,0.035
122,8,Washington,25195,0.034
123,8,Wayne,13521,0.018
124,8,Wright,18815,0.025
