,CD #.1,County.1,"County Pop.
in CD","% of CD
in County"
0,1,Alcorn,37057,0.05
1,1,Benton,8729,0.012
2,1,Calhoun,14962,0.02
3,1,Chickasaw,17392,0.023
4,1,Choctaw,8547,0.012
5,1,Clay,20634,0.028
6,1,DeSoto,161252,0.217
7,1,Itawamba,23401,0.032
8,1,Lafayette,47351,0.064
9,1,Lee,82910,0.112
10,1,Lowndes,59779,0.081
11,1,Marshall,37144,0.05
12,1,Monroe,36989,0.05
13,1,Oktibbeha,3161,0.004
14,1,Pontotoc,29957,0.04
15,1,Prentiss,25276,0.034
16,1,Tate,28886,0.039
17,1,Tippah,22232,0.03
18,1,Tishomingo,19593,0.026
19,1,Union,27134,0.037
20,1,Webster,10253,0.014
21,1,Winston,19198,0.026
22,2,Attala,19564,0.026
23,2,Bolivar,34145,0.046
24,2,Carroll,10597,0.014
25,2,Claiborne,9604,0.013
26,2,Coahoma,26151,0.035
27,2,Copiah,29449,0.04
28,2,Grenada,21906,0.03
29,2,Hinds,214647,0.289
30,2,Holmes,19198,0.026
31,2,Humphreys,9375,0.013
32,2,Issaquena,1406,0.002
33,2,Jefferson,7726,0.01
34,2,Leake,23805,0.032
35,2,Leflore,32317,0.044
36,2,Madison,26942,0.036
37,2,Montgomery,10925,0.015
38,2,Panola,34707,0.047
39,2,Quitman,8223,0.011
40,2,Sharkey,4916,0.007
41,2,Sunflower,29450,0.04
42,2,Tallahatchie,15378,0.021
43,2,Tunica,10778,0.015
44,2,Warren,48773,0.066
45,2,Washington,51137,0.069
46,2,Yalobusha,12678,0.017
47,2,Yazoo,28065,0.038
48,3,Adams,32297,0.044
49,3,Amite,13131,0.018
50,3,Clarke,14694,0.02
51,3,Covington,19568,0.026
52,3,Franklin,8118,0.011
53,3,Hinds,30638,0.041
54,3,Jasper,17062,0.023
55,3,Jefferson Davis,12487,0.017
56,3,Kemper,10456,0.014
57,3,Lauderdale,80261,0.108
58,3,Lawrence,12929,0.017
59,3,Lincoln,34869,0.047
60,3,Madison,68261,0.092
61,3,Neshoba,29676,0.04
62,3,Newton,21720,0.029
63,3,Noxubee,11545,0.016
64,3,Oktibbeha,44510,0.06
65,3,Pike,40404,0.054
66,3,Rankin,141617,0.191
67,3,Scott,28264,0.038
68,3,Simpson,27503,0.037
69,3,Smith,16491,0.022
70,3,Walthall,15443,0.021
71,3,Wilkinson,9878,0.013
72,4,Clarke,2038,0.003
73,4,Forrest,74934,0.101
74,4,George,22578,0.03
75,4,Greene,14400,0.019
76,4,Hancock,43929,0.059
77,4,Harrison,187105,0.252
78,4,Jackson,139668,0.188
79,4,Jones,67761,0.091
80,4,Lamar,55658,0.075
81,4,Marion,27088,0.037
82,4,Pearl River,55834,0.075
83,4,Perry,12250,0.017
84,4,Stone,17786,0.024
85,4,Wayne,20747,0.028
