,CD #.1,County.1,"County Pop.
in CD","% of CD
in County"
0,1,Burt,6858,0.011
1,1,Butler,8395,0.014
2,1,Cass,25241,0.041
3,1,Colfax,10515,0.017
4,1,Cuming,9139,0.015
5,1,Dixon,273,0.0
6,1,Dodge,36691,0.06
7,1,Lancaster,285407,0.469
8,1,Madison,34876,0.057
9,1,Otoe,15740,0.026
10,1,Platte,32237,0.053
11,1,Polk,5406,0.009
12,1,Sarpy,67169,0.11
13,1,Saunders,20780,0.034
14,1,Seward,16750,0.028
15,1,Stanton,6129,0.01
16,1,Thurston,6940,0.011
17,1,Washington,20234,0.033
18,2,Douglas,517110,0.849
19,2,Sarpy,91671,0.151
20,3,Adams,31364,0.052
21,3,Antelope,6685,0.011
22,3,Arthur,460,0.001
23,3,Banner,690,0.001
24,3,Blaine,478,0.001
25,3,Boone,5505,0.009
26,3,Box Butte,11308,0.019
27,3,Boyd,2099,0.003
28,3,Brown,3145,0.005
29,3,Buffalo,46102,0.076
30,3,Cedar,8852,0.015
31,3,Chase,3966,0.007
32,3,Cherry,5713,0.009
33,3,Cheyenne,9998,0.016
34,3,Clay,6542,0.011
35,3,Custer,10939,0.018
36,3,Dakota,21006,0.035
37,3,Dawes,9182,0.015
38,3,Dawson,24326,0.04
39,3,Deuel,1941,0.003
40,3,Dixon,5727,0.009
41,3,Dundy,2008,0.003
42,3,Fillmore,5890,0.01
43,3,Franklin,3225,0.005
44,3,Frontier,2756,0.005
45,3,Furnas,4959,0.008
46,3,Gage,22311,0.037
47,3,Garden,2057,0.003
48,3,Garfield,2049,0.003
49,3,Gosper,2044,0.003
50,3,Grant,614,0.001
51,3,Greeley,2538,0.004
52,3,Hall,58607,0.096
53,3,Hamilton,9124,0.015
54,3,Harlan,3423,0.006
55,3,Hayes,967,0.002
56,3,Hitchcock,2908,0.005
57,3,Holt,10435,0.017
58,3,Hooker,736,0.001
59,3,Howard,6274,0.01
60,3,Jefferson,7547,0.012
61,3,Johnson,5217,0.009
62,3,Kearney,6489,0.011
63,3,Keith,8368,0.014
64,3,Keya Paha,824,0.001
65,3,Kimball,3821,0.006
66,3,Knox,8701,0.014
67,3,Lincoln,36288,0.06
68,3,Logan,763,0.001
69,3,Loup,632,0.001
70,3,McPherson,539,0.001
71,3,Merrick,7845,0.013
72,3,Morrill,5042,0.008
73,3,Nance,3735,0.006
74,3,Nemaha,7248,0.012
75,3,Nuckolls,4500,0.007
76,3,Pawnee,2773,0.005
77,3,Perkins,2970,0.005
78,3,Phelps,9188,0.015
79,3,Pierce,7266,0.012
80,3,Red Willow,11055,0.018
81,3,Richardson,8363,0.014
82,3,Rock,1526,0.003
83,3,Saline,14200,0.023
84,3,Scotts Bluff,36970,0.061
85,3,Sheridan,5469,0.009
86,3,Sherman,3152,0.005
87,3,Sioux,1311,0.002
88,3,Thayer,5228,0.009
89,3,Thomas,647,0.001
90,3,Valley,4260,0.007
91,3,Wayne,9595,0.016
92,3,Webster,3812,0.006
93,3,Wheeler,818,0.001
94,3,York,13665,0.022
