,CD #.1,County.1,"County Pop.
in CD","% of CD
in County"
0,AL,Aurora,2710,0.003
1,AL,Beadle,17398,0.021
2,AL,Bennett,3431,0.004
3,AL,Bon Homme,7070,0.009
4,AL,Brookings,31965,0.039
5,AL,Brown,36531,0.045
6,AL,Brule,5255,0.006
7,AL,Buffalo,1912,0.002
8,AL,Butte,10110,0.012
9,AL,Campbell,1466,0.002
10,AL,Charles Mix,9129,0.011
11,AL,Clark,3691,0.005
12,AL,Clay,13864,0.017
13,AL,Codington,27227,0.033
14,AL,Corson,4050,0.005
15,AL,Custer,8216,0.01
16,AL,Davison,19504,0.024
17,AL,Day,5710,0.007
18,AL,Deuel,4364,0.005
19,AL,Dewey,5301,0.007
20,AL,Douglas,3002,0.004
21,AL,Edmunds,4071,0.005
22,AL,Fall River,7094,0.009
23,AL,Faulk,2364,0.003
24,AL,Grant,7356,0.009
25,AL,Gregory,4271,0.005
26,AL,Haakon,1937,0.002
27,AL,Hamlin,5903,0.007
28,AL,Hand,3431,0.004
29,AL,Hanson,3331,0.004
30,AL,Harding,1255,0.002
31,AL,Hughes,17022,0.021
32,AL,Hutchinson,7343,0.009
33,AL,Hyde,1420,0.002
34,AL,Jackson,3031,0.004
35,AL,Jerauld,2071,0.003
36,AL,Jones,1006,0.001
37,AL,Kingsbury,5148,0.006
38,AL,Lake,11200,0.014
39,AL,Lawrence,24097,0.03
40,AL,Lincoln,44828,0.055
41,AL,Lyman,3755,0.005
42,AL,McCook,5618,0.007
43,AL,McPherson,2459,0.003
44,AL,Marshall,4656,0.006
45,AL,Meade,25434,0.031
46,AL,Mellette,2048,0.003
47,AL,Miner,2389,0.003
48,AL,Minnehaha,169468,0.208
49,AL,Moody,6486,0.008
50,AL,Oglala Lakota,13586,0.017
51,AL,Pennington,100948,0.124
52,AL,Perkins,2982,0.004
53,AL,Potter,2329,0.003
54,AL,Roberts,10149,0.012
55,AL,Sanborn,2355,0.003
56,AL,Spink,6415,0.008
57,AL,Stanley,2966,0.004
58,AL,Sully,1373,0.002
59,AL,Todd,9612,0.012
60,AL,Tripp,5644,0.007
61,AL,Turner,8347,0.01
62,AL,Union,14399,0.018
63,AL,Walworth,5438,0.007
64,AL,Yankton,22438,0.028
65,AL,Ziebach,2801,0.003
