,CD #.1,County.1,"County Pop.
in CD","% of CD
in County"
0,1,Angelina,86771,0.124
1,1,Gregg,121730,0.174
2,1,Harrison,65631,0.094
3,1,Nacogdoches,64524,0.092
4,1,Panola,23796,0.034
5,1,Rusk,53330,0.076
6,1,Sabine,10834,0.016
7,1,San Augustine,8865,0.013
8,1,Shelby,25448,0.036
9,1,Smith,209714,0.3
10,1,Upshur,12083,0.017
11,1,Wood,15762,0.023
12,2,Harris,698488,1.0
13,3,Collin,698488,1.0
14,4,Bowie,92565,0.133
15,4,Camp,12401,0.018
16,4,Cass,30464,0.044
17,4,Collin,36196,0.052
18,4,Delta,5231,0.007
19,4,Fannin,33915,0.049
20,4,Franklin,10605,0.015
21,4,Grayson,120877,0.173
22,4,Hopkins,35161,0.05
23,4,Hunt,86129,0.123
24,4,Lamar,49793,0.071
25,4,Marion,10546,0.015
26,4,Morris,12934,0.019
27,4,Rains,10914,0.016
28,4,Red River,12860,0.018
29,4,Rockwall,78337,0.112
30,4,Titus,32334,0.046
31,4,Upshur,27226,0.039
32,5,Anderson,58458,0.084
33,5,Cherokee,50845,0.073
34,5,Dallas,328522,0.47
35,5,Henderson,78532,0.112
36,5,Kaufman,103350,0.148
37,5,Van Zandt,52579,0.075
38,5,Wood,26202,0.038
39,6,Ellis,149610,0.214
40,6,Navarro,47735,0.068
41,6,Tarrant,501159,0.717
42,7,Harris,698488,1.0
43,8,Grimes,26604,0.038
44,8,Harris,63087,0.09
45,8,Houston,23732,0.034
46,8,Leon,6825,0.01
47,8,Madison,13664,0.02
48,8,Montgomery,455746,0.652
49,8,San Jacinto,26384,0.038
50,8,Trinity,14585,0.021
51,8,Walker,67861,0.097
52,9,Fort Bend,145911,0.209
53,9,Harris,552581,0.791
54,10,Austin,28417,0.041
55,10,Bastrop,43410,0.062
56,10,Colorado,20874,0.03
57,10,Fayette,24554,0.035
58,10,Harris,248136,0.355
59,10,Lee,11856,0.017
60,10,Travis,244317,0.35
61,10,Waller,43205,0.062
62,10,Washington,33718,0.048
63,10,Williamson,2,0.0
64,11,Andrews,14786,0.021
65,11,Brown,38106,0.055
66,11,Callahan,13544,0.019
67,11,Coke,3320,0.005
68,11,Coleman,8895,0.013
69,11,Comanche,13974,0.02
70,11,Concho,4087,0.006
71,11,Dawson,13833,0.02
72,11,Eastland,18583,0.027
73,11,Ector,137130,0.196
74,11,Erath,20356,0.029
75,11,Glasscock,1226,0.002
76,11,Hood,51182,0.073
77,11,Irion,1599,0.002
78,11,Kimble,4607,0.007
79,11,Llano,19301,0.028
80,11,McCulloch,8283,0.012
81,11,Martin,4799,0.007
82,11,Mason,4012,0.006
83,11,Menard,2242,0.003
84,11,Midland,136872,0.196
85,11,Mills,4936,0.007
86,11,Mitchell,9403,0.013
87,11,Palo Pinto,28111,0.04
88,11,Runnels,10501,0.015
89,11,San Saba,6131,0.009
90,11,Stephens,7302,0.01
91,11,Sterling,1143,0.002
92,11,Tom Green,110224,0.158
93,12,Parker,116927,0.167
94,12,Tarrant,558251,0.799
95,12,Wise,23296,0.033
96,13,Archer,9054,0.013
97,13,Armstrong,1901,0.003
98,13,Baylor,3726,0.005
99,13,Briscoe,1637,0.002
100,13,Carson,6182,0.009
101,13,Childress,7041,0.01
102,13,Clay,10752,0.015
103,13,Collingsworth,3057,0.004
104,13,Cooke,38437,0.055
105,13,Cottle,1505,0.002
106,13,Dallam,6703,0.01
107,13,Deaf Smith,19372,0.028
108,13,Dickens,2444,0.003
109,13,Donley,3677,0.005
110,13,Floyd,2655,0.004
111,13,Foard,1336,0.002
112,13,Gray,22535,0.032
113,13,Hall,3353,0.005
114,13,Hansford,5613,0.008
115,13,Hardeman,4139,0.006
116,13,Hartley,6062,0.009
117,13,Hemphill,3807,0.005
118,13,Hutchinson,22150,0.032
119,13,Jack,9044,0.013
120,13,King,286,0.0
121,13,Knox,3719,0.005
122,13,Lipscomb,3302,0.005
123,13,Montague,19719,0.028
124,13,Moore,21904,0.031
125,13,Motley,1210,0.002
126,13,Ochiltree,10223,0.015
127,13,Oldham,2052,0.003
128,13,Potter,121073,0.173
129,13,Randall,120725,0.173
130,13,Roberts,929,0.001
131,13,Sherman,3034,0.004
132,13,Swisher,7854,0.011
133,13,Wheeler,5410,0.008
134,13,Wichita,131500,0.188
135,13,Wilbarger,13535,0.019
136,13,Wise,35831,0.051
137,14,Brazoria,154890,0.222
138,14,Galveston,291309,0.417
139,14,Jefferson,252273,0.361
140,15,Brooks,7223,0.01
141,15,Duval,11782,0.017
142,15,Guadalupe,108688,0.156
143,15,Hidalgo,534952,0.766
144,15,Jim Hogg,5300,0.008
145,15,Karnes,14824,0.021
146,15,Live Oak,11531,0.017
147,15,Wilson,4188,0.006
148,16,El Paso,698488,1.0
149,17,Bastrop,812,0.001
150,17,Brazos,194851,0.279
151,17,Burleson,17187,0.025
152,17,Falls,17866,0.026
153,17,Freestone,19816,0.028
154,17,Lee,4756,0.007
155,17,Leon,9976,0.014
156,17,Limestone,23384,0.033
157,17,McLennan,234906,0.336
158,17,Milam,24757,0.035
159,17,Robertson,16622,0.024
160,17,Travis,133554,0.191
161,18,Harris,698488,1.0
162,19,Bailey,7165,0.01
163,19,Borden,641,0.001
164,19,Castro,8062,0.012
165,19,Cochran,3127,0.004
166,19,Crosby,6059,0.009
167,19,Fisher,3974,0.006
168,19,Floyd,3791,0.005
169,19,Gaines,17526,0.025
