,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Aleutians East Borough,AL,3141,1
1,Aleutians West Census Area,AL,5561,1
2,Anchorage Borough,AL,291826,1
3,Bethel Census Area,AL,17013,1
4,Bristol Bay Borough,AL,997,1
5,Denali Borough,AL,1826,1
6,Dillingham Census Area,AL,4847,1
7,Fairbanks North Star Borough,AL,97581,1
8,Haines Borough,AL,2508,1
9,Hoonah-Angoon Census Area,AL,2150,1
10,Juneau Borough,AL,31275,1
11,Kenai Peninsula Borough,AL,55400,1
12,Ketchikan Gateway Borough,AL,13477,1
13,Kodiak Island Borough,AL,13592,1
14,Kusilvak Census Area,AL,7459,1
15,Lake and Peninsula Borough,AL,1631,1
16,Matanuska-Susitna Borough,AL,88995,1
17,Nome Census Area,AL,9492,1
18,North Slope Borough,AL,9430,1
19,Northwest Arctic Borough,AL,7523,1
20,Petersburg Census Area,AL,3815,1
21,Prince of Wales-Hyder Census Area,AL,5559,1
22,Sitka Borough,AL,8881,1
23,Skagway Municipality,AL,968,1
24,Southeast Fairbanks Census Area,AL,7029,1
25,Valdez-Cordova Census Area,AL,9636,1
26,Wrangell City and Borough,AL,2369,1
27,Yakutat Borough,AL,662,1
28,Yukon-Koyukuk Census Area,AL,5588,1
