,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Autauga,2,54571,1.0
1,Baldwin,1,182265,1.0
2,Barbour,2,27457,1.0
3,Bibb,6,22915,1.0
4,Blount,4,4892,0.085
5,Blount,6,52430,0.915
6,Bullock,2,10914,1.0
7,Butler,2,20947,1.0
8,Calhoun,3,118572,1.0
9,Chambers,3,34215,1.0
10,Cherokee,3,24215,0.932
11,Cherokee,4,1774,0.068
12,Chilton,6,43643,1.0
13,Choctaw,7,13859,1.0
14,Clarke,1,8595,0.333
15,Clarke,7,17238,0.667
16,Clay,3,13932,1.0
17,Cleburne,3,14972,1.0
18,Coffee,2,49948,1.0
19,Colbert,4,54428,1.0
20,Conecuh,2,13228,1.0
21,Coosa,6,11539,1.0
22,Covington,2,37765,1.0
23,Crenshaw,2,13906,1.0
24,Cullman,4,80406,1.0
25,Dale,2,50251,1.0
26,Dallas,7,43820,1.0
27,DeKalb,4,71109,1.0
28,Elmore,2,79303,1.0
29,Escambia,1,38319,1.0
30,Etowah,4,104430,1.0
31,Fayette,4,17241,1.0
32,Franklin,4,31704,1.0
33,Geneva,2,26790,1.0
34,Greene,7,9045,1.0
35,Hale,7,15760,1.0
36,Henry,2,17302,1.0
37,Houston,2,101547,1.0
38,Jackson,4,200,0.004
39,Jackson,5,53027,0.996
40,Jefferson,6,357207,0.542
41,Jefferson,7,301259,0.458
42,Lamar,4,14564,1.0
43,Lauderdale,5,92709,1.0
44,Lawrence,4,34339,1.0
45,Lee,3,140247,1.0
46,Limestone,5,82782,1.0
47,Lowndes,7,11299,1.0
48,Macon,3,21452,1.0
49,Madison,5,334811,1.0
50,Marengo,7,21027,1.0
51,Marion,4,30776,1.0
52,Marshall,4,93019,1.0
53,Mobile,1,412992,1.0
54,Monroe,1,23068,1.0
55,Montgomery,2,145992,0.637
56,Montgomery,3,31854,0.139
57,Montgomery,7,51517,0.225
58,Morgan,5,119490,1.0
59,Perry,7,10591,1.0
60,Pickens,7,19746,1.0
61,Pike,2,32899,1.0
62,Randolph,3,22913,1.0
63,Russell,3,52947,1.0
64,St. Clair,3,83593,1.0
65,Shelby,6,195085,1.0
66,Sumter,7,13763,1.0
67,Talladega,3,82291,1.0
68,Tallapoosa,3,41616,1.0
69,Tuscaloosa,4,52430,0.269
70,Tuscaloosa,7,142226,0.731
71,Walker,4,67023,1.0
72,Washington,1,17581,1.0
73,Wilcox,7,11670,1.0
74,Winston,4,24484,1.0
