,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Appling,12,18236,1.0
1,Atkinson,8,8375,1.0
2,Bacon,1,11096,1.0
3,Baker,2,3451,1.0
4,Baldwin,10,45720,1.0
5,Banks,9,18395,1.0
6,Barrow,10,69367,1.0
7,Bartow,11,100157,1.0
8,Ben Hill,8,17634,1.0
9,Berrien,8,19286,1.0
10,Bibb,2,112650,0.724
11,Bibb,8,42897,0.276
12,Bleckley,8,13063,1.0
13,Brantley,1,18411,1.0
14,Brooks,8,16243,1.0
15,Bryan,1,30233,1.0
16,Bulloch,12,70217,1.0
17,Burke,12,23316,1.0
18,Butts,10,23655,1.0
19,Calhoun,2,6694,1.0
20,Camden,1,50513,1.0
21,Candler,12,10998,1.0
22,Carroll,3,110527,1.0
23,Catoosa,14,63942,1.0
24,Charlton,1,12171,1.0
25,Chatham,1,265128,1.0
26,Chattahoochee,2,11267,1.0
27,Chattooga,14,26015,1.0
28,Cherokee,11,214346,1.0
29,Clarke,9,17178,0.147
30,Clarke,10,99536,0.853
31,Clay,2,3183,1.0
32,Clayton,5,103264,0.398
33,Clayton,13,156160,0.602
34,Clinch,1,6798,1.0
35,Cobb,6,178647,0.26
36,Cobb,11,337811,0.491
37,Cobb,13,171620,0.249
38,Coffee,12,42356,1.0
39,Colquitt,8,45498,1.0
40,Columbia,10,15328,0.124
41,Columbia,12,108725,0.876
42,Cook,8,17212,1.0
43,Coweta,3,127317,1.0
44,Crawford,2,12630,1.0
45,Crisp,2,23439,1.0
46,Dade,14,16633,1.0
47,Dawson,9,22330,1.0
48,Decatur,2,27842,1.0
49,DeKalb,4,354275,0.512
50,DeKalb,5,159596,0.231
51,DeKalb,6,178022,0.257
52,Dodge,8,21796,1.0
53,Dooly,2,14918,1.0
54,Dougherty,2,94565,1.0
55,Douglas,13,132403,1.0
56,Early,2,11008,1.0
57,Echols,1,4034,1.0
58,Effingham,1,30877,0.591
59,Effingham,12,21373,0.409
60,Elbert,9,20166,1.0
61,Emanuel,12,22598,1.0
62,Evans,12,11000,1.0
63,Fannin,9,23682,1.0
64,Fayette,3,88905,0.834
65,Fayette,13,17662,0.166
66,Floyd,14,96317,1.0
67,Forsyth,7,122706,0.699
68,Forsyth,9,52805,0.301
69,Franklin,9,22084,1.0
70,Fulton,5,429116,0.466
71,Fulton,6,335306,0.364
72,Fulton,11,39661,0.043
73,Fulton,13,116498,0.127
74,Gilmer,9,28292,1.0
75,Glascock,10,3082,1.0
76,Glynn,1,79626,1.0
77,Gordon,14,55186,1.0
78,Grady,2,25011,1.0
79,Greene,10,15994,1.0
80,Gwinnett,4,173937,0.216
81,Gwinnett,7,569270,0.707
82,Gwinnett,10,62114,0.077
83,Habersham,9,43041,1.0
84,Hall,9,179684,1.0
85,Hancock,10,9429,1.0
86,Haralson,14,28780,1.0
87,Harris,3,32024,1.0
88,Hart,9,25213,1.0
89,Heard,3,11834,1.0
90,Henry,3,60521,0.297
91,Henry,10,45768,0.224
92,Henry,13,97633,0.479
93,Houston,8,139900,1.0
94,Irwin,8,9538,1.0
95,Jackson,9,60485,1.0
96,Jasper,10,13900,1.0
97,Jeff Davis,12,15068,1.0
98,Jefferson,10,16930,1.0
99,Jenkins,12,8340,1.0
100,Johnson,10,9980,1.0
101,Jones,8,28669,1.0
102,Lamar,3,18317,1.0
103,Lanier,8,10078,1.0
104,Laurens,12,48434,1.0
105,Lee,2,28298,1.0
106,Liberty,1,63453,1.0
107,Lincoln,10,7996,1.0
108,Long,1,14464,1.0
109,Lowndes,1,5668,0.052
110,Lowndes,8,103565,0.948
111,Lumpkin,9,29966,1.0
112,McDuffie,10,21875,1.0
113,McIntosh,1,14333,1.0
114,Macon,2,14740,1.0
115,Madison,9,28120,1.0
116,Marion,2,8742,1.0
117,Meriwether,3,21992,1.0
118,Miller,2,6125,1.0
119,Mitchell,2,23498,1.0
120,Monroe,8,26424,1.0
121,Montgomery,12,9123,1.0
122,Morgan,10,17868,1.0
123,Murray,14,39628,1.0
124,Muscogee,2,145487,0.766
125,Muscogee,3,44398,0.234
126,Newton,4,78548,0.786
127,Newton,10,21410,0.214
128,Oconee,10,32808,1.0
129,Oglethorpe,10,14899,1.0
130,Paulding,14,142324,1.0
131,Peach,2,27695,1.0
132,Pickens,9,19112,0.649
133,Pickens,14,10319,0.351
134,Pierce,1,18758,1.0
135,Pike,3,17869,1.0
136,Polk,14,41475,1.0
137,Pulaski,8,12010,1.0
138,Putnam,10,21218,1.0
139,Quitman,2,2513,1.0
140,Rabun,9,16276,1.0
141,Randolph,2,7719,1.0
142,Richmond,12,200549,1.0
143,Rockdale,4,85215,1.0
144,Schley,2,5010,1.0
145,Screven,12,14593,1.0
146,Seminole,2,8729,1.0
147,Spalding,3,64073,1.0
148,Stephens,9,26175,1.0
149,Stewart,2,6058,1.0
150,Sumter,2,32819,1.0
151,Talbot,2,6865,1.0
152,Taliaferro,10,1717,1.0
153,Tattnall,12,25520,1.0
154,Taylor,2,8906,1.0
155,Telfair,8,16500,1.0
156,Terrell,2,9315,1.0
157,Thomas,8,44720,1.0
158,Tift,8,40118,1.0
159,Toombs,12,27223,1.0
160,Towns,9,10471,1.0
161,Treutlen,12,6885,1.0
162,Troup,3,67044,1.0
163,Turner,8,8930,1.0
164,Twiggs,8,9023,1.0
165,Union,9,21356,1.0
166,Upson,3,27153,1.0
167,Walker,14,68756,1.0
168,Walton,10,83768,1.0
169,Ware,1,36312,1.0
170,Warren,10,5834,1.0
171,Washington,10,21187,1.0
172,Wayne,1,30099,1.0
173,Webster,2,2799,1.0
174,Wheeler,12,7421,1.0
175,White,9,27144,1.0
176,Whitfield,14,102599,1.0
177,Wilcox,8,9255,1.0
