,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Adair,3,7682,1
1,Adams,3,4029,1
2,Allamakee,1,14330,1
3,Appanoose,2,12887,1
4,Audubon,4,6119,1
5,Benton,1,26076,1
6,Black Hawk,1,131090,1
7,Boone,4,26306,1
8,Bremer,1,24276,1
9,Buchanan,1,20958,1
10,Buena Vista,4,20260,1
11,Butler,4,14867,1
12,Calhoun,4,9670,1
13,Carroll,4,20816,1
14,Cass,3,13956,1
15,Cedar,2,18499,1
16,Cerro Gordo,4,44151,1
17,Cherokee,4,12072,1
18,Chickasaw,4,12439,1
19,Clarke,2,9286,1
20,Clay,4,16667,1
21,Clayton,1,18129,1
22,Clinton,2,49116,1
23,Crawford,4,17096,1
24,Dallas,3,66135,1
25,Davis,2,8753,1
26,Decatur,2,8457,1
27,Delaware,1,17764,1
28,Des Moines,2,40325,1
29,Dickinson,4,16667,1
30,Dubuque,1,93653,1
31,Emmet,4,10302,1
32,Fayette,1,20880,1
33,Floyd,4,16303,1
34,Franklin,4,10680,1
35,Fremont,3,7441,1
36,Greene,4,9336,1
37,Grundy,4,12453,1
38,Guthrie,3,10954,1
39,Hamilton,4,15673,1
40,Hancock,4,11341,1
41,Hardin,4,17534,1
42,Harrison,4,14928,1
43,Henry,2,20145,1
44,Howard,1,9566,1
45,Humboldt,4,9815,1
46,Ida,4,7089,1
47,Iowa,1,16355,1
48,Jackson,1,19848,1
49,Jasper,2,36842,1
50,Jefferson,2,16843,1
51,Johnson,2,130882,1
52,Jones,1,20638,1
53,Keokuk,2,10511,1
54,Kossuth,4,15543,1
55,Lee,2,35862,1
56,Linn,1,211226,1
57,Louisa,2,11387,1
58,Lucas,2,8898,1
59,Lyon,4,11581,1
60,Madison,3,15679,1
61,Mahaska,2,22381,1
62,Marion,2,33309,1
63,Marshall,1,40648,1
64,Mills,3,15059,1
65,Mitchell,1,10776,1
66,Monona,4,9243,1
67,Monroe,2,7970,1
68,Montgomery,3,10740,1
69,Muscatine,2,42745,1
70,OBrien,4,14398,1
71,Osceola,4,6462,1
72,Page,3,15932,1
73,Palo Alto,4,9421,1
74,Plymouth,4,24986,1
75,Pocahontas,4,7310,1
76,Polk,3,430640,1
77,Pottawattamie,3,93158,1
78,Poweshiek,1,18914,1
79,Ringgold,3,5131,1
80,Sac,4,10350,1
81,Scott,2,165224,1
82,Shelby,4,12167,1
83,Sioux,4,33704,1
84,Story,4,89542,1
85,Tama,1,17767,1
86,Taylor,3,6317,1
87,Union,3,12534,1
88,Van Buren,2,7570,1
89,Wapello,2,35625,1
90,Warren,3,46225,1
91,Washington,2,21704,1
92,Wayne,2,6403,1
93,Webster,4,38013,1
94,Winnebago,4,10866,1
95,Winneshiek,1,21056,1
96,Woodbury,4,102172,1
97,Worth,1,7598,1
98,Wright,4,13229,1
