,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Ada,1,195528,0.498
1,Ada,2,196837,0.502
2,Adams,1,3976,1.0
3,Bannock,2,82839,1.0
4,Bear Lake,2,5986,1.0
5,Benewah,1,9285,1.0
6,Bingham,2,45607,1.0
7,Blaine,2,21376,1.0
8,Boise,1,7028,1.0
9,Bonner,1,40877,1.0
10,Bonneville,2,104234,1.0
11,Boundary,1,10972,1.0
12,Butte,2,2891,1.0
13,Camas,2,1117,1.0
14,Canyon,1,188923,1.0
15,Caribou,2,6963,1.0
16,Cassia,2,22952,1.0
17,Clark,2,982,1.0
18,Clearwater,1,8761,1.0
19,Custer,2,4368,1.0
20,Elmore,2,27038,1.0
21,Franklin,2,12786,1.0
22,Fremont,2,13242,1.0
23,Gem,1,16719,1.0
24,Gooding,2,15464,1.0
25,Idaho,1,16267,1.0
26,Jefferson,2,26140,1.0
27,Jerome,2,22374,1.0
28,Kootenai,1,138494,1.0
29,Latah,1,37244,1.0
30,Lemhi,2,7936,1.0
31,Lewis,1,3821,1.0
32,Lincoln,2,5208,1.0
33,Madison,2,37536,1.0
34,Minidoka,2,20069,1.0
35,Nez Perce,1,39265,1.0
36,Oneida,2,4286,1.0
37,Owyhee,1,11526,1.0
38,Payette,1,22623,1.0
39,Power,2,7817,1.0
40,Shoshone,1,12765,1.0
41,Teton,2,10170,1.0
42,Twin Falls,2,77230,1.0
43,Valley,1,9862,1.0
44,Washington,1,10198,1.0
