,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Adams,3,34387,1.0
1,Allen,3,355329,1.0
2,Bartholomew,6,76794,1.0
3,Benton,4,8854,1.0
4,Blackford,3,3069,0.24
5,Blackford,5,9697,0.76
6,Boone,4,31073,0.549
7,Boone,5,25567,0.451
8,Brown,9,15242,1.0
9,Carroll,4,20155,1.0
10,Cass,4,38966,1.0
11,Clark,9,110232,1.0
12,Clay,8,26890,1.0
13,Clinton,4,33224,1.0
14,Crawford,8,1667,0.156
15,Crawford,9,9046,0.844
16,Daviess,8,31648,1.0
17,Dearborn,6,50047,1.0
18,Decatur,6,25740,1.0
19,De Kalb,3,42223,1.0
20,Delaware,6,117671,1.0
21,Dubois,8,41889,1.0
22,Elkhart,2,197559,1.0
23,Fayette,6,24277,1.0
24,Floyd,9,74578,1.0
25,Fountain,4,17240,1.0
26,Franklin,6,23087,1.0
27,Fulton,2,20836,1.0
28,Gibson,8,33503,1.0
29,Grant,5,70061,1.0
30,Greene,8,33165,1.0
31,Hamilton,5,274569,1.0
32,Hancock,6,70002,1.0
33,Harrison,9,39364,1.0
34,Hendricks,4,145448,1.0
35,Henry,6,49462,1.0
36,Howard,4,72765,0.879
37,Howard,5,9987,0.121
38,Huntington,3,37124,1.0
39,Jackson,9,42376,1.0
40,Jasper,4,33478,1.0
41,Jay,3,21253,1.0
42,Jefferson,6,32428,1.0
43,Jennings,6,28525,1.0
44,Johnson,9,139654,1.0
45,Knox,8,38440,1.0
46,Kosciusko,2,30097,0.389
47,Kosciusko,3,47261,0.611
48,Lagrange,3,37128,1.0
49,Lake,1,496005,1.0
50,La Porte,1,60074,0.539
51,La Porte,2,51393,0.461
52,Lawrence,9,46134,1.0
53,Madison,5,131636,1.0
54,Marion,5,182970,0.203
55,Marion,7,720423,0.797
56,Marshall,2,47051,1.0
57,Martin,8,10334,1.0
58,Miami,2,36903,1.0
59,Monroe,9,137974,1.0
60,Montgomery,4,38124,1.0
61,Morgan,4,22957,0.333
62,Morgan,9,45937,0.667
63,Newton,4,14244,1.0
64,Noble,3,47536,1.0
65,Ohio,6,6128,1.0
66,Orange,9,19840,1.0
67,Owen,8,21575,1.0
68,Parke,8,17339,1.0
69,Perry,8,19338,1.0
70,Pike,8,12845,1.0
71,Porter,1,164343,1.0
72,Posey,8,25910,1.0
73,Pulaski,2,13402,1.0
74,Putnam,4,37963,1.0
75,Randolph,6,26171,1.0
76,Ripley,6,28818,1.0
77,Rush,6,17392,1.0
78,St. Joseph,2,266931,1.0
79,Scott,6,12398,0.513
80,Scott,9,11783,0.487
81,Shelby,6,44436,1.0
82,Spencer,8,20952,1.0
83,Starke,2,23363,1.0
84,Steuben,3,34185,1.0
85,Sullivan,8,21475,1.0
86,Switzerland,6,10613,1.0
87,Tippecanoe,4,172780,1.0
88,Tipton,5,15936,1.0
89,Union,6,7516,1.0
90,Vanderburgh,8,179703,1.0
91,Vermillion,8,16212,1.0
92,Vigo,8,107848,1.0
93,Wabash,2,32888,1.0
94,Warren,4,8508,1.0
95,Warrick,8,59689,1.0
96,Washington,9,28262,1.0
97,Wayne,6,68917,1.0
98,Wells,3,27636,1.0
99,White,4,24643,1.0
100,Whitley,3,33292,1.0
