,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Allen,2,13371,1.0
1,Anderson,2,8102,1.0
2,Atchison,2,16924,1.0
3,Barber,4,4861,1.0
4,Barton,1,27674,1.0
5,Bourbon,2,15173,1.0
6,Brown,2,9984,1.0
7,Butler,4,65880,1.0
8,Chase,1,2790,1.0
9,Chautauqua,4,3669,1.0
10,Cherokee,2,21603,1.0
11,Cheyenne,1,2726,1.0
12,Clark,1,2215,1.0
13,Clay,1,8535,1.0
14,Cloud,1,9533,1.0
15,Coffey,2,8601,1.0
16,Comanche,4,1891,1.0
17,Cowley,4,36311,1.0
18,Crawford,2,39134,1.0
19,Decatur,1,2961,1.0
20,Dickinson,1,19754,1.0
21,Doniphan,2,7945,1.0
22,Douglas,2,110826,1.0
23,Edwards,4,3037,1.0
24,Elk,4,2882,1.0
25,Ellis,1,28452,1.0
26,Ellsworth,1,6497,1.0
27,Finney,1,36776,1.0
28,Ford,1,33848,1.0
29,Franklin,2,25992,1.0
30,Geary,1,34362,1.0
31,Gove,1,2695,1.0
32,Graham,1,2597,1.0
33,Grant,1,7829,1.0
34,Gray,1,6006,1.0
35,Greeley,1,1247,1.0
36,Greenwood,4,6689,1.0
37,Hamilton,1,2690,1.0
38,Harper,4,6034,1.0
39,Harvey,4,34684,1.0
40,Haskell,1,4256,1.0
41,Hodgeman,1,1916,1.0
42,Jackson,2,13462,1.0
43,Jefferson,2,19126,1.0
44,Jewell,1,3077,1.0
45,Johnson,3,544179,1.0
46,Kearny,1,3977,1.0
47,Kingman,4,7858,1.0
48,Kiowa,4,2553,1.0
49,Labette,2,21607,1.0
50,Lane,1,1750,1.0
51,Leavenworth,2,76227,1.0
52,Lincoln,1,3241,1.0
53,Linn,2,9656,1.0
54,Logan,1,2756,1.0
55,Lyon,1,33690,1.0
56,McPherson,1,29180,1.0
57,Marion,1,12660,1.0
58,Marshall,1,4870,0.481
59,Marshall,2,5247,0.519
60,Meade,1,4575,1.0
61,Miami,2,21184,0.646
62,Miami,3,11603,0.354
63,Mitchell,1,6373,1.0
64,Montgomery,2,35471,1.0
65,Morris,1,5923,1.0
66,Morton,1,3233,1.0
67,Nemaha,2,10178,1.0
68,Neosho,2,16512,1.0
69,Ness,1,3107,1.0
70,Norton,1,5671,1.0
71,Osage,2,16295,1.0
72,Osborne,1,3858,1.0
73,Ottawa,1,6091,1.0
74,Pawnee,1,6631,0.951
75,Pawnee,4,342,0.049
76,Phillips,1,5642,1.0
77,Pottawatomie,1,21604,1.0
78,Pratt,4,9656,1.0
79,Rawlins,1,2519,1.0
80,Reno,1,64511,1.0
81,Republic,1,4980,1.0
82,Rice,1,10083,1.0
83,Riley,1,71115,1.0
84,Rooks,1,5181,1.0
85,Rush,1,3307,1.0
86,Russell,1,6970,1.0
87,Saline,1,55606,1.0
88,Scott,1,4936,1.0
89,Sedgwick,4,498365,1.0
90,Seward,1,22952,1.0
91,Shawnee,2,177934,1.0
92,Sheridan,1,2556,1.0
93,Sherman,1,6010,1.0
94,Smith,1,3853,1.0
95,Stafford,4,4437,1.0
96,Stanton,1,2235,1.0
97,Stevens,1,5724,1.0
98,Sumner,4,24132,1.0
99,Thomas,1,7900,1.0
100,Trego,1,3001,1.0
101,Wabaunsee,1,7053,1.0
102,Wallace,1,1485,1.0
103,Washington,1,5799,1.0
104,Wichita,1,2234,1.0
105,Wilson,2,9409,1.0
106,Woodson,2,3309,1.0
107,Wyandotte,3,157505,1.0
