,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Adair,1,18656,1.0
1,Allen,1,19956,1.0
2,Anderson,6,21421,1.0
3,Ballard,1,8249,1.0
4,Barren,2,42173,1.0
5,Bath,6,11591,1.0
6,Bell,5,28691,1.0
7,Boone,4,118811,1.0
8,Bourbon,6,19985,1.0
9,Boyd,4,40044,0.808
10,Boyd,5,9498,0.192
11,Boyle,2,28432,1.0
12,Bracken,4,8488,1.0
13,Breathitt,5,13878,1.0
14,Breckinridge,2,20059,1.0
15,Bullitt,2,74319,1.0
16,Butler,2,12690,1.0
17,Caldwell,1,12984,1.0
18,Calloway,1,37191,1.0
19,Campbell,4,90336,1.0
20,Carlisle,1,5104,1.0
21,Carroll,4,10811,1.0
22,Carter,5,27720,1.0
23,Casey,1,15955,1.0
24,Christian,1,73955,1.0
25,Clark,6,35613,1.0
26,Clay,5,21730,1.0
27,Clinton,1,10272,1.0
28,Crittenden,1,9315,1.0
29,Cumberland,1,6856,1.0
30,Daviess,2,96656,1.0
31,Edmonson,2,12161,1.0
32,Elliott,5,7852,1.0
33,Estill,6,14672,1.0
34,Fayette,6,295803,1.0
35,Fleming,6,14348,1.0
36,Floyd,5,39451,1.0
37,Franklin,6,49285,1.0
38,Fulton,1,6813,1.0
39,Gallatin,4,8589,1.0
40,Garrard,2,16912,1.0
41,Grant,4,24662,1.0
42,Graves,1,37121,1.0
43,Grayson,2,25746,1.0
44,Green,2,11258,1.0
45,Greenup,4,36910,1.0
46,Hancock,2,8565,1.0
47,Hardin,2,105543,1.0
48,Harlan,5,29278,1.0
49,Harrison,4,11787,0.625
50,Harrison,6,7059,0.375
51,Hart,2,18199,1.0
52,Henderson,1,46250,1.0
53,Henry,4,15416,1.0
54,Hickman,1,4902,1.0
55,Hopkins,1,46920,1.0
56,Jackson,5,13494,1.0
57,Jefferson,3,723171,0.976
58,Jefferson,4,17925,0.024
59,Jessamine,2,12405,0.255
60,Jessamine,6,36181,0.745
61,Johnson,5,23356,1.0
62,Kenton,4,159720,1.0
63,Knott,5,16346,1.0
64,Knox,5,31883,1.0
65,Larue,2,14193,1.0
66,Laurel,5,58849,1.0
67,Lawrence,5,15860,1.0
68,Lee,5,7887,1.0
69,Leslie,5,11310,1.0
70,Letcher,5,24519,1.0
71,Lewis,4,13870,1.0
72,Lincoln,2,5,0.0
73,Lincoln,5,24737,1.0
74,Livingston,1,9519,1.0
75,Logan,1,26835,1.0
76,Lyon,1,8314,1.0
77,McCracken,1,65565,1.0
78,McCreary,5,18306,1.0
79,McLean,1,9531,1.0
80,Madison,6,82916,1.0
81,Magoffin,5,13333,1.0
82,Marion,1,19820,1.0
83,Marshall,1,31448,1.0
84,Martin,5,12929,1.0
85,Mason,4,17490,1.0
86,Meade,2,28602,1.0
87,Menifee,6,6306,1.0
88,Mercer,2,21331,1.0
89,Metcalfe,1,10099,1.0
90,Monroe,1,10963,1.0
91,Montgomery,6,26499,1.0
92,Morgan,5,13923,1.0
93,Muhlenberg,1,31499,1.0
94,Nelson,2,43437,1.0
95,Nicholas,6,7135,1.0
96,Ohio,1,23842,1.0
97,Oldham,4,60316,1.0
98,Owen,4,10841,1.0
99,Owsley,5,4755,1.0
100,Pendleton,4,14877,1.0
101,Perry,5,28712,1.0
102,Pike,5,65024,1.0
103,Powell,6,12613,1.0
104,Pulaski,5,63063,1.0
105,Robertson,6,2282,1.0
106,Rockcastle,5,17056,1.0
107,Rowan,5,23333,1.0
108,Russell,1,17565,1.0
109,Scott,6,47173,1.0
110,Shelby,4,42074,1.0
111,Simpson,1,17327,1.0
112,Spencer,2,5360,0.314
113,Spencer,4,11701,0.686
114,Taylor,1,24512,1.0
115,Todd,1,12460,1.0
116,Trigg,1,14339,1.0
117,Trimble,4,8809,1.0
118,Union,1,15007,1.0
119,Warren,2,113792,1.0
120,Washington,1,413,0.035
121,Washington,2,11304,0.965
122,Wayne,5,20813,1.0
123,Webster,1,13621,1.0
124,Whitley,5,35637,1.0
125,Wolfe,6,7355,1.0
126,Woodford,6,24939,1.0
