,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Aitkin,8,16202,1.0
1,Anoka,3,61476,0.186
2,Anoka,5,53682,0.162
3,Anoka,6,215686,0.652
4,Becker,7,32504,1.0
5,Beltrami,7,30001,0.675
6,Beltrami,8,14441,0.325
7,Benton,6,38451,1.0
8,Big Stone,7,5269,1.0
9,Blue Earth,1,64013,1.0
10,Brown,1,25893,1.0
11,Carlton,8,35386,1.0
12,Carver,3,56363,0.619
13,Carver,6,34679,0.381
14,Cass,8,28567,1.0
15,Chippewa,7,12441,1.0
16,Chisago,8,53887,1.0
17,Clay,7,58999,1.0
18,Clearwater,7,8695,1.0
19,Cook,8,5176,1.0
20,Cottonwood,1,3803,0.325
21,Cottonwood,7,7884,0.675
22,Crow Wing,8,62500,1.0
23,Dakota,2,398552,1.0
24,Dodge,1,20087,1.0
25,Douglas,7,36009,1.0
26,Faribault,1,14553,1.0
27,Fillmore,1,20866,1.0
28,Freeborn,1,31255,1.0
29,Goodhue,2,46183,1.0
30,Grant,7,6018,1.0
31,Hennepin,3,545151,0.473
32,Hennepin,5,606239,0.526
33,Hennepin,6,1035,0.001
34,Houston,1,19027,1.0
35,Hubbard,8,20428,1.0
36,Isanti,8,37816,1.0
37,Itasca,8,45058,1.0
38,Jackson,1,10266,1.0
39,Kanabec,8,16239,1.0
40,Kandiyohi,7,42239,1.0
41,Kittson,7,4552,1.0
42,Koochiching,8,13311,1.0
43,Lac qui Parle,7,7259,1.0
44,Lake,8,10866,1.0
45,Lake of the Woods,7,4045,1.0
46,Le Sueur,1,27703,1.0
47,Lincoln,7,5896,1.0
48,Lyon,7,25857,1.0
49,McLeod,7,36651,1.0
50,Mahnomen,7,5413,1.0
51,Marshall,7,9439,1.0
52,Martin,1,20840,1.0
53,Meeker,7,23300,1.0
54,Mille Lacs,8,26097,1.0
55,Morrison,8,33198,1.0
56,Mower,1,39163,1.0
57,Murray,7,8725,1.0
58,Nicollet,1,32727,1.0
59,Nobles,1,21378,1.0
60,Norman,7,6852,1.0
61,Olmsted,1,144248,1.0
62,Otter Tail,7,57303,1.0
63,Pennington,7,13930,1.0
64,Pine,8,29750,1.0
65,Pipestone,7,9596,1.0
66,Polk,7,31600,1.0
67,Pope,7,10995,1.0
68,Ramsey,4,505570,0.994
69,Ramsey,5,3070,0.006
70,Red Lake,7,4089,1.0
71,Redwood,7,16059,1.0
72,Renville,7,15730,1.0
73,Rice,1,39098,0.61
74,Rice,2,25044,0.39
75,Rock,1,9687,1.0
76,Roseau,7,15629,1.0
77,St. Louis,8,200226,1.0
78,Scott,2,129928,1.0
79,Sherburne,6,88499,1.0
80,Sibley,7,15226,1.0
81,Stearns,6,120835,0.802
82,Stearns,7,29807,0.198
83,Steele,1,36576,1.0
84,Stevens,7,9726,1.0
85,Swift,7,9783,1.0
86,Todd,7,24895,1.0
87,Traverse,7,3558,1.0
88,Wabasha,2,21676,1.0
89,Wadena,8,13843,1.0
90,Waseca,1,19136,1.0
91,Washington,2,41608,0.175
92,Washington,4,157420,0.661
93,Washington,6,39108,0.164
94,Watonwan,1,11211,1.0
95,Wilkin,7,6576,1.0
96,Winona,1,51461,1.0
97,Wright,6,124700,1.0
98,Yellow Medicine,7,10438,1.0
