,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Adair,6,25607,1.0
1,Andrew,6,17291,1.0
2,Atchison,6,5685,1.0
3,Audrain,4,19204,0.752
4,Audrain,6,6325,0.248
5,Barry,7,35597,1.0
6,Barton,4,12402,1.0
7,Bates,4,17049,1.0
8,Benton,4,19056,1.0
9,Bollinger,8,12363,1.0
10,Boone,4,162642,1.0
11,Buchanan,6,89201,1.0
12,Butler,8,42794,1.0
13,Caldwell,6,9424,1.0
14,Callaway,3,44332,1.0
15,Camden,3,26722,0.607
16,Camden,4,17280,0.393
17,Cape Girardeau,8,75674,1.0
18,Carroll,6,9295,1.0
19,Carter,8,6265,1.0
20,Cass,4,99478,1.0
21,Cedar,4,13982,1.0
22,Chariton,6,7831,1.0
23,Christian,7,77422,1.0
24,Clark,6,7139,1.0
25,Clay,5,73731,0.332
26,Clay,6,148208,0.668
27,Clinton,6,20743,1.0
28,Cole,3,75990,1.0
29,Cooper,4,17601,1.0
30,Crawford,8,24696,1.0
31,Dade,4,7883,1.0
32,Dallas,4,16777,1.0
33,Daviess,6,8433,1.0
34,DeKalb,6,12892,1.0
35,Dent,8,15657,1.0
36,Douglas,8,13684,1.0
37,Dunklin,8,31953,1.0
38,Franklin,3,101492,1.0
39,Gasconade,3,15222,1.0
40,Gentry,6,6738,1.0
41,Greene,7,275174,1.0
42,Grundy,6,10261,1.0
43,Harrison,6,8957,1.0
44,Henry,4,22272,1.0
45,Hickory,4,9627,1.0
46,Holt,6,4912,1.0
47,Howard,4,10144,1.0
48,Howell,8,40400,1.0
49,Iron,8,10630,1.0
50,Jackson,4,21,0.0
51,Jackson,5,594619,0.882
52,Jackson,6,79518,0.118
53,Jasper,7,117404,1.0
54,Jefferson,2,44106,0.202
55,Jefferson,3,114133,0.522
56,Jefferson,8,60494,0.277
57,Johnson,4,52595,1.0
58,Knox,6,4131,1.0
59,Laclede,4,35571,1.0
60,Lafayette,5,33381,1.0
61,Lawrence,7,38634,1.0
62,Lewis,6,10211,1.0
63,Lincoln,3,52566,1.0
64,Linn,6,12761,1.0
65,Livingston,6,15195,1.0
66,McDonald,7,23083,1.0
67,Macon,6,15566,1.0
68,Madison,8,12226,1.0
69,Maries,3,9176,1.0
70,Marion,6,28781,1.0
71,Mercer,6,3785,1.0
72,Miller,3,24748,1.0
73,Mississippi,8,14358,1.0
74,Moniteau,4,15607,1.0
75,Monroe,6,8840,1.0
76,Montgomery,3,12236,1.0
77,Morgan,4,20565,1.0
78,New Madrid,8,18956,1.0
79,Newton,7,58114,1.0
80,Nodaway,6,23370,1.0
81,Oregon,8,10881,1.0
82,Osage,3,13878,1.0
83,Ozark,8,9723,1.0
84,Pemiscot,8,18296,1.0
85,Perry,8,18971,1.0
86,Pettis,4,42201,1.0
87,Phelps,8,45156,1.0
88,Pike,6,18516,1.0
89,Platte,6,89322,1.0
90,Polk,7,31137,1.0
91,Pulaski,4,52274,1.0
92,Putnam,6,4979,1.0
93,Ralls,6,10167,1.0
94,Randolph,4,25414,1.0
95,Ray,5,23494,1.0
96,Reynolds,8,6696,1.0
97,Ripley,8,14100,1.0
98,St. Charles,2,134878,0.374
99,St. Charles,3,225607,0.626
100,St. Clair,4,9805,1.0
101,Ste. Genevieve,8,18145,1.0
102,St. Francois,8,65359,1.0
103,St. Louis,1,429324,0.43
104,St. Louis,2,569630,0.57
105,Saline,5,23370,1.0
106,Schuyler,6,4431,1.0
107,Scotland,6,4843,1.0
108,Scott,8,39191,1.0
109,Shannon,8,8441,1.0
110,Shelby,6,6373,1.0
111,Stoddard,8,29968,1.0
112,Stone,7,32202,1.0
113,Sullivan,6,6714,1.0
114,Taney,7,51675,1.0
115,Texas,8,26008,1.0
116,Vernon,4,21159,1.0
117,Warren,3,32513,1.0
118,Washington,8,25195,1.0
119,Wayne,8,13521,1.0
120,Webster,4,28028,0.774
121,Webster,7,8174,0.226
122,Worth,6,2171,1.0
123,Wright,8,18815,1.0
124,St. Louis city,1,319294,1.0
