,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Beaverhead,AL,9246,1
1,Big Horn,AL,12865,1
2,Blaine,AL,6491,1
3,Broadwater,AL,5612,1
4,Carbon,AL,10078,1
5,Carter,AL,1160,1
6,Cascade,AL,81327,1
7,Chouteau,AL,5813,1
8,Custer,AL,11699,1
9,Daniels,AL,1751,1
10,Dawson,AL,8966,1
11,Deer Lodge,AL,9298,1
12,Fallon,AL,2890,1
13,Fergus,AL,11586,1
14,Flathead,AL,90928,1
15,Gallatin,AL,89513,1
16,Garfield,AL,1206,1
17,Glacier,AL,13399,1
18,Golden Valley,AL,884,1
19,Granite,AL,3079,1
20,Hill,AL,16096,1
21,Jefferson,AL,11406,1
22,Judith Basin,AL,2072,1
23,Lake,AL,28746,1
24,Lewis and Clark,AL,63395,1
25,Liberty,AL,2339,1
26,Lincoln,AL,19687,1
27,McCone,AL,1734,1
28,Madison,AL,7691,1
29,Meagher,AL,1891,1
30,Mineral,AL,4223,1
31,Missoula,AL,109299,1
32,Musselshell,AL,4538,1
33,Park,AL,15636,1
34,Petroleum,AL,494,1
35,Phillips,AL,4253,1
36,Pondera,AL,6153,1
37,Powder River,AL,1743,1
38,Powell,AL,7027,1
39,Prairie,AL,1179,1
40,Ravalli,AL,40212,1
41,Richland,AL,9746,1
42,Roosevelt,AL,10425,1
43,Rosebud,AL,9233,1
44,Sanders,AL,11413,1
45,Sheridan,AL,3384,1
46,Silver Bow,AL,34200,1
47,Stillwater,AL,9117,1
48,Sweet Grass,AL,3651,1
49,Teton,AL,6073,1
50,Toole,AL,5324,1
51,Treasure,AL,718,1
52,Valley,AL,7369,1
53,Wheatland,AL,2168,1
54,Wibaux,AL,1017,1
55,Yellowstone,AL,147972,1
