,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Alamance,6,151131,1.0
1,Alexander,5,37198,1.0
2,Alleghany,5,11155,1.0
3,Anson,9,26948,1.0
4,Ashe,5,27281,1.0
5,Avery,5,17797,1.0
6,Beaufort,3,47759,1.0
7,Bertie,1,21282,1.0
8,Bladen,7,8981,0.255
9,Bladen,9,26209,0.745
10,Brunswick,7,107431,1.0
11,Buncombe,10,111849,0.469
12,Buncombe,11,126469,0.531
13,Burke,10,50,0.001
14,Burke,11,90862,0.999
15,Cabarrus,8,177997,1.0
16,Cabarrus,9,14,0.0
17,Caldwell,11,83029,1.0
18,Camden,3,9980,1.0
19,Carteret,3,66469,1.0
20,Caswell,6,23719,1.0
21,Catawba,5,9499,0.062
22,Catawba,10,144856,0.938
23,Catawba,11,3,0.0
24,Chatham,6,63505,1.0
25,Cherokee,11,27444,1.0
26,Chowan,3,14793,1.0
27,Clay,11,10587,1.0
28,Cleveland,10,98078,1.0
29,Columbus,7,58098,1.0
30,Craven,3,103505,1.0
31,Cumberland,8,243476,0.762
32,Cumberland,9,75955,0.238
33,Currituck,3,23547,1.0
34,Dare,3,33920,1.0
35,Davidson,13,162878,1.0
36,Davie,13,41240,1.0
37,Duplin,3,13,0.0
38,Duplin,7,58492,1.0
39,Durham,1,240269,0.898
40,Durham,2,26,0.0
41,Durham,4,27292,0.102
42,Edgecombe,1,56552,1.0
43,Forsyth,5,350670,1.0
44,Franklin,2,60619,1.0
45,Gaston,10,206086,1.0
46,Gates,1,12197,1.0
47,Graham,11,8861,1.0
48,Granville,1,59916,1.0
49,Greene,3,21362,1.0
50,Guilford,6,162418,0.333
51,Guilford,13,325988,0.667
52,Halifax,1,54691,1.0
53,Harnett,2,114678,1.0
54,Haywood,11,59036,1.0
55,Henderson,11,106740,1.0
56,Hertford,1,24669,1.0
57,Hoke,8,46942,1.0
58,Hoke,9,10,0.0
59,Hyde,3,5810,1.0
60,Iredell,5,9,0.0
61,Iredell,10,6031,0.038
62,Iredell,13,153397,0.962
63,Jackson,11,40271,1.0
64,Johnston,2,109332,0.647
65,Johnston,7,59546,0.353
66,Jones,3,10153,1.0
67,Lee,6,57866,1.0
68,Lenoir,3,59495,1.0
69,Lincoln,10,78265,1.0
70,McDowell,11,44996,1.0
71,Macon,11,33922,1.0
72,Madison,11,20764,1.0
73,Martin,1,24505,1.0
74,Mecklenburg,8,6,0.0
75,Mecklenburg,9,186130,0.202
76,Mecklenburg,12,733492,0.798
77,Mitchell,11,15579,1.0
78,Montgomery,8,27798,1.0
79,Moore,8,88247,1.0
80,Nash,2,95840,1.0
81,New Hanover,7,202667,1.0
82,Northampton,1,22099,1.0
83,Onslow,3,177772,1.0
84,Orange,4,133779,1.0
85,Orange,6,22,0.0
86,Pamlico,3,13144,1.0
87,Pasquotank,3,40661,1.0
88,Pender,7,52217,1.0
89,Perquimans,3,13453,1.0
90,Person,6,39464,1.0
91,Pitt,1,80880,0.481
92,Pitt,3,87268,0.519
93,Polk,10,20510,1.0
94,Randolph,6,141752,1.0
95,Richmond,9,46639,1.0
96,Robeson,9,134168,1.0
97,Rockingham,6,93643,1.0
98,Rowan,8,88430,0.639
99,Rowan,13,49998,0.361
100,Rutherford,10,67810,1.0
101,Sampson,7,63431,1.0
102,Scotland,9,36157,1.0
103,Stanly,8,60585,1.0
104,Stokes,5,47401,1.0
105,Surry,5,73673,1.0
106,Swain,11,13981,1.0
107,Transylvania,11,33090,1.0
108,Tyrrell,3,4407,1.0
109,Union,9,201292,1.0
110,Vance,1,45422,1.0
111,Wake,2,328583,0.365
112,Wake,4,572410,0.635
113,Warren,1,20972,1.0
114,Washington,1,13228,1.0
115,Watauga,5,51079,1.0
116,Wayne,7,122623,1.0
117,Wilkes,5,69336,1.0
118,Wilkes,11,4,0.0
119,Wilson,1,56787,0.699
120,Wilson,2,24447,0.301
121,Yadkin,5,38406,1.0
122,Yancey,11,17818,1.0
