,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Adams,3,31364,1.0
1,Antelope,3,6685,1.0
2,Arthur,3,460,1.0
3,Banner,3,690,1.0
4,Blaine,3,478,1.0
5,Boone,3,5505,1.0
6,Box Butte,3,11308,1.0
7,Boyd,3,2099,1.0
8,Brown,3,3145,1.0
9,Buffalo,3,46102,1.0
10,Burt,1,6858,1.0
11,Butler,1,8395,1.0
12,Cass,1,25241,1.0
13,Cedar,3,8852,1.0
14,Chase,3,3966,1.0
15,Cherry,3,5713,1.0
16,Cheyenne,3,9998,1.0
17,Clay,3,6542,1.0
18,Colfax,1,10515,1.0
19,Cuming,1,9139,1.0
20,Custer,3,10939,1.0
21,Dakota,3,21006,1.0
22,Dawes,3,9182,1.0
23,Dawson,3,24326,1.0
24,Deuel,3,1941,1.0
25,Dixon,1,273,0.045
26,Dixon,3,5727,0.954
27,Dodge,1,36691,1.0
28,Douglas,2,517110,1.0
29,Dundy,3,2008,1.0
30,Fillmore,3,5890,1.0
31,Franklin,3,3225,1.0
32,Frontier,3,2756,1.0
33,Furnas,3,4959,1.0
34,Gage,3,22311,1.0
35,Garden,3,2057,1.0
36,Garfield,3,2049,1.0
37,Gosper,3,2044,1.0
38,Grant,3,614,1.0
39,Greeley,3,2538,1.0
40,Hall,3,58607,1.0
41,Hamilton,3,9124,1.0
42,Harlan,3,3423,1.0
43,Hayes,3,967,1.0
44,Hitchcock,3,2908,1.0
45,Holt,3,10435,1.0
46,Hooker,3,736,1.0
47,Howard,3,6274,1.0
48,Jefferson,3,7547,1.0
49,Johnson,3,5217,1.0
50,Kearney,3,6489,1.0
51,Keith,3,8368,1.0
52,Keya Paha,3,824,1.0
53,Kimball,3,3821,1.0
54,Knox,3,8701,1.0
55,Lancaster,1,285407,1.0
56,Lincoln,3,36288,1.0
57,Logan,3,763,1.0
58,Loup,3,632,1.0
59,McPherson,3,539,1.0
60,Madison,1,34876,1.0
61,Merrick,3,7845,1.0
62,Morrill,3,5042,1.0
63,Nance,3,3735,1.0
64,Nemaha,3,7248,1.0
65,Nuckolls,3,4500,1.0
66,Otoe,1,15740,1.0
67,Pawnee,3,2773,1.0
68,Perkins,3,2970,1.0
69,Phelps,3,9188,1.0
70,Pierce,3,7266,1.0
71,Platte,1,32237,1.0
72,Polk,1,5406,1.0
73,Red Willow,3,11055,1.0
74,Richardson,3,8363,1.0
75,Rock,3,1526,1.0
76,Saline,3,14200,1.0
77,Sarpy,1,67169,0.423
78,Sarpy,2,91671,0.577
79,Saunders,1,20780,1.0
80,Scotts Bluff,3,36970,1.0
81,Seward,1,16750,1.0
82,Sheridan,3,5469,1.0
83,Sherman,3,3152,1.0
84,Sioux,3,1311,1.0
85,Stanton,1,6129,1.0
86,Thayer,3,5228,1.0
87,Thomas,3,647,1.0
88,Thurston,1,6940,1.0
89,Valley,3,4260,1.0
90,Washington,1,20234,1.0
91,Wayne,3,9595,1.0
92,Webster,3,3812,1.0
93,Wheeler,3,818,1.0
94,York,3,13665,1.0
