,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Bernalillo,1,632625,0.955
1,Bernalillo,2,2489,0.004
2,Bernalillo,3,27450,0.041
3,Catron,2,3725,1.0
4,Chaves,2,65645,1.0
5,Cibola,2,27213,1.0
6,Colfax,3,13750,1.0
7,Curry,3,48376,1.0
8,DeBaca,2,2022,1.0
9,Dona Ana,2,209233,1.0
10,Eddy,2,53829,1.0
11,Grant,2,29514,1.0
12,Guadalupe,2,4687,1.0
13,Harding,3,695,1.0
14,Hidalgo,2,4894,1.0
15,Lea,2,64727,1.0
16,Lincoln,2,20497,1.0
17,Los Alamos,3,17950,1.0
18,Luna,2,25095,1.0
19,McKinley,2,7001,0.098
20,McKinley,3,64491,0.902
21,Mora,3,4881,1.0
22,Otero,2,63797,1.0
23,Quay,3,9041,1.0
24,Rio Arriba,3,40246,1.0
25,Roosevelt,2,7010,0.353
26,Roosevelt,3,12836,0.647
27,Sandoval,1,20593,0.157
28,Sandoval,3,110968,0.843
29,San Juan,3,130044,1.0
30,San Miguel,3,29393,1.0
31,Santa Fe,1,5390,0.037
32,Santa Fe,3,138780,0.963
33,Sierra,2,11988,1.0
34,Socorro,2,17866,1.0
35,Taos,3,32937,1.0
36,Torrance,1,16383,1.0
37,Union,3,4549,1.0
38,Valencia,1,11402,0.149
39,Valencia,2,65167,0.851
