,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Adair,2,22683,1.0
1,Alfalfa,3,5642,1.0
2,Atoka,2,14182,1.0
3,Beaver,3,5636,1.0
4,Beckham,3,22119,1.0
5,Blaine,3,11943,1.0
6,Bryan,2,42416,1.0
7,Caddo,3,29600,1.0
8,Canadian,3,96588,0.836
9,Canadian,4,18953,0.164
10,Carter,4,47557,1.0
11,Cherokee,2,46987,1.0
12,Choctaw,2,15205,1.0
13,Cimarron,3,2475,1.0
14,Cleveland,4,255755,1.0
15,Coal,2,5925,1.0
16,Comanche,4,124098,1.0
17,Cotton,4,6193,1.0
18,Craig,2,15029,1.0
19,Creek,1,7054,0.101
20,Creek,3,62913,0.899
21,Custer,3,27469,1.0
22,Delaware,2,41487,1.0
23,Dewey,3,4810,1.0
24,Ellis,3,4151,1.0
25,Garfield,3,60580,1.0
26,Garvin,4,27576,1.0
27,Grady,4,52431,1.0
28,Grant,3,4527,1.0
29,Greer,3,6239,1.0
30,Harmon,3,2922,1.0
31,Harper,3,3685,1.0
32,Haskell,2,12769,1.0
33,Hughes,2,14003,1.0
34,Jackson,3,26446,1.0
35,Jefferson,4,6472,1.0
36,Johnston,2,10957,1.0
37,Kay,3,46562,1.0
38,Kingfisher,3,15034,1.0
39,Kiowa,3,9446,1.0
40,Latimer,2,11154,1.0
41,Le Flore,2,50384,1.0
42,Lincoln,3,34273,1.0
43,Logan,3,41848,1.0
44,Love,4,9423,1.0
45,McClain,4,34506,1.0
46,McCurtain,2,33151,1.0
47,McIntosh,2,20252,1.0
48,Major,3,7527,1.0
49,Marshall,2,15840,1.0
50,Mayes,2,41259,1.0
51,Murray,4,13488,1.0
52,Muskogee,2,70990,1.0
53,Noble,3,11561,1.0
54,Nowata,2,10536,1.0
55,Okfuskee,2,12191,1.0
56,Oklahoma,4,63286,0.088
57,Oklahoma,5,655347,0.912
58,Okmulgee,2,40069,1.0
59,Osage,3,47472,1.0
60,Ottawa,2,31848,1.0
61,Pawnee,3,16577,1.0
62,Payne,3,77350,1.0
63,Pittsburg,2,45837,1.0
64,Pontotoc,4,37492,1.0
65,Pottawatomie,5,69442,1.0
66,Pushmataha,2,11572,1.0
67,Roger Mills,3,3647,1.0
68,Rogers,1,15752,0.181
69,Rogers,2,71153,0.819
70,Seminole,5,25482,1.0
71,Sequoyah,2,42391,1.0
72,Stephens,4,45048,1.0
73,Texas,3,20640,1.0
74,Tillman,4,7992,1.0
75,Tulsa,1,603403,1.0
76,Wagoner,1,73085,1.0
77,Washington,1,50976,1.0
78,Washita,3,11629,1.0
79,Woods,3,8878,1.0
80,Woodward,3,20081,1.0
