,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Aurora,AL,2710,1
1,Beadle,AL,17398,1
2,Bennett,AL,3431,1
3,Bon Homme,AL,7070,1
4,Brookings,AL,31965,1
5,Brown,AL,36531,1
6,Brule,AL,5255,1
7,Buffalo,AL,1912,1
8,Butte,AL,10110,1
9,Campbell,AL,1466,1
10,Charles Mix,AL,9129,1
11,Clark,AL,3691,1
12,Clay,AL,13864,1
13,Codington,AL,27227,1
14,Corson,AL,4050,1
15,Custer,AL,8216,1
16,Davison,AL,19504,1
17,Day,AL,5710,1
18,Deuel,AL,4364,1
19,Dewey,AL,5301,1
20,Douglas,AL,3002,1
21,Edmunds,AL,4071,1
22,Fall River,AL,7094,1
23,Faulk,AL,2364,1
24,Grant,AL,7356,1
25,Gregory,AL,4271,1
26,Haakon,AL,1937,1
27,Hamlin,AL,5903,1
28,Hand,AL,3431,1
29,Hanson,AL,3331,1
30,Harding,AL,1255,1
31,Hughes,AL,17022,1
32,Hutchinson,AL,7343,1
33,Hyde,AL,1420,1
34,Jackson,AL,3031,1
35,Jerauld,AL,2071,1
36,Jones,AL,1006,1
37,Kingsbury,AL,5148,1
38,Lake,AL,11200,1
39,Lawrence,AL,24097,1
40,Lincoln,AL,44828,1
41,Lyman,AL,3755,1
42,McCook,AL,5618,1
43,McPherson,AL,2459,1
44,Marshall,AL,4656,1
45,Meade,AL,25434,1
46,Mellette,AL,2048,1
47,Miner,AL,2389,1
48,Minnehaha,AL,169468,1
49,Moody,AL,6486,1
50,Oglala Lakota,AL,13586,1
51,Pennington,AL,100948,1
52,Perkins,AL,2982,1
53,Potter,AL,2329,1
54,Roberts,AL,10149,1
55,Sanborn,AL,2355,1
56,Spink,AL,6415,1
57,Stanley,AL,2966,1
58,Sully,AL,1373,1
59,Todd,AL,9612,1
60,Tripp,AL,5644,1
61,Turner,AL,8347,1
62,Union,AL,14399,1
63,Walworth,AL,5438,1
64,Yankton,AL,22438,1
65,Ziebach,AL,2801,1
