,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Anderson,5,58458,1.0
1,Andrews,11,14786,1.0
2,Angelina,1,86771,1.0
3,Aransas,27,23158,1.0
4,Archer,13,9054,1.0
5,Armstrong,13,1901,1.0
6,Atascosa,28,44911,1.0
7,Austin,10,28417,1.0
8,Bailey,19,7165,1.0
9,Bandera,21,20485,1.0
10,Bastrop,10,43410,0.585
11,Bastrop,17,812,0.011
12,Bastrop,27,29949,0.404
13,Baylor,13,3726,1.0
14,Bee,34,31861,1.0
15,Bell,25,34427,0.111
16,Bell,31,275808,0.889
17,Bexar,20,698488,0.407
18,Bexar,21,253319,0.148
19,Bexar,23,275373,0.161
20,Bexar,28,158356,0.092
21,Bexar,35,329237,0.192
22,Blanco,21,10497,1.0
23,Borden,19,641,1.0
24,Bosque,25,18212,1.0
25,Bowie,4,92565,1.0
26,Brazoria,14,154890,0.495
27,Brazoria,22,158276,0.505
28,Brazos,17,194851,1.0
29,Brewster,23,9232,1.0
30,Briscoe,13,1637,1.0
31,Brooks,15,7223,1.0
32,Brown,11,38106,1.0
33,Burleson,17,17187,1.0
34,Burnet,25,42750,1.0
35,Caldwell,27,20233,0.532
36,Caldwell,35,17833,0.468
37,Calhoun,27,21381,1.0
38,Callahan,11,13544,1.0
39,Cameron,34,406220,1.0
40,Camp,4,12401,1.0
41,Carson,13,6182,1.0
42,Cass,4,30464,1.0
43,Castro,19,8062,1.0
44,Chambers,36,35096,1.0
45,Cherokee,5,50845,1.0
46,Childress,13,7041,1.0
47,Clay,13,10752,1.0
48,Cochran,19,3127,1.0
49,Coke,11,3320,1.0
50,Coleman,11,8895,1.0
51,Collin,3,698488,0.893
52,Collin,4,36196,0.046
53,Collin,32,47657,0.061
54,Collingsworth,13,3057,1.0
55,Colorado,10,20874,1.0
56,Comal,21,77344,0.713
57,Comal,35,31128,0.287
58,Comanche,11,13974,1.0
59,Concho,11,4087,1.0
60,Cooke,13,38437,1.0
61,Coryell,25,75388,1.0
62,Cottle,13,1505,1.0
63,Crane,23,4375,1.0
64,Crockett,23,3719,1.0
65,Crosby,19,6059,1.0
66,Culberson,23,2398,1.0
67,Dallam,13,6703,1.0
68,Dallas,5,328522,0.139
69,Dallas,24,330826,0.14
70,Dallas,26,841,0.0
71,Dallas,30,698487,0.295
72,Dallas,32,650831,0.275
73,Dallas,33,358632,0.151
74,Dawson,11,13833,1.0
75,Deaf Smith,13,19372,1.0
76,Delta,4,5231,1.0
77,Denton,24,112782,0.17
78,Denton,26,549832,0.83
79,DeWitt,34,20097,1.0
80,Dickens,13,2444,1.0
81,Dimmit,23,9996,1.0
82,Donley,13,3677,1.0
83,Duval,15,11782,1.0
84,Eastland,11,18583,1.0
85,Ector,11,137130,1.0
86,Edwards,23,2002,1.0
87,Ellis,6,149610,1.0
88,El Paso,16,698488,0.872
89,El Paso,23,102159,0.128
90,Erath,11,20356,0.537
91,Erath,25,17534,0.463
92,Falls,17,17866,1.0
93,Fannin,4,33915,1.0
94,Fayette,10,24554,1.0
95,Fisher,19,3974,1.0
96,Floyd,13,2655,0.412
97,Floyd,19,3791,0.588
98,Foard,13,1336,1.0
99,Fort Bend,9,145911,0.249
100,Fort Bend,22,439464,0.751
101,Franklin,4,10605,1.0
102,Freestone,17,19816,1.0
103,Frio,23,17217,1.0
104,Gaines,19,17526,1.0
105,Galveston,14,291309,1.0
106,Garza,19,6461,1.0
107,Gillespie,21,24837,1.0
108,Glasscock,11,1226,1.0
109,Goliad,34,7210,1.0
110,Gonzales,27,13668,0.69
111,Gonzales,34,6139,0.31
112,Gray,13,22535,1.0
113,Grayson,4,120877,1.0
114,Gregg,1,121730,1.0
115,Grimes,8,26604,1.0
116,Guadalupe,15,108688,0.826
117,Guadalupe,35,22845,0.174
118,Hale,19,36273,1.0
119,Hall,13,3353,1.0
120,Hamilton,25,8517,1.0
121,Hansford,13,5613,1.0
122,Hardeman,13,4139,1.0
123,Hardin,36,54635,1.0
124,Harris,2,698488,0.171
125,Harris,7,698488,0.171
126,Harris,8,63087,0.015
127,Harris,9,552581,0.135
128,Harris,10,248136,0.061
129,Harris,18,698488,0.171
130,Harris,22,100760,0.025
131,Harris,29,698488,0.171
132,Harris,36,333943,0.082
133,Harrison,1,65631,1.0
134,Hartley,13,6062,1.0
135,Haskell,19,5899,1.0
136,Hays,21,36368,0.231
137,Hays,25,38920,0.248
138,Hays,35,81819,0.521
139,Hemphill,13,3807,1.0
140,Henderson,5,78532,1.0
141,Hidalgo,15,534952,0.69
142,Hidalgo,28,128731,0.166
143,Hidalgo,34,111086,0.143
144,Hill,25,35089,1.0
145,Hockley,19,22935,1.0
146,Hood,11,51182,1.0
147,Hopkins,4,35161,1.0
148,Houston,8,23732,1.0
149,Howard,19,35012,1.0
150,Hudspeth,23,3476,1.0
151,Hunt,4,86129,1.0
152,Hutchinson,13,22150,1.0
153,Irion,11,1599,1.0
154,Jack,13,9044,1.0
155,Jackson,27,14075,1.0
156,Jasper,36,35710,1.0
157,Jeff Davis,23,2342,1.0
158,Jefferson,14,252273,1.0
159,Jim Hogg,15,5300,1.0
160,Jim Wells,34,40838,1.0
161,Johnson,25,150934,1.0
162,Jones,19,20202,1.0
163,Karnes,15,14824,1.0
164,Kaufman,5,103350,1.0
165,Kendall,21,33410,1.0
166,Kenedy,34,416,1.0
167,Kent,19,808,1.0
168,Kerr,21,49625,1.0
