,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Adams,3,20875,1.0
1,Ashland,7,16157,1.0
2,Barron,7,45870,1.0
3,Bayfield,7,15014,1.0
4,Brown,8,248007,1.0
5,Buffalo,3,13587,1.0
6,Burnett,7,15457,1.0
7,Calumet,8,48971,1.0
8,Chippewa,3,36398,0.583
9,Chippewa,7,26017,0.417
10,Clark,7,34690,1.0
11,Columbia,5,3,0.0
12,Columbia,6,56830,1.0
13,Crawford,3,16644,1.0
14,Dane,2,488073,1.0
15,Dodge,5,36500,0.411
16,Dodge,6,52259,0.589
17,Door,8,27785,1.0
18,Douglas,7,44159,1.0
19,Dunn,3,43857,1.0
20,Eau Claire,3,98736,1.0
21,Florence,7,4423,1.0
22,Fond du Lac,6,101633,1.0
23,Forest,7,9304,1.0
24,Grant,3,51208,1.0
25,Green,2,36842,1.0
26,Green Lake,6,19051,1.0
27,Iowa,2,23687,1.0
28,Iron,7,5916,1.0
29,Jackson,3,18488,0.904
30,Jackson,7,1961,0.096
31,Jefferson,5,83686,1.0
32,Juneau,3,21011,0.788
33,Juneau,7,5653,0.212
34,Kenosha,1,166426,1.0
35,Kewaunee,8,20574,1.0
36,La Crosse,3,114638,1.0
37,Lafayette,2,16836,1.0
38,Langlade,7,19977,1.0
39,Lincoln,7,28743,1.0
40,Manitowoc,6,81442,1.0
41,Marathon,7,134063,1.0
42,Marinette,8,41749,1.0
43,Marquette,6,15404,1.0
44,Menominee,8,4232,1.0
45,Milwaukee,1,91640,0.097
46,Milwaukee,4,710873,0.75
47,Milwaukee,5,143527,0.151
48,Milwaukee,6,1695,0.002
49,Monroe,3,40004,0.895
50,Monroe,7,4669,0.105
51,Oconto,8,37660,1.0
52,Oneida,7,35998,1.0
53,Outagamie,8,176695,1.0
54,Ozaukee,6,86395,1.0
55,Pepin,3,7469,1.0
56,Pierce,3,41019,1.0
57,Polk,7,44205,1.0
58,Portage,3,70019,1.0
59,Price,7,14159,1.0
60,Racine,1,195408,1.0
61,Richland,2,3688,0.205
62,Richland,3,14333,0.795
63,Rock,1,80559,0.502
64,Rock,2,79772,0.498
65,Rusk,7,14755,1.0
66,St. Croix,7,84345,1.0
67,Sauk,2,61976,1.0
68,Sawyer,7,16557,1.0
69,Shawano,8,41949,1.0
70,Sheboygan,6,115507,1.0
71,Taylor,7,20689,1.0
72,Trempealeau,3,28816,1.0
73,Vernon,3,29773,1.0
74,Vilas,7,21430,1.0
75,Walworth,1,91002,0.89
76,Walworth,5,11226,0.11
77,Washburn,7,15911,1.0
78,Washington,5,131887,1.0
79,Waukesha,1,85807,0.22
80,Waukesha,5,304084,0.78
81,Waupaca,8,52410,1.0
82,Waushara,6,24496,1.0
83,Winnebago,6,156153,0.935
84,Winnebago,8,10841,0.065
85,Wood,3,43977,0.588
86,Wood,7,30772,0.412
