,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Barbour,1,16589,1
1,Berkeley,2,104169,1
2,Boone,3,24629,1
3,Braxton,2,14523,1
4,Brooke,1,24069,1
5,Cabell,3,96319,1
6,Calhoun,2,7627,1
7,Clay,2,9386,1
8,Doddridge,1,8202,1
9,Fayette,3,46039,1
10,Gilmer,1,8693,1
11,Grant,1,11937,1
12,Greenbrier,3,35480,1
13,Hampshire,2,23964,1
14,Hancock,1,30676,1
15,Hardy,2,14025,1
16,Harrison,1,69099,1
17,Jackson,2,29211,1
18,Jefferson,2,53498,1
19,Kanawha,2,193063,1
20,Lewis,2,16372,1
21,Lincoln,3,21720,1
22,Logan,3,36743,1
23,McDowell,3,22113,1
24,Marion,1,56418,1
25,Marshall,1,33107,1
26,Mason,3,27324,1
27,Mercer,3,62264,1
28,Mineral,1,28212,1
29,Mingo,3,26839,1
30,Monongalia,1,96189,1
31,Monroe,3,13502,1
32,Morgan,2,17541,1
33,Nicholas,3,26233,1
34,Ohio,1,44443,1
35,Pendleton,2,7695,1
36,Pleasants,1,7605,1
37,Pocahontas,3,8719,1
38,Preston,1,33520,1
39,Putnam,2,55486,1
40,Raleigh,3,78859,1
41,Randolph,2,29405,1
42,Ritchie,1,10449,1
43,Roane,2,14926,1
44,Summers,3,13927,1
45,Taylor,1,16895,1
46,Tucker,1,7141,1
47,Tyler,1,9208,1
48,Upshur,2,24254,1
49,Wayne,3,42481,1
50,Webster,3,9154,1
51,Wetzel,1,16583,1
52,Wirt,2,5717,1
53,Wood,1,86956,1
54,Wyoming,3,23796,1
