,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Albany,AL,36299,1
1,Big Horn,AL,11668,1
2,Campbell,AL,46133,1
3,Carbon,AL,15885,1
4,Converse,AL,13833,1
5,Crook,AL,7083,1
6,Fremont,AL,40123,1
7,Goshen,AL,13249,1
8,Hot Springs,AL,4812,1
9,Johnson,AL,8569,1
10,Laramie,AL,91738,1
11,Lincoln,AL,18106,1
12,Natrona,AL,75450,1
13,Niobrara,AL,2484,1
14,Park,AL,28205,1
15,Platte,AL,8667,1
16,Sheridan,AL,29116,1
17,Sublette,AL,10247,1
18,Sweetwater,AL,43806,1
19,Teton,AL,21294,1
20,Uinta,AL,21118,1
21,Washakie,AL,8533,1
22,Weston,AL,7208,1
