,County.2,HD #,"HD Pop.
in County","% of County
in HD"
0,Aleutians East,37,3141,1.0
1,Aleutians West,37,5561,1.0
2,Anchorage,12,7739,0.027
3,Anchorage,13,17678,0.061
4,Anchorage,14,17979,0.062
5,Anchorage,15,17511,0.06
6,Anchorage,16,17806,0.061
7,Anchorage,17,17797,0.061
8,Anchorage,18,17925,0.061
9,Anchorage,19,17692,0.061
10,Anchorage,20,17718,0.061
11,Anchorage,21,17642,0.06
12,Anchorage,22,17755,0.061
13,Anchorage,23,17809,0.061
14,Anchorage,24,17702,0.061
15,Anchorage,25,17924,0.061
16,Anchorage,26,17693,0.061
17,Anchorage,27,17678,0.061
18,Anchorage,28,17778,0.061
19,Bethel,37,213,0.013
20,Bethel,38,16800,0.987
21,Bristol Bay,37,997,1.0
22,Denali,6,1826,1.0
23,Dillingham,37,4847,1.0
24,Fairbanks North Star,1,17726,0.182
25,Fairbanks North Star,2,17736,0.182
26,Fairbanks North Star,3,17673,0.181
27,Fairbanks North Star,4,17786,0.182
28,Fairbanks North Star,5,17839,0.183
29,Fairbanks North Star,6,8821,0.09
30,Haines,33,2508,1.0
31,Hoonah-Angoon,33,552,0.257
32,Hoonah-Angoon,35,1598,0.743
33,Juneau,33,13607,0.435
34,Juneau,34,17668,0.565
35,Kenai Peninsula,29,18026,0.325
36,Kenai Peninsula,30,18021,0.325
37,Kenai Peninsula,31,17971,0.324
38,Kenai Peninsula,32,1382,0.025
39,Ketchikan Gateway,36,13477,1.0
40,Kodiak Island,32,13592,1.0
41,Kusilvak,38,746,0.1
42,Kusilvak,39,6713,0.9
43,Lake and Peninsula,37,1631,1.0
44,Matanuska-Susitna,7,17703,0.199
45,Matanuska-Susitna,8,17830,0.2
46,Matanuska-Susitna,9,7987,0.09
47,Matanuska-Susitna,10,17827,0.2
48,Matanuska-Susitna,11,17716,0.199
49,Matanuska-Susitna,12,9932,0.112
50,Nome,39,9492,1.0
51,North Slope,40,9430,1.0
52,Northwest Arctic,40,7523,1.0
53,Petersburg,35,3815,1.0
54,Prince of Wales-Hyder,35,3531,0.635
55,Prince of Wales-Hyder,36,2028,0.365
56,Sitka,35,8881,1.0
57,Skagway Municipality,33,968,1.0
58,Southeast Fairbanks,6,2232,0.318
59,Southeast Fairbanks,9,4797,0.682
60,Valdez-Cordova,6,2240,0.232
61,Valdez-Cordova,9,4955,0.514
62,Valdez-Cordova,32,2441,0.253
63,Wrangell City and,36,2369,1.0
64,Yakutat,32,662,1.0
65,Yukon-Koyukuk,6,2688,0.481
66,Yukon-Koyukuk,37,1058,0.189
67,Yukon-Koyukuk,39,1472,0.263
68,Yukon-Koyukuk,40,370,0.066
