,County.2,HD #,"HD Pop.
in County","% of County
in HD"
0,Autauga,31,520,0.01
1,Autauga,42,15936,0.292
2,Autauga,69,7318,0.134
3,Autauga,88,30797,0.564
4,Baldwin,64,38226,0.21
5,Baldwin,66,12617,0.069
6,Baldwin,68,851,0.005
7,Baldwin,94,45965,0.252
8,Baldwin,95,45971,0.252
9,Baldwin,96,38635,0.212
10,Barbour,84,27457,1.0
11,Bibb,49,16635,0.726
12,Bibb,72,6280,0.274
13,Blount,11,13228,0.231
14,Blount,13,5117,0.089
15,Blount,27,2510,0.044
16,Blount,34,36467,0.636
17,Bullock,84,10914,1.0
18,Butler,90,20947,1.0
19,Calhoun,29,5362,0.045
20,Calhoun,32,23264,0.196
21,Calhoun,35,12063,0.102
22,Calhoun,36,25373,0.214
23,Calhoun,39,6578,0.055
24,Calhoun,40,45932,0.387
25,Chambers,37,16891,0.494
26,Chambers,38,17324,0.506
27,Cherokee,39,25989,1.0
28,Chilton,42,30030,0.688
29,Chilton,49,8212,0.188
30,Chilton,81,5401,0.124
31,Choctaw,65,10398,0.75
32,Choctaw,71,3461,0.25
33,Clarke,65,13675,0.529
34,Clarke,68,12158,0.471
35,Clay,33,2153,0.155
36,Clay,35,11779,0.845
37,Cleburne,37,6162,0.412
38,Cleburne,39,8810,0.588
39,Coffee,90,2507,0.05
40,Coffee,91,45070,0.902
41,Coffee,92,2371,0.047
42,Colbert,3,39982,0.735
43,Colbert,18,14446,0.265
44,Conecuh,68,8286,0.626
45,Conecuh,90,4942,0.374
46,Coosa,33,4654,0.403
47,Coosa,35,2607,0.226
48,Coosa,81,4278,0.371
49,Covington,92,37765,1.0
50,Crenshaw,90,13906,1.0
51,Cullman,9,11622,0.145
52,Cullman,11,23714,0.295
53,Cullman,12,45070,0.561
54,Dale,89,12779,0.254
55,Dale,93,37472,0.746
56,Dallas,67,43820,1.0
57,DeKalb,23,1582,0.022
58,DeKalb,24,45972,0.647
59,DeKalb,26,6733,0.095
60,DeKalb,27,3503,0.049
61,DeKalb,29,8728,0.123
62,DeKalb,39,4591,0.065
63,Elmore,31,45322,0.572
64,Elmore,75,18812,0.237
65,Elmore,88,15169,0.191
66,Escambia,66,33354,0.87
67,Escambia,92,4965,0.13
68,Etowah,28,45887,0.439
69,Etowah,29,31820,0.305
70,Etowah,30,26723,0.256
71,Fayette,16,17241,1.0
72,Franklin,7,6704,0.211
73,Franklin,18,25000,0.789
74,Geneva,87,26790,1.0
75,Greene,61,12,0.001
76,Greene,71,4159,0.46
77,Greene,72,4874,0.539
78,Hale,72,15760,1.0
79,Henry,85,17302,1.0
80,Houston,85,27927,0.275
81,Houston,86,45965,0.453
82,Houston,87,19171,0.189
83,Houston,93,8484,0.084
84,Jackson,22,8837,0.166
85,Jackson,23,44390,0.834
86,Jefferson,14,5338,0.008
87,Jefferson,15,40368,0.061
88,Jefferson,16,12563,0.019
89,Jefferson,43,224,0.0
90,Jefferson,44,45088,0.068
91,Jefferson,45,21509,0.033
92,Jefferson,46,45316,0.069
93,Jefferson,47,45578,0.069
