,County.2,HD #,"HD Pop.
in County","% of County
in HD"
0,Fairfield,2,23664,0.026
1,Fairfield,106,22971,0.025
2,Fairfield,107,24008,0.026
3,Fairfield,108,19105,0.021
4,Fairfield,109,24064,0.026
5,Fairfield,110,24248,0.026
6,Fairfield,111,23485,0.026
7,Fairfield,112,22990,0.025
8,Fairfield,113,23093,0.025
9,Fairfield,120,23355,0.025
10,Fairfield,121,23298,0.025
11,Fairfield,122,23099,0.025
12,Fairfield,123,23817,0.026
13,Fairfield,124,24105,0.026
14,Fairfield,125,22962,0.025
15,Fairfield,126,24182,0.026
16,Fairfield,127,23949,0.026
17,Fairfield,128,23865,0.026
18,Fairfield,129,24361,0.027
19,Fairfield,130,23767,0.026
20,Fairfield,132,23535,0.026
21,Fairfield,133,22991,0.025
22,Fairfield,134,23177,0.025
23,Fairfield,135,23691,0.026
24,Fairfield,136,24340,0.027
25,Fairfield,137,24341,0.027
26,Fairfield,138,23669,0.026
27,Fairfield,140,23638,0.026
28,Fairfield,141,23577,0.026
29,Fairfield,142,24126,0.026
30,Fairfield,143,24135,0.026
31,Fairfield,144,23269,0.025
32,Fairfield,145,23372,0.025
33,Fairfield,146,24258,0.026
34,Fairfield,147,23173,0.025
35,Fairfield,148,24227,0.026
36,Fairfield,149,22979,0.025
37,Fairfield,150,22966,0.025
38,Fairfield,151,22977,0.025
39,Hartford,1,23038,0.026
40,Hartford,3,22980,0.026
41,Hartford,4,23200,0.026
42,Hartford,5,23000,0.026
43,Hartford,6,23067,0.026
44,Hartford,7,23027,0.026
45,Hartford,9,24215,0.027
46,Hartford,10,24291,0.027
47,Hartford,11,24305,0.027
48,Hartford,12,24367,0.027
49,Hartford,13,24299,0.027
50,Hartford,14,23913,0.027
51,Hartford,15,22961,0.026
52,Hartford,16,23502,0.026
53,Hartford,17,23454,0.026
54,Hartford,18,23069,0.026
55,Hartford,19,23715,0.027
56,Hartford,20,23170,0.026
57,Hartford,21,23599,0.026
58,Hartford,22,23670,0.026
59,Hartford,24,23837,0.027
60,Hartford,25,23741,0.027
61,Hartford,26,23748,0.027
62,Hartford,27,24351,0.027
63,Hartford,28,24184,0.027
64,Hartford,29,24330,0.027
65,Hartford,30,24312,0.027
66,Hartford,31,24239,0.027
67,Hartford,55,6404,0.007
68,Hartford,57,7623,0.009
69,Hartford,58,23879,0.027
70,Hartford,59,24314,0.027
71,Hartford,60,22965,0.026
72,Hartford,61,23448,0.026
73,Hartford,62,13396,0.015
74,Hartford,76,9301,0.01
75,Hartford,77,24289,0.027
76,Hartford,78,11863,0.013
77,Hartford,79,24325,0.027
78,Hartford,80,6297,0.007
79,Hartford,81,22965,0.026
