,County.2,HD #,"HD Pop.
in County","% of County
in HD"
0,Kent,11,12484,0.077
1,Kent,28,21111,0.13
2,Kent,29,20818,0.128
3,Kent,30,20856,0.128
4,Kent,31,22894,0.141
5,Kent,32,21449,0.132
6,Kent,33,21462,0.132
7,Kent,34,21236,0.131
8,New Castle,1,21031,0.039
9,New Castle,2,20916,0.039
10,New Castle,3,21368,0.04
11,New Castle,4,21075,0.039
12,New Castle,5,21652,0.04
13,New Castle,6,21894,0.041
14,New Castle,7,20971,0.039
15,New Castle,8,22759,0.042
16,New Castle,9,21263,0.039
17,New Castle,10,21670,0.04
18,New Castle,11,8431,0.016
19,New Castle,12,22964,0.043
20,New Castle,13,22933,0.043
21,New Castle,15,22758,0.042
22,New Castle,16,21218,0.039
23,New Castle,17,22445,0.042
24,New Castle,18,22864,0.042
25,New Castle,19,22764,0.042
26,New Castle,21,22794,0.042
27,New Castle,22,22916,0.043
28,New Castle,23,22744,0.042
29,New Castle,24,22687,0.042
30,New Castle,25,21763,0.04
31,New Castle,26,22656,0.042
32,New Castle,27,21943,0.041
33,Sussex,14,21224,0.108
34,Sussex,20,21216,0.108
35,Sussex,35,20887,0.106
36,Sussex,36,20870,0.106
37,Sussex,37,22891,0.116
38,Sussex,38,22043,0.112
39,Sussex,39,22423,0.114
40,Sussex,40,22598,0.115
41,Sussex,41,22993,0.117
