,County.2,HD #,"HD Pop.
in County","% of County
in HD"
0,Appling,156,14227,0.78
1,Appling,178,4009,0.22
2,Atkinson,176,8375,1.0
3,Bacon,169,11096,1.0
4,Baker,154,3451,1.0
5,Baldwin,145,45720,1.0
6,Banks,28,18395,1.0
7,Barrow,114,10364,0.149
8,Barrow,116,53885,0.777
9,Barrow,117,5118,0.074
10,Bartow,14,38957,0.389
11,Bartow,15,53473,0.534
12,Bartow,16,7727,0.077
13,Ben Hill,155,17634,1.0
14,Berrien,170,19286,1.0
15,Bibb,140,3218,0.021
16,Bibb,141,39765,0.256
17,Bibb,142,53493,0.344
18,Bibb,143,53945,0.347
19,Bibb,144,5126,0.033
20,Bleckley,144,13063,1.0
21,Brantley,178,18411,1.0
22,Brooks,175,16243,1.0
23,Bryan,160,9738,0.322
24,Bryan,164,13047,0.432
25,Bryan,166,7448,0.246
26,Bulloch,158,11925,0.17
27,Bulloch,159,14726,0.21
28,Bulloch,160,43566,0.62
29,Burke,126,23316,1.0
30,Butts,110,10036,0.424
31,Butts,129,13619,0.576
32,Calhoun,151,6694,1.0
33,Camden,174,8486,0.168
34,Camden,180,42027,0.832
35,Candler,158,10998,1.0
36,Carroll,18,29626,0.268
37,Carroll,68,48656,0.44
38,Carroll,69,29507,0.267
39,Carroll,70,2738,0.025
40,Catoosa,2,10576,0.165
41,Catoosa,3,53366,0.835
42,Charlton,174,11302,0.929
43,Charlton,180,869,0.071
44,Chatham,161,25725,0.097
45,Chatham,162,53981,0.204
46,Chatham,163,53520,0.202
47,Chatham,164,30961,0.117
48,Chatham,165,54351,0.205
49,Chatham,166,46590,0.176
50,Chattahoochee,138,11267,1.0
51,Chattooga,12,26015,1.0
52,Cherokee,20,53679,0.25
53,Cherokee,21,54040,0.252
54,Cherokee,22,35523,0.166
55,Cherokee,23,53852,0.251
56,Cherokee,46,17252,0.08
57,Clarke,117,32020,0.274
58,Clarke,118,53858,0.461
59,Clarke,119,30836,0.264
60,Clay,151,3183,1.0
61,Clayton,60,17016,0.066
62,Clayton,63,6775,0.026
63,Clayton,74,53401,0.206
64,Clayton,75,53930,0.208
65,Clayton,76,35188,0.136
66,Clayton,77,53704,0.207
67,Clayton,78,39410,0.152
68,Clinch,174,6798,1.0
69,Cobb,34,54162,0.079
70,Cobb,35,53394,0.078
71,Cobb,36,54192,0.079
72,Cobb,37,54233,0.079
73,Cobb,38,53921,0.078
74,Cobb,39,54192,0.079
75,Cobb,40,50647,0.074
76,Cobb,41,54148,0.079
77,Cobb,42,53894,0.078
78,Cobb,43,53969,0.078
79,Cobb,44,53480,0.078
80,Cobb,45,45820,0.067
81,Cobb,46,36460,0.053
82,Cobb,53,10078,0.015
83,Cobb,61,5488,0.008
84,Coffee,155,5589,0.132
85,Coffee,169,36767,0.868
86,Colquitt,171,10822,0.238
87,Colquitt,172,34676,0.762
88,Columbia,33,1176,0.009
89,Columbia,121,36807,0.297
90,Columbia,122,53789,0.434
91,Columbia,123,32281,0.26
92,Cook,170,17212,1.0
93,Coweta,70,51603,0.405
94,Coweta,71,49178,0.386
95,Coweta,72,10248,0.08
96,Coweta,132,16288,0.128
97,Crawford,140,12630,1.0
98,Crisp,148,23439,1.0
99,Dade,1,16633,1.0
100,Dawson,7,2084,0.093
101,Dawson,9,20246,0.907
102,Decatur,171,19869,0.714
103,Decatur,173,7973,0.286
104,DeKalb,79,53714,0.078
105,DeKalb,80,38679,0.056
106,DeKalb,81,47696,0.069
107,DeKalb,82,53564,0.077
108,DeKalb,83,53648,0.078
109,DeKalb,84,53650,0.078
110,DeKalb,85,54195,0.078
111,DeKalb,86,53878,0.078
112,DeKalb,87,54104,0.078
113,DeKalb,88,54194,0.078
114,DeKalb,89,53842,0.078
115,DeKalb,90,30137,0.044
116,DeKalb,91,21468,0.031
117,DeKalb,92,24826,0.036
118,DeKalb,93,16360,0.024
119,DeKalb,94,27938,0.04
120,Dodge,149,21796,1.0
121,Dooly,139,14918,1.0
122,Dougherty,151,4782,0.051
123,Dougherty,153,54116,0.572
124,Dougherty,154,35667,0.377
125,Douglas,61,24244,0.183
126,Douglas,62,20802,0.157
127,Douglas,65,7551,0.057
128,Douglas,66,41964,0.317
129,Douglas,67,32272,0.244
130,Douglas,68,5570,0.042
131,Early,151,11008,1.0
132,Echols,174,4034,1.0
133,Effingham,159,24044,0.46
134,Effingham,161,28206,0.54
135,Elbert,33,20166,1.0
136,Emanuel,158,22598,1.0
137,Evans,157,11000,1.0
138,Fannin,7,23682,1.0
139,Fayette,63,24649,0.231
140,Fayette,64,23005,0.216
141,Fayette,71,4987,0.047
142,Fayette,72,43559,0.409
143,Fayette,73,10367,0.097
144,Floyd,12,28302,0.294
145,Floyd,13,53433,0.555
146,Floyd,14,14582,0.151
147,Forsyth,9,4077,0.023
148,Forsyth,22,15659,0.089
149,Forsyth,24,54284,0.309
150,Forsyth,25,47180,0.269
151,Forsyth,26,54311,0.309
152,Franklin,32,22084,1.0
153,Fulton,22,2908,0.003
154,Fulton,25,6977,0.008
155,Fulton,40,3331,0.004
156,Fulton,45,8149,0.009
157,Fulton,47,54102,0.059
158,Fulton,48,53832,0.058
159,Fulton,49,53609,0.058
160,Fulton,50,53486,0.058
161,Fulton,51,53630,0.058
162,Fulton,52,53458,0.058
163,Fulton,53,43419,0.047
164,Fulton,54,53576,0.058
165,Fulton,55,53842,0.058
166,Fulton,56,53564,0.058
167,Fulton,57,54205,0.059
168,Fulton,58,53635,0.058
169,Fulton,59,53372,0.058
170,Fulton,60,36661,0.04
171,Fulton,61,24492,0.027
172,Fulton,62,32938,0.036
173,Fulton,63,22123,0.024
174,Fulton,64,30947,0.034
175,Fulton,65,46747,0.051
176,Fulton,80,14856,0.016
177,Fulton,95,2722,0.003
178,Gilmer,7,28292,1.0
179,Glascock,128,3082,1.0
180,Glynn,167,25545,0.321
181,Glynn,179,54081,0.679
182,Gordon,5,47428,0.859
183,Gordon,11,7758,0.141
184,Grady,173,25011,1.0
185,Greene,120,15994,1.0
186,Gwinnett,81,5894,0.007
187,Gwinnett,93,37973,0.047
188,Gwinnett,94,25632,0.032
189,Gwinnett,95,51567,0.064
190,Gwinnett,96,53962,0.067
191,Gwinnett,97,53821,0.067
192,Gwinnett,98,53671,0.067
193,Gwinnett,99,53673,0.067
194,Gwinnett,100,53679,0.067
195,Gwinnett,101,53747,0.067
196,Gwinnett,102,53770,0.067
197,Gwinnett,103,32402,0.04
198,Gwinnett,104,53774,0.067
199,Gwinnett,105,53542,0.066
200,Gwinnett,106,53473,0.066
201,Gwinnett,107,53368,0.066
202,Gwinnett,108,53549,0.066
203,Gwinnett,114,7824,0.01
204,Habersham,10,34173,0.794
205,Habersham,28,8868,0.206
206,Hall,27,51239,0.285
207,Hall,29,53527,0.298
208,Hall,30,53787,0.299
209,Hall,103,21131,0.118
210,Hancock,128,9409,0.998
211,Hancock,145,20,0.002
212,Haralson,16,4724,0.164
213,Haralson,18,24056,0.836
214,Harris,133,18919,0.591
215,Harris,134,8521,0.266
216,Harris,137,4584,0.143
217,Hart,32,25213,1.0
218,Heard,69,11834,1.0
219,Henry,73,17022,0.083
220,Henry,76,18100,0.089
221,Henry,78,14206,0.07
222,Henry,90,18868,0.093
223,Henry,109,42886,0.21
224,Henry,110,31537,0.155
225,Henry,111,54293,0.266
226,Henry,130,7010,0.034
227,Houston,140,18846,0.135
228,Houston,144,5361,0.038
229,Houston,146,53671,0.384
230,Houston,147,53333,0.381
231,Houston,148,8689,0.062
232,Irwin,155,9538,1.0
233,Jackson,31,53585,0.886
234,Jackson,117,6900,0.114
235,Jasper,129,13900,1.0
236,Jeff Davis,149,5915,0.393
237,Jeff Davis,156,3064,0.203
238,Jeff Davis,169,6089,0.404
239,Jefferson,127,13481,0.796
240,Jefferson,128,3449,0.204
241,Jenkins,158,8340,1.0
242,Johnson,128,5965,0.598
243,Johnson,150,4015,0.402
244,Jones,129,20674,0.721
245,Jones,144,7995,0.279
246,Lamar,130,9176,0.501
247,Lamar,131,9141,0.499
248,Lanier,176,10078,1.0
249,Laurens,144,3212,0.066
250,Laurens,149,1980,0.041
251,Laurens,150,43242,0.893
252,Lee,152,28298,1.0
253,Liberty,164,9421,0.148
254,Liberty,168,54032,0.852
