,County.2,HD #,"HD Pop.
in County","% of County
in HD"
0,Adams,94,67103,1.0
1,Alexander,118,8238,1.0
2,Bond,107,17768,1.0
3,Boone,69,46844,0.865
4,Boone,70,7321,0.135
5,Brown,93,6937,1.0
6,Bureau,73,5323,0.152
7,Bureau,74,16768,0.479
8,Bureau,76,12887,0.368
9,Calhoun,100,5089,1.0
10,Carroll,71,5425,0.353
11,Carroll,89,9962,0.647
12,Cass,93,13642,1.0
13,Champaign,101,18531,0.092
14,Champaign,102,30313,0.151
15,Champaign,103,108734,0.541
16,Champaign,104,43503,0.216
17,Christian,95,28181,0.81
18,Christian,96,6619,0.19
19,Clark,110,16335,1.0
20,Clay,109,13815,1.0
21,Clinton,107,3136,0.083
22,Clinton,108,34626,0.917
23,Coles,110,53873,1.0
24,Cook,1,108734,0.021
25,Cook,2,108734,0.021
26,Cook,3,108734,0.021
27,Cook,4,108734,0.021
28,Cook,5,108734,0.021
29,Cook,6,108734,0.021
30,Cook,7,108734,0.021
31,Cook,8,108734,0.021
32,Cook,9,108734,0.021
33,Cook,10,108734,0.021
34,Cook,11,108734,0.021
35,Cook,12,108734,0.021
36,Cook,13,108734,0.021
37,Cook,14,108734,0.021
38,Cook,15,108735,0.021
39,Cook,16,108734,0.021
40,Cook,17,108734,0.021
41,Cook,18,108734,0.021
42,Cook,19,108734,0.021
43,Cook,20,108734,0.021
44,Cook,21,108734,0.021
45,Cook,22,108734,0.021
46,Cook,23,108734,0.021
47,Cook,24,108734,0.021
48,Cook,25,108734,0.021
49,Cook,26,108734,0.021
50,Cook,27,108734,0.021
51,Cook,28,108734,0.021
52,Cook,29,85735,0.017
53,Cook,30,108734,0.021
54,Cook,31,108734,0.021
55,Cook,32,108734,0.021
56,Cook,33,108734,0.021
57,Cook,34,76920,0.015
58,Cook,35,108734,0.021
59,Cook,36,108734,0.021
60,Cook,37,25599,0.005
61,Cook,38,99123,0.019
62,Cook,39,108734,0.021
63,Cook,40,108734,0.021
64,Cook,43,23416,0.005
65,Cook,44,108734,0.021
66,Cook,45,7993,0.002
67,Cook,47,7056,0.001
68,Cook,49,8023,0.002
69,Cook,51,646,0.0
70,Cook,52,15420,0.003
71,Cook,53,108734,0.021
72,Cook,54,108735,0.021
73,Cook,55,108735,0.021
74,Cook,56,87432,0.017
75,Cook,57,103858,0.02
76,Cook,58,8224,0.002
77,Cook,59,15888,0.003
78,Cook,77,62645,0.012
79,Cook,78,108734,0.021
80,Cook,80,65156,0.013
81,Cook,82,43444,0.008
82,Crawford,110,19817,1.0
83,Cumberland,110,11048,1.0
84,DeKalb,70,82517,0.785
85,DeKalb,90,22643,0.215
86,De Witt,101,16561,1.0
87,Douglas,102,19980,1.0
88,DuPage,41,74916,0.082
89,DuPage,42,108771,0.119
90,DuPage,45,100741,0.11
91,DuPage,46,108749,0.119
92,DuPage,47,101664,0.111
93,DuPage,48,108734,0.119
94,DuPage,49,42075,0.046
95,DuPage,56,21302,0.023
96,DuPage,77,46089,0.05
97,DuPage,81,105114,0.115
98,DuPage,82,39113,0.043
99,DuPage,84,42260,0.046
100,DuPage,85,17396,0.019
101,Edgar,102,16842,0.907
102,Edgar,110,1734,0.093
103,Edwards,109,6721,1.0
104,Effingham,107,26253,0.767
105,Effingham,109,7989,0.233
106,Fayette,107,22140,1.0
107,Ford,106,14081,1.0
108,Franklin,117,39561,1.0
109,Fulton,91,29033,0.783
110,Fulton,93,8036,0.217
111,Gallatin,118,5589,1.0
112,Greene,100,13886,1.0
113,Grundy,75,40683,0.813
114,Grundy,79,9380,0.187
115,Hamilton,117,2816,0.333
116,Hamilton,118,5641,0.667
117,Hancock,94,19104,1.0
118,Hardin,118,4320,1.0
119,Henderson,94,7331,1.0
120,Henry,71,8085,0.16
121,Henry,74,42401,0.84
