,County.2,HD #,"HD Pop.
in County","% of County
in HD"
0,Barnstable,1st Barnstable,41451,0.192
1,Barnstable,2nd Barnstable,40964,0.19
2,Barnstable,3rd Barnstable,42635,0.197
3,Barnstable,4th Barnstable,40252,0.186
4,Barnstable,"Barnstable, Dukes & Nantucket",14104,0.065
5,Barnstable,5th Barnstable,36482,0.169
6,Berkshire,1st Berkshire,39672,0.302
7,Berkshire,2nd Berkshire,14331,0.109
8,Berkshire,3rd Berkshire,41632,0.317
9,Berkshire,4th Berkshire,35584,0.271
10,Bristol,1st Bristol,22900,0.042
11,Bristol,2nd Bristol,39950,0.073
12,Bristol,3rd Bristol,42201,0.077
13,Bristol,4th Bristol,39441,0.072
14,Bristol,5th Bristol,41773,0.076
15,Bristol,6th Bristol,42605,0.078
16,Bristol,7th Bristol,39365,0.072
17,Bristol,8th Bristol,39083,0.071
18,Bristol,9th Bristol,42195,0.077
19,Bristol,10th Bristol,23998,0.044
20,Bristol,11th Bristol,39731,0.072
21,Bristol,12th Bristol,16932,0.031
22,Bristol,13th Bristol,41562,0.076
23,Bristol,14th Bristol,39970,0.073
24,Bristol,8th Norfolk,3909,0.007
25,Bristol,8th Plymouth,13383,0.024
26,Bristol,11th Plymouth,19287,0.035
27,Dukes,"Barnstable, Dukes & Nantucket",16535,1.0
28,Essex,1st Essex,41982,0.056
29,Essex,2nd Essex,42873,0.058
30,Essex,3rd Essex,41064,0.055
31,Essex,4th Essex,42891,0.058
32,Essex,5th Essex,39245,0.053
33,Essex,6th Essex,39502,0.053
34,Essex,7th Essex,41340,0.056
35,Essex,8th Essex,39980,0.054
36,Essex,9th Essex,27810,0.037
37,Essex,10th Essex,41618,0.056
38,Essex,11th Essex,39264,0.053
39,Essex,12th Essex,39947,0.054
40,Essex,13th Essex,42900,0.058
41,Essex,14th Essex,42409,0.057
42,Essex,15th Essex,42687,0.057
43,Essex,16th Essex,41039,0.055
44,Essex,17th Essex,40973,0.055
45,Essex,18th Essex,34865,0.047
46,Essex,20th Middlesex,15480,0.021
47,Essex,16th Suffolk,5290,0.007
48,Franklin,2nd Berkshire,27822,0.39
49,Franklin,1st Franklin,29793,0.417
50,Franklin,2nd Franklin,13757,0.193
51,Hampden,4th Berkshire,3493,0.008
52,Hampden,1st Franklin,1337,0.003
53,Hampden,1st Hampden,20064,0.043
54,Hampden,2nd Hampden,41215,0.089
55,Hampden,3rd Hampden,39506,0.085
56,Hampden,4th Hampden,41094,0.089
57,Hampden,5th Hampden,39880,0.086
58,Hampden,6th Hampden,39948,0.086
59,Hampden,7th Hampden,31647,0.068
60,Hampden,8th Hampden,40028,0.086
61,Hampden,9th Hampden,41934,0.09
62,Hampden,10th Hampden,42688,0.092
63,Hampden,11th Hampden,40284,0.087
64,Hampden,12th Hampden,39534,0.085
65,Hampden,1st Hampshire,838,0.002
66,Hampshire,1st Franklin,10135,0.064
67,Hampshire,2nd Franklin,3612,0.023
68,Hampshire,1st Hampden,6697,0.042
69,Hampshire,7th Hampden,11037,0.07
70,Hampshire,1st Hampshire,39227,0.248
71,Hampshire,2nd Hampshire,41895,0.265
72,Hampshire,3rd Hampshire,42302,0.268
73,Hampshire,5th Worcester,3175,0.02
74,Middlesex,9th Essex,14297,0.01
75,Middlesex,18th Essex,7062,0.005
76,Middlesex,1st Middlesex,41064,0.027
77,Middlesex,2nd Middlesex,41961,0.028
78,Middlesex,3rd Middlesex,35759,0.024
79,Middlesex,4th Middlesex,27610,0.018
80,Middlesex,5th Middlesex,37125,0.025
81,Middlesex,6th Middlesex,41859,0.028
82,Middlesex,7th Middlesex,39335,0.026
83,Middlesex,8th Middlesex,28472,0.019
84,Middlesex,9th Middlesex,40086,0.027
85,Middlesex,10th Middlesex,40098,0.027
86,Middlesex,11th Middlesex,39555,0.026
87,Middlesex,12th Middlesex,40320,0.027
88,Middlesex,13th Middlesex,41966,0.028
89,Middlesex,14th Middlesex,40844,0.027
90,Middlesex,15th Middlesex,42292,0.028
91,Middlesex,16th Middlesex,41528,0.028
92,Middlesex,17th Middlesex,41046,0.027
93,Middlesex,18th Middlesex,39149,0.026
94,Middlesex,19th Middlesex,40627,0.027
95,Middlesex,20th Middlesex,27350,0.018
96,Middlesex,21st Middlesex,41415,0.028
97,Middlesex,22nd Middlesex,40243,0.027
98,Middlesex,23rd Middlesex,42890,0.029
99,Middlesex,24th Middlesex,41454,0.028
100,Middlesex,25th Middlesex,41376,0.028
101,Middlesex,26th Middlesex,40139,0.027
102,Middlesex,27th Middlesex,39479,0.026
103,Middlesex,28th Middlesex,41667,0.028
104,Middlesex,29th Middlesex,39934,0.027
105,Middlesex,30th Middlesex,39511,0.026
106,Middlesex,31st Middlesex,42811,0.028
107,Middlesex,32nd Middlesex,41331,0.027
108,Middlesex,33rd Middlesex,40759,0.027
109,Middlesex,34th Middlesex,42327,0.028
110,Middlesex,35th Middlesex,40073,0.027
111,Middlesex,36th Middlesex,40749,0.027
112,Middlesex,37th Middlesex,27004,0.018
113,Middlesex,14th Norfolk,14554,0.01
114,Middlesex,8th Suffolk,15964,0.011
115,Nantucket,"Barnstable, Dukes & Nantucket",10172,1.0
116,Norfolk,1st Bristol,16865,0.025
117,Norfolk,5th Middlesex,5180,0.008
118,Norfolk,1st Norfolk,41361,0.062
119,Norfolk,2nd Norfolk,40055,0.06
120,Norfolk,3rd Norfolk,41605,0.062
121,Norfolk,4th Norfolk,38785,0.058
122,Norfolk,5th Norfolk,41176,0.061
123,Norfolk,6th Norfolk,39329,0.059
124,Norfolk,7th Norfolk,40213,0.06
125,Norfolk,8th Norfolk,37334,0.056
126,Norfolk,9th Norfolk,42375,0.063
127,Norfolk,10th Norfolk,41302,0.062
128,Norfolk,11th Norfolk,42281,0.063
129,Norfolk,12th Norfolk,40451,0.06
130,Norfolk,13th Norfolk,40396,0.06
131,Norfolk,14th Norfolk,27982,0.042
132,Norfolk,15th Norfolk,39927,0.06
133,Norfolk,3rd Plymouth,7542,0.011
134,Norfolk,10th Suffolk,11411,0.017
135,Norfolk,12th Suffolk,5496,0.008
136,Norfolk,13th Suffolk,2973,0.004
137,Norfolk,15th Suffolk,3794,0.006
138,Norfolk,18th Suffolk,3600,0.005
139,Norfolk,8th Worcester,16332,0.024
140,Norfolk,10th Worcester,3085,0.005
141,Plymouth,10th Bristol,16184,0.033
142,Plymouth,12th Bristol,22238,0.045
143,Plymouth,5th Barnstable,3801,0.008
144,Plymouth,4th Norfolk,3815,0.008
145,Plymouth,1st Plymouth,41294,0.083
146,Plymouth,2nd Plymouth,41036,0.083
147,Plymouth,3rd Plymouth,31598,0.064
148,Plymouth,4th Plymouth,40302,0.081
149,Plymouth,5th Plymouth,41874,0.085
150,Plymouth,6th Plymouth,40518,0.082
151,Plymouth,7th Plymouth,40818,0.082
152,Plymouth,8th Plymouth,26563,0.054
153,Plymouth,9th Plymouth,40284,0.081
154,Plymouth,10th Plymouth,40300,0.081
155,Plymouth,11th Plymouth,23592,0.048
156,Plymouth,12th Plymouth,40702,0.082
157,Suffolk,9th Essex,9,0.0
158,Suffolk,1st Suffolk,40508,0.056
159,Suffolk,2nd Suffolk,42801,0.059
160,Suffolk,3rd Suffolk,40058,0.055
161,Suffolk,4th Suffolk,39513,0.055
162,Suffolk,5th Suffolk,39677,0.055
163,Suffolk,6th Suffolk,39250,0.054
164,Suffolk,7th Suffolk,40030,0.055
165,Suffolk,8th Suffolk,26883,0.037
166,Suffolk,9th Suffolk,42101,0.058
167,Suffolk,10th Suffolk,28899,0.04
168,Suffolk,11th Suffolk,38925,0.054
169,Suffolk,12th Suffolk,33802,0.047
170,Suffolk,13th Suffolk,38197,0.053
171,Suffolk,14th Suffolk,39110,0.054
172,Suffolk,15th Suffolk,35875,0.05
173,Suffolk,16th Suffolk,37613,0.052
174,Suffolk,17th Suffolk,39689,0.055
175,Suffolk,18th Suffolk,38638,0.054
176,Suffolk,19th Suffolk,40445,0.056
177,Worcester,2nd Franklin,23771,0.03
178,Worcester,1st Hampden,14403,0.018
179,Worcester,3rd Middlesex,4897,0.006
180,Worcester,4th Middlesex,14528,0.018
181,Worcester,8th Middlesex,13376,0.017
182,Worcester,37th Middlesex,14199,0.018
183,Worcester,18th Worcester,41144,0.052
184,Worcester,1st Worcester,40974,0.051
185,Worcester,2nd Worcester,40291,0.05
186,Worcester,3rd Worcester,42725,0.054
187,Worcester,4th Worcester,40759,0.051
188,Worcester,5th Worcester,38385,0.048
189,Worcester,6th Worcester,40737,0.051
190,Worcester,7th Worcester,39496,0.049
191,Worcester,8th Worcester,25673,0.032
192,Worcester,9th Worcester,41014,0.051
193,Worcester,10th Worcester,39749,0.05
194,Worcester,11th Worcester,42838,0.054
195,Worcester,12th Worcester,39909,0.05
196,Worcester,13th Worcester,40002,0.05
197,Worcester,14th Worcester,40433,0.051
198,Worcester,15th Worcester,39568,0.05
199,Worcester,16th Worcester,40330,0.051
200,Worcester,17th Worcester,39351,0.049
