,County.2,HD #,"HD Pop.
in County","% of County
in HD"
0,Androscoggin,46,3848,0.036
1,Androscoggin,56,9009,0.084
2,Androscoggin,57,9226,0.086
3,Androscoggin,58,9137,0.085
4,Androscoggin,59,9181,0.085
5,Androscoggin,60,9076,0.084
6,Androscoggin,61,9198,0.085
7,Androscoggin,62,8363,0.078
8,Androscoggin,63,8855,0.082
9,Androscoggin,64,8444,0.078
10,Androscoggin,65,3074,0.029
11,Androscoggin,66,2302,0.021
12,Androscoggin,72,3031,0.028
13,Androscoggin,74,4269,0.04
14,Androscoggin,75,9073,0.084
15,Androscoggin,82,1616,0.015
16,Aroostook,144,9081,0.126
17,Aroostook,145,8342,0.116
18,Aroostook,146,9178,0.128
19,Aroostook,147,9062,0.126
20,Aroostook,148,9065,0.126
21,Aroostook,149,8853,0.123
22,Aroostook,150,9101,0.127
23,Aroostook,151,9188,0.128
24,Cumberland,22,698,0.002
25,Cumberland,23,9176,0.033
26,Cumberland,24,8599,0.031
27,Cumberland,25,8402,0.03
28,Cumberland,26,8861,0.031
29,Cumberland,27,8708,0.031
30,Cumberland,28,8885,0.032
31,Cumberland,29,8846,0.031
32,Cumberland,30,8502,0.03
33,Cumberland,31,8513,0.03
34,Cumberland,32,8555,0.03
35,Cumberland,33,8447,0.03
36,Cumberland,34,8982,0.032
37,Cumberland,35,8512,0.03
38,Cumberland,36,8437,0.03
39,Cumberland,37,8419,0.03
40,Cumberland,38,8429,0.03
41,Cumberland,39,8800,0.031
42,Cumberland,40,8534,0.03
43,Cumberland,41,8512,0.03
44,Cumberland,42,8605,0.031
45,Cumberland,43,8742,0.031
46,Cumberland,44,8901,0.032
47,Cumberland,45,8436,0.03
48,Cumberland,46,4535,0.016
49,Cumberland,47,8920,0.032
50,Cumberland,48,8383,0.03
51,Cumberland,49,9222,0.033
52,Cumberland,50,8945,0.032
53,Cumberland,51,6851,0.024
54,Cumberland,65,5542,0.02
55,Cumberland,66,6232,0.022
56,Cumberland,67,8487,0.03
57,Cumberland,68,7116,0.025
58,Cumberland,69,7940,0.028
59,Franklin,74,4851,0.158
60,Franklin,112,5256,0.171
61,Franklin,113,9167,0.298
62,Franklin,114,8895,0.289
63,Franklin,117,2511,0.082
64,Franklin,118,88,0.003
65,Hancock,130,4924,0.09
66,Hancock,131,6385,0.117
67,Hancock,132,9222,0.169
68,Hancock,133,8472,0.156
69,Hancock,134,6879,0.126
70,Hancock,135,8890,0.163
71,Hancock,136,7231,0.133
72,Hancock,137,2415,0.044
73,Kennebec,76,8738,0.072
74,Kennebec,77,8647,0.071
75,Kennebec,78,8404,0.069
76,Kennebec,79,8534,0.07
77,Kennebec,80,8338,0.068
78,Kennebec,81,9002,0.074
79,Kennebec,82,7416,0.061
80,Kennebec,83,8756,0.072
81,Kennebec,84,8435,0.069
82,Kennebec,85,8903,0.073
83,Kennebec,86,8810,0.072
84,Kennebec,87,4438,0.036
85,Kennebec,88,2721,0.022
86,Kennebec,106,3486,0.029
87,Kennebec,109,8757,0.072
88,Kennebec,110,8766,0.072
89,Knox,91,3565,0.09
90,Knox,92,8545,0.215
91,Knox,93,8877,0.223
92,Knox,94,8180,0.206
93,Knox,95,8976,0.226
94,Knox,134,1593,0.04
95,Lincoln,53,1672,0.049
96,Lincoln,80,549,0.016
97,Lincoln,87,4441,0.129
98,Lincoln,88,5644,0.164
99,Lincoln,89,8547,0.248
100,Lincoln,90,8529,0.248
101,Lincoln,91,5075,0.147
102,Oxford,69,1148,0.02
103,Oxford,70,9206,0.159
104,Oxford,71,8770,0.152
105,Oxford,72,5880,0.102
106,Oxford,73,8608,0.149
107,Oxford,115,8569,0.148
108,Oxford,116,8947,0.155
109,Oxford,117,6705,0.116
110,Penobscot,100,8983,0.058
111,Penobscot,101,8808,0.057
112,Penobscot,102,8793,0.057
113,Penobscot,103,8507,0.055
114,Penobscot,104,8703,0.057
115,Penobscot,121,8651,0.056
116,Penobscot,122,8450,0.055
117,Penobscot,123,8881,0.058
118,Penobscot,124,9229,0.06
119,Penobscot,125,8403,0.055
120,Penobscot,126,8483,0.055
121,Penobscot,127,8405,0.055
122,Penobscot,128,8763,0.057
123,Penobscot,129,8860,0.058
124,Penobscot,130,3733,0.024
125,Penobscot,137,5829,0.038
126,Penobscot,141,4474,0.029
127,Penobscot,142,8393,0.055
128,Penobscot,143,8978,0.058
129,Penobscot,145,597,0.004
130,Piscataquis,118,288,0.016
131,Piscataquis,119,8522,0.486
132,Piscataquis,120,8725,0.498
133,Sagadahoc,51,1877,0.053
134,Sagadahoc,52,8514,0.241
135,Sagadahoc,53,6885,0.195
136,Sagadahoc,54,8784,0.249
137,Sagadahoc,55,9233,0.262
