,County.2,HD #,"HD Pop.
in County","% of County
in HD"
0,Aitkin,10B,16202,1.0
1,Anoka,31A,18801,0.057
2,Anoka,31B,39602,0.12
3,Anoka,35A,39619,0.12
4,Anoka,35B,39428,0.119
5,Anoka,36A,16555,0.05
6,Anoka,36B,12604,0.038
7,Anoka,37A,39553,0.12
8,Anoka,37B,39686,0.12
9,Anoka,38A,35559,0.107
10,Anoka,41A,29197,0.088
11,Anoka,41B,20240,0.061
12,Becker,02B,18754,0.577
13,Becker,04B,13750,0.423
14,Beltrami,02A,18970,0.427
15,Beltrami,05A,25472,0.573
16,Benton,13B,15621,0.406
17,Benton,14B,8042,0.209
18,Benton,15B,14788,0.385
19,Big Stone,12A,5269,1.0
20,Blue Earth,19A,5676,0.089
21,Blue Earth,19B,39704,0.62
22,Blue Earth,23A,4,0.0
23,Blue Earth,23B,18629,0.291
24,Brown,16B,25893,1.0
25,Carlton,11A,35386,1.0
26,Carver,33B,12049,0.132
27,Carver,47A,39462,0.433
28,Carver,47B,39531,0.434
29,Cass,05A,9678,0.339
30,Cass,05B,8256,0.289
31,Cass,09A,10633,0.372
32,Chippewa,17A,12441,1.0
33,Chisago,32A,11514,0.214
34,Chisago,32B,39488,0.733
35,Chisago,39A,2885,0.054
36,Clay,04A,39892,0.676
37,Clay,04B,19107,0.324
38,Clearwater,02A,6668,0.767
39,Clearwater,02B,2027,0.233
40,Cook,03A,5176,1.0
41,Cottonwood,22B,11687,1.0
42,Crow Wing,10A,39314,0.629
43,Crow Wing,10B,23186,0.371
44,Dakota,51A,39687,0.1
45,Dakota,51B,39559,0.099
46,Dakota,52A,39400,0.099
47,Dakota,52B,39651,0.099
48,Dakota,54A,8146,0.02
49,Dakota,54B,23122,0.058
50,Dakota,56A,12729,0.032
51,Dakota,56B,39728,0.1
52,Dakota,57A,39343,0.099
53,Dakota,57B,39831,0.1
54,Dakota,58A,39504,0.099
55,Dakota,58B,37852,0.095
56,Dodge,21B,1356,0.068
57,Dodge,24B,1784,0.089
58,Dodge,25A,14026,0.698
59,Dodge,27A,2256,0.112
60,Dodge,27B,665,0.033
61,Douglas,08B,23137,0.643
62,Douglas,12A,5181,0.144
63,Douglas,12B,7691,0.214
64,Faribault,23A,10600,0.728
65,Faribault,27A,3953,0.272
66,Fillmore,28B,20866,1.0
67,Freeborn,27A,30892,0.988
68,Freeborn,27B,363,0.012
69,Goodhue,21A,31336,0.679
70,Goodhue,21B,12911,0.28
