,County.2,HD #,"HD Pop.
in County","% of County
in HD"
0,Adams,94,21489,0.665
1,Adams,96,3154,0.098
2,Adams,97,7654,0.237
3,Alcorn,1,9993,0.27
4,Alcorn,2,23275,0.628
5,Alcorn,3,2752,0.074
6,Alcorn,4,1037,0.028
7,Amite,96,8797,0.67
8,Amite,97,4334,0.33
9,Attala,27,6185,0.316
10,Attala,35,903,0.046
11,Attala,47,2085,0.107
12,Attala,48,10391,0.531
13,Benton,5,2017,0.231
14,Benton,13,6712,0.769
15,Bolivar,26,787,0.023
16,Bolivar,29,24441,0.716
17,Bolivar,30,6526,0.191
18,Bolivar,31,1225,0.036
19,Bolivar,50,1166,0.034
20,Calhoun,23,14962,1.0
21,Carroll,34,1037,0.098
22,Carroll,46,8361,0.789
23,Carroll,48,1199,0.113
24,Chickasaw,22,17392,1.0
25,Choctaw,35,8547,1.0
26,Claiborne,76,684,0.071
27,Claiborne,85,8920,0.929
28,Clarke,80,2716,0.162
29,Clarke,81,752,0.045
30,Clarke,84,13264,0.793
31,Clay,36,12722,0.617
32,Clay,37,5933,0.288
33,Clay,38,1979,0.096
34,Coahoma,9,2847,0.109
35,Coahoma,26,23304,0.891
36,Copiah,62,2964,0.101
37,Copiah,76,20543,0.698
38,Copiah,91,824,0.028
39,Copiah,92,5118,0.174
40,Covington,90,18565,0.949
41,Covington,91,1003,0.051
42,DeSoto,6,24931,0.155
43,DeSoto,7,24393,0.151
44,DeSoto,24,25485,0.158
45,DeSoto,25,25356,0.157
46,DeSoto,28,25326,0.157
47,DeSoto,40,24700,0.153
48,DeSoto,52,11061,0.069
49,Forrest,87,6254,0.083
50,Forrest,102,21317,0.284
51,Forrest,103,24251,0.324
52,Forrest,104,23112,0.308
53,Franklin,53,2730,0.336
54,Franklin,85,3632,0.447
55,Franklin,94,1309,0.161
56,Franklin,97,447,0.055
57,George,105,2474,0.11
58,George,107,15014,0.665
59,George,109,5090,0.225
60,Greene,86,1397,0.097
61,Greene,105,13003,0.903
62,Grenada,23,4359,0.199
63,Grenada,33,4548,0.208
64,Grenada,34,12626,0.576
65,Grenada,46,373,0.017
66,Hancock,93,7206,0.164
67,Hancock,95,13114,0.299
68,Hancock,122,23609,0.537
69,Harrison,95,12404,0.066
70,Harrison,114,469,0.003
71,Harrison,115,25295,0.135
72,Harrison,116,25024,0.134
73,Harrison,117,25448,0.136
74,Harrison,118,24956,0.133
75,Harrison,119,23836,0.127
76,Harrison,120,25246,0.135
77,Harrison,121,24427,0.131
78,Hinds,56,20598,0.084
79,Hinds,63,22015,0.09
80,Hinds,64,21953,0.089
81,Hinds,65,23229,0.095
82,Hinds,66,25415,0.104
83,Hinds,67,23705,0.097
84,Hinds,68,21400,0.087
85,Hinds,69,23940,0.098
86,Hinds,70,23446,0.096
87,Hinds,71,25353,0.103
88,Hinds,72,11736,0.048
89,Hinds,76,2495,0.01
90,Holmes,34,3950,0.206
91,Holmes,47,12857,0.67
92,Holmes,48,2391,0.125
93,Humphreys,31,308,0.033
94,Humphreys,51,9067,0.967
95,Issaquena,50,958,0.681
96,Issaquena,54,448,0.319
97,Itawamba,19,6446,0.275
98,Itawamba,20,142,0.006
99,Itawamba,21,16813,0.718
100,Jackson,109,18767,0.134
101,Jackson,110,23238,0.166
