,County.2,HD #,"HD Pop.
in County","% of County
in HD"
0,Belknap,Belknap 01,3259,0.054
1,Belknap,Belknap 02,13357,0.222
2,Belknap,Belknap 03,15950,0.265
3,Belknap,Belknap 04,6533,0.109
4,Belknap,Belknap 05,9019,0.15
5,Belknap,Belknap 06,7367,0.123
6,Belknap,Belknap 07,4601,0.077
7,Belknap,Belknap 08 (F),13620,0.227
8,Belknap,Belknap 09 (F),23317,0.388
9,Carroll,Carroll 01,3645,0.076
10,Carroll,Carroll 02,10959,0.229
11,Carroll,Carroll 03,7588,0.159
12,Carroll,Carroll 04,7753,0.162
13,Carroll,Carroll 05,11604,0.243
14,Carroll,Carroll 06,6269,0.131
15,Carroll,Carroll 07 (F),22192,0.464
16,Carroll,Carroll 08 (F),19357,0.405
17,Cheshire,Cheshire 01,13258,0.172
18,Cheshire,Cheshire 02,3415,0.044
19,Cheshire,Cheshire 03,3451,0.045
20,Cheshire,Cheshire 04,4810,0.062
21,Cheshire,Cheshire 05,4699,0.061
22,Cheshire,Cheshire 06,4677,0.061
23,Cheshire,Cheshire 07,4616,0.06
24,Cheshire,Cheshire 08,4622,0.06
25,Cheshire,Cheshire 09,8249,0.107
26,Cheshire,Cheshire 10,4208,0.055
27,Cheshire,Cheshire 11,8405,0.109
28,Cheshire,Cheshire 12,8366,0.108
29,Cheshire,Cheshire 13,4341,0.056
30,Cheshire,Cheshire 14 (F),16654,0.216
31,Cheshire,Cheshire 15 (F),16915,0.219
32,Cheshire,Cheshire 16 (F),23424,0.304
33,Coos,Coos 01,6314,0.191
34,Coos,Coos 02,4485,0.136
35,Coos,Coos 03,10051,0.304
36,Coos,Coos 04,4476,0.135
37,Coos,Coos 05,4496,0.136
38,Coos,Coos 06,3233,0.098
39,Coos,Coos 07 (F),13457,0.407
40,Grafton,Grafton 01,8454,0.095
41,Grafton,Grafton 02,4583,0.051
42,Grafton,Grafton 03,5041,0.057
43,Grafton,Grafton 04,4697,0.053
44,Grafton,Grafton 05,3283,0.037
45,Grafton,Grafton 06,4977,0.056
46,Grafton,Grafton 07,3333,0.037
47,Grafton,Grafton 08,9709,0.109
48,Grafton,Grafton 09,9157,0.103
49,Grafton,Grafton 10,4582,0.051
50,Grafton,Grafton 11,5175,0.058
51,Grafton,Grafton 12,12976,0.146
52,Grafton,Grafton 13,13151,0.148
53,Grafton,Grafton 14 (F),13037,0.146
54,Grafton,Grafton 15 (F),9738,0.109
55,Grafton,Grafton 16 (F),10152,0.114
56,Grafton,Grafton 17 (F),13739,0.154
57,Hillsborough,Hillsborough 01,8864,0.022
58,Hillsborough,Hillsborough 02,10705,0.027
59,Hillsborough,Hillsborough 03,4879,0.012
60,Hillsborough,Hillsborough 04,9027,0.023
61,Hillsborough,Hillsborough 05,7730,0.019
62,Hillsborough,Hillsborough 06,17651,0.044
63,Hillsborough,Hillsborough 07,21203,0.053
64,Hillsborough,Hillsborough 08,9121,0.023
65,Hillsborough,Hillsborough 09,9219,0.023
66,Hillsborough,Hillsborough 10,9113,0.023
67,Hillsborough,Hillsborough 11,9115,0.023
68,Hillsborough,Hillsborough 12,9253,0.023
69,Hillsborough,Hillsborough 13,9260,0.023
70,Hillsborough,Hillsborough 14,9175,0.023
71,Hillsborough,Hillsborough 15,9135,0.023
72,Hillsborough,Hillsborough 16,9169,0.023
73,Hillsborough,Hillsborough 17,9012,0.022
74,Hillsborough,Hillsborough 18,8991,0.022
