,County.2,AD #,"AD Pop.
in County","% of County
in AD"
0,Albany,102,12622,0.041
1,Albany,108,71502,0.235
2,Albany,109,133003,0.437
3,Albany,110,81591,0.268
4,Albany,111,5486,0.018
5,Allegany,148,48946,1.0
6,Bronx,77,125754,0.091
7,Bronx,78,125911,0.091
8,Bronx,79,125758,0.091
9,Bronx,80,126126,0.091
10,Bronx,81,126201,0.091
11,Bronx,82,126240,0.091
12,Bronx,83,125969,0.091
13,Bronx,84,125704,0.091
14,Bronx,85,125770,0.091
15,Bronx,86,125742,0.091
16,Bronx,87,125933,0.091
17,Broome,122,63458,0.316
18,Broome,123,131765,0.657
19,Broome,124,5377,0.027
20,Cattaraugus,148,80317,1.0
21,Cayuga,126,54258,0.678
22,Cayuga,130,25768,0.322
23,Chautauqua,150,134905,1.0
24,Chemung,124,79380,0.894
25,Chemung,132,9450,0.106
26,Chenango,122,38638,0.765
27,Chenango,126,11839,0.235
28,Clinton,115,82128,1.0
29,Columbia,102,4842,0.077
30,Columbia,106,38032,0.603
31,Columbia,107,20222,0.32
32,Cortland,125,31824,0.645
33,Cortland,126,17512,0.355
34,Delaware,101,12868,0.268
35,Delaware,102,11771,0.245
36,Delaware,122,23341,0.486
37,Dutchess,103,18867,0.063
38,Dutchess,104,48277,0.162
39,Dutchess,105,135315,0.455
40,Dutchess,106,95029,0.319
41,Erie,140,108872,0.118
42,Erie,141,129315,0.141
43,Erie,142,130464,0.142
44,Erie,143,129830,0.141
45,Erie,144,50166,0.055
46,Erie,145,20374,0.022
47,Erie,146,122366,0.133
48,Erie,147,97455,0.106
49,Erie,149,130198,0.142
50,Essex,114,39370,1.0
51,Franklin,115,51599,1.0
52,Fulton,118,55531,1.0
53,Genesee,139,60079,1.0
54,Greene,102,49221,1.0
55,Hamilton,118,4836,1.0
56,Herkimer,101,26113,0.405
57,Herkimer,118,30770,0.477
58,Herkimer,119,7636,0.118
59,Jefferson,116,63580,0.547
60,Jefferson,117,49175,0.423
61,Jefferson,120,3474,0.03
62,Kings,41,124068,0.05
63,Kings,42,123835,0.049
64,Kings,43,123751,0.049
65,Kings,44,124109,0.05
66,Kings,45,124127,0.05
67,Kings,46,123947,0.049
68,Kings,47,124104,0.05
69,Kings,48,124180,0.05
70,Kings,49,124154,0.05
71,Kings,50,124059,0.05
72,Kings,51,123915,0.049
73,Kings,52,124034,0.05
74,Kings,53,123692,0.049
75,Kings,54,123474,0.049
76,Kings,55,123033,0.049
77,Kings,56,123091,0.049
78,Kings,57,123531,0.049
79,Kings,58,123901,0.049
80,Kings,59,124055,0.05
81,Kings,60,123314,0.049
82,Kings,64,28326,0.011
83,Lewis,117,27087,1.0
84,Livingston,133,65393,1.0
85,Madison,121,73442,1.0
86,Monroe,133,46810,0.063
87,Monroe,134,131584,0.177
88,Monroe,135,131932,0.177
89,Monroe,136,133337,0.179
90,Monroe,137,131946,0.177
91,Monroe,138,133189,0.179
92,Monroe,139,35546,0.048
93,Montgomery,111,50219,1.0
94,Nassau,9,51557,0.038
95,Nassau,13,128820,0.096
96,Nassau,14,128867,0.096
97,Nassau,15,128876,0.096
98,Nassau,16,128897,0.096
99,Nassau,17,128866,0.096
100,Nassau,18,128294,0.096
101,Nassau,19,128880,0.096
102,Nassau,20,128832,0.096
103,Nassau,21,128807,0.096
104,Nassau,22,128836,0.096
105,New York,65,132244,0.083
106,New York,66,132349,0.083
107,New York,67,132481,0.084
108,New York,68,131465,0.083
109,New York,69,132153,0.083
110,New York,70,131333,0.083
111,New York,71,131749,0.083
112,New York,72,132166,0.083
113,New York,73,132549,0.084
114,New York,74,132247,0.083
115,New York,75,132562,0.084
116,New York,76,132575,0.084
117,Niagara,140,21584,0.1
118,Niagara,144,78563,0.363
119,Niagara,145,109925,0.508
120,Niagara,146,6397,0.03
121,Oneida,101,26577,0.113
122,Oneida,117,41297,0.176
123,Oneida,118,22863,0.097
124,Oneida,119,127428,0.543
125,Oneida,121,16713,0.071
126,Onondaga,120,21759,0.047
127,Onondaga,126,52687,0.113
128,Onondaga,127,133990,0.287
129,Onondaga,128,129204,0.277
130,Onondaga,129,129386,0.277
131,Ontario,131,107931,1.0
132,Orange,98,101436,0.272
133,Orange,99,118258,0.317
134,Orange,100,62530,0.168
135,Orange,101,31922,0.086
136,Orange,104,58667,0.157
137,Orleans,139,37564,0.876
138,Orleans,144,5319,0.124
139,Oswego,120,107612,0.881
140,Oswego,130,14497,0.119
