,County.2,HD #,"HD Pop.
in County","% of County
in HD"
0,Adair,86,22683,1.0
1,Alfalfa,58,5642,1.0
2,Atoka,19,5390,0.38
3,Atoka,22,8792,0.62
4,Beaver,61,5636,1.0
5,Beckham,55,16460,0.744
6,Beckham,57,5659,0.256
7,Blaine,57,1944,0.163
8,Blaine,59,9999,0.837
9,Bryan,19,5081,0.12
10,Bryan,21,37335,0.88
11,Caddo,56,14845,0.502
12,Caddo,57,784,0.026
13,Caddo,60,8213,0.277
14,Caddo,65,5758,0.195
15,Canadian,41,12900,0.112
16,Canadian,43,37356,0.323
17,Canadian,47,30747,0.266
18,Canadian,57,1509,0.013
19,Canadian,59,4354,0.038
20,Canadian,60,28675,0.248
21,Carter,48,35610,0.749
22,Carter,49,11947,0.251
23,Cherokee,4,37367,0.795
24,Cherokee,14,4556,0.097
25,Cherokee,86,5064,0.108
26,Choctaw,19,15205,1.0
27,Cimarron,61,2475,1.0
28,Cleveland,20,18829,0.074
29,Cleveland,27,17138,0.067
30,Cleveland,44,37207,0.145
31,Cleveland,45,37105,0.145
32,Cleveland,46,37080,0.145
33,Cleveland,53,37134,0.145
34,Cleveland,54,32392,0.127
35,Cleveland,90,1701,0.007
36,Cleveland,91,37169,0.145
37,Coal,18,5925,1.0
38,Comanche,62,37363,0.301
39,Comanche,63,29235,0.236
40,Comanche,64,37200,0.3
41,Comanche,65,20300,0.164
42,Cotton,65,6193,1.0
43,Craig,6,15029,1.0
44,Creek,29,32721,0.468
45,Creek,30,28187,0.403
46,Creek,35,8108,0.116
47,Creek,68,951,0.014
48,Custer,57,27469,1.0
49,Delaware,5,26777,0.645
50,Delaware,7,5304,0.128
51,Delaware,86,9406,0.227
52,Dewey,59,4810,1.0
53,Ellis,61,4151,1.0
54,Garfield,38,4661,0.077
55,Garfield,40,37301,0.616
56,Garfield,41,18618,0.307
57,Garvin,20,4373,0.159
58,Garvin,22,4796,0.174
59,Garvin,42,17574,0.637
60,Garvin,48,833,0.03
61,Grady,47,6690,0.128
62,Grady,51,22681,0.433
63,Grady,56,19930,0.38
64,Grady,65,3130,0.06
65,Grant,38,4527,1.0
66,Greer,52,5516,0.884
67,Greer,55,723,0.116
68,Harmon,52,2922,1.0
69,Harper,61,3685,1.0
70,Haskell,15,12769,1.0
71,Hughes,18,3046,0.218
72,Hughes,24,10957,0.782
73,Jackson,52,26446,1.0
74,Jefferson,50,6472,1.0
75,Johnston,22,10957,1.0
76,Kay,37,29766,0.639
77,Kay,38,16796,0.361
78,Kingfisher,41,1828,0.122
79,Kingfisher,59,13206,0.878
80,Kiowa,52,2580,0.273
81,Kiowa,55,4776,0.506
82,Kiowa,56,2090,0.221
83,Latimer,17,11154,1.0
84,Le Flore,1,3723,0.074
85,Le Flore,3,36932,0.733
86,Le Flore,15,7068,0.14
87,Le Flore,17,2661,0.053
88,Lincoln,32,34273,1.0
89,Logan,31,32000,0.765
90,Logan,32,2691,0.064
91,Logan,33,504,0.012
92,Logan,38,6653,0.159
93,Love,49,9423,1.0
94,McClain,20,13250,0.384
95,McClain,42,19307,0.56
96,McClain,51,1949,0.056
97,McCurtain,1,33151,1.0
98,McIntosh,13,6313,0.312
