,County.2,HD #,"HD Pop.
in County","% of County
in HD"
0,Adams,91,63921,0.63
1,Adams,193,37486,0.37
2,Allegheny,16,2852,0.002
3,Allegheny,19,60421,0.049
4,Allegheny,20,60424,0.049
5,Allegheny,21,60110,0.049
6,Allegheny,23,61268,0.05
7,Allegheny,24,60119,0.049
8,Allegheny,25,61621,0.05
9,Allegheny,27,60431,0.049
10,Allegheny,28,61510,0.05
11,Allegheny,30,63379,0.052
12,Allegheny,32,64219,0.052
13,Allegheny,33,43004,0.035
14,Allegheny,34,60609,0.05
15,Allegheny,35,61200,0.05
16,Allegheny,36,60847,0.05
17,Allegheny,38,64003,0.052
18,Allegheny,39,48421,0.04
19,Allegheny,40,40419,0.033
20,Allegheny,42,60780,0.05
21,Allegheny,44,61658,0.05
22,Allegheny,45,61008,0.05
23,Allegheny,46,29730,0.024
24,Allegheny,54,15315,0.013
25,Armstrong,55,6547,0.095
26,Armstrong,60,45302,0.657
27,Armstrong,63,17092,0.248
28,Beaver,10,27671,0.162
29,Beaver,14,47495,0.278
30,Beaver,15,35809,0.21
31,Beaver,16,59564,0.349
32,Bedford,69,12902,0.259
33,Bedford,78,36860,0.741
34,Berks,5,61841,0.15
35,Berks,124,19571,0.048
36,Berks,126,63848,0.155
37,Berks,127,64252,0.156
38,Berks,128,56683,0.138
39,Berks,129,51421,0.125
40,Berks,130,62534,0.152
41,Berks,134,17871,0.043
42,Berks,187,13421,0.033
43,Blair,79,63113,0.497
44,Blair,80,63976,0.503
45,Bradford,68,17058,0.272
46,Bradford,110,45564,0.728
47,Bucks,18,60427,0.097
48,Bucks,29,63429,0.101
49,Bucks,31,63073,0.101
50,Bucks,140,61160,0.098
51,Bucks,141,62570,0.1
52,Bucks,142,64837,0.104
53,Bucks,143,62717,0.1
54,Bucks,144,61914,0.099
55,Bucks,145,62991,0.101
56,Bucks,178,62131,0.099
57,Butler,8,23313,0.127
58,Butler,10,9239,0.05
59,Butler,11,60755,0.33
60,Butler,12,61137,0.333
61,Butler,14,12724,0.069
62,Butler,60,10842,0.059
63,Butler,64,5852,0.032
64,Cambria,71,64013,0.446
65,Cambria,72,64033,0.446
66,Cambria,73,15633,0.109
67,Cameron,67,5085,1.0
68,Carbon,122,62215,0.954
69,Carbon,124,3034,0.046
70,Centre,76,24111,0.157
71,Centre,77,64021,0.416
72,Centre,81,15559,0.101
73,Centre,171,50299,0.327
74,Chester,13,58883,0.118
75,Chester,26,55908,0.112
76,Chester,74,62890,0.126
77,Chester,155,63660,0.128
78,Chester,156,63470,0.127
79,Chester,157,49048,0.098
80,Chester,158,60613,0.121
81,Chester,160,21823,0.044
82,Chester,167,62591,0.125
83,Clarion,63,39988,1.0
84,Clearfield,73,49259,0.603
85,Clearfield,75,32383,0.397
86,Clinton,76,39238,1.0
87,Columbia,107,3877,0.058
88,Columbia,109,63418,0.942
89,Crawford,6,50259,0.566
90,Crawford,17,21292,0.24
91,Crawford,65,17214,0.194
92,Cumberland,86,18869,0.08
93,Cumberland,87,63291,0.269
94,Cumberland,88,61489,0.261
95,Cumberland,92,5823,0.025
96,Cumberland,193,23609,0.1
97,Cumberland,199,62325,0.265
98,Dauphin,98,5235,0.02
99,Dauphin,103,64170,0.239
100,Dauphin,104,58416,0.218
101,Dauphin,105,62951,0.235
102,Dauphin,106,64229,0.24
103,Dauphin,125,13099,0.049
104,Delaware,159,60270,0.108
105,Delaware,160,41508,0.074
106,Delaware,161,63539,0.114
107,Delaware,162,63600,0.114
108,Delaware,163,62505,0.112
109,Delaware,164,61023,0.109
110,Delaware,165,63806,0.114
111,Delaware,166,51995,0.093
112,Delaware,168,61472,0.11
113,Delaware,185,11714,0.021
114,Delaware,191,17547,0.031
115,Elk,75,31946,1.0
116,Erie,1,60428,0.215
117,Erie,2,61102,0.218
118,Erie,3,63364,0.226
119,Erie,4,60603,0.216
120,Erie,6,14171,0.051
121,Erie,17,20898,0.074
122,Fayette,49,10675,0.078
123,Fayette,50,17995,0.132
124,Fayette,51,51241,0.375
125,Fayette,52,56695,0.415
126,Forest,63,3990,0.517
127,Forest,65,3726,0.483
128,Franklin,78,12476,0.083
129,Franklin,82,10349,0.069
130,Franklin,89,62975,0.421
131,Franklin,90,63818,0.427
132,Fulton,78,14845,1.0
133,Greene,50,38686,1.0
134,Huntingdon,81,45913,1.0
135,Indiana,55,873,0.01
136,Indiana,60,5306,0.06
137,Indiana,62,63460,0.714
138,Indiana,66,19241,0.216
139,Jefferson,66,45200,1.0
140,Juniata,82,24636,1.0
141,Lackawanna,112,63713,0.297
142,Lackawanna,113,64445,0.301
143,Lackawanna,114,63360,0.295
144,Lackawanna,117,3994,0.019
145,Lackawanna,118,18925,0.088
146,Lancaster,13,4563,0.009
147,Lancaster,37,61166,0.118
148,Lancaster,41,62692,0.121
149,Lancaster,43,61192,0.118
150,Lancaster,96,63712,0.123
151,Lancaster,97,63829,0.123
152,Lancaster,98,57078,0.11
153,Lancaster,99,62684,0.121
154,Lancaster,100,63248,0.122
155,Lancaster,128,7199,0.014
156,Lancaster,129,12082,0.023
157,Lawrence,9,60516,0.664
158,Lawrence,10,25411,0.279
159,Lawrence,17,5181,0.057
160,Lebanon,101,64543,0.483
161,Lebanon,102,63843,0.478
162,Lebanon,104,5182,0.039
163,Lehigh,22,61697,0.177
164,Lehigh,131,40568,0.116
165,Lehigh,132,62145,0.178
166,Lehigh,133,61468,0.176
167,Lehigh,134,46235,0.132
168,Lehigh,183,26877,0.077
169,Lehigh,187,50507,0.145
170,Luzerne,116,61883,0.193
171,Luzerne,117,28559,0.089
172,Luzerne,118,43059,0.134
173,Luzerne,119,63187,0.197
174,Luzerne,120,62171,0.194
175,Luzerne,121,62059,0.193
176,Lycoming,83,62097,0.535
177,Lycoming,84,54014,0.465
178,Mc Kean,67,43450,1.0
179,Mercer,7,63943,0.548
180,Mercer,8,37664,0.323
181,Mercer,17,15031,0.129
182,Mifflin,81,3075,0.066
183,Mifflin,82,29094,0.623
184,Mifflin,171,14513,0.311
185,Monroe,115,61244,0.361
186,Monroe,176,64551,0.38
187,Monroe,189,44047,0.259
188,Montgomery,26,8739,0.011
189,Montgomery,53,61659,0.077
190,Montgomery,61,61503,0.077
191,Montgomery,70,63899,0.08
192,Montgomery,131,15641,0.02
193,Montgomery,146,61171,0.076
194,Montgomery,147,62015,0.078
195,Montgomery,148,63904,0.08
196,Montgomery,149,62968,0.079
197,Montgomery,150,63950,0.08
198,Montgomery,151,60458,0.076
