,County.2,HD #,"HD Pop.
in County","% of County
in HD"
0,Anderson,8,58458,1.0
1,Andrews,81,14786,1.0
2,Angelina,57,86771,1.0
3,Aransas,30,23158,1.0
4,Archer,69,9054,1.0
5,Armstrong,88,1901,1.0
6,Atascosa,31,44911,1.0
7,Austin,13,28417,1.0
8,Bailey,88,7165,1.0
9,Bandera,53,20485,1.0
10,Bastrop,17,74171,1.0
11,Baylor,69,3726,1.0
12,Bee,43,31861,1.0
13,Bell,54,148059,0.477
14,Bell,55,162176,0.523
15,Bexar,116,171463,0.1
16,Bexar,117,168692,0.098
17,Bexar,118,164436,0.096
18,Bexar,119,159981,0.093
19,Bexar,120,175132,0.102
20,Bexar,121,174867,0.102
21,Bexar,122,175184,0.102
22,Bexar,123,175674,0.102
23,Bexar,124,174795,0.102
24,Bexar,125,174549,0.102
25,Blanco,45,10497,1.0
26,Borden,83,641,1.0
27,Bosque,58,18212,1.0
28,Bowie,1,92565,1.0
29,Brazoria,25,137466,0.439
30,Brazoria,29,175700,0.561
31,Brazos,12,31664,0.163
32,Brazos,14,163187,0.837
33,Brewster,74,9232,1.0
34,Briscoe,88,1637,1.0
35,Brooks,31,7223,1.0
36,Brown,60,38106,1.0
37,Burleson,13,17187,1.0
38,Burnet,20,42750,1.0
39,Caldwell,17,38066,1.0
40,Calhoun,30,21381,1.0
41,Callahan,60,13544,1.0
42,Cameron,35,68918,0.17
43,Cameron,37,169088,0.416
44,Cameron,38,168214,0.414
45,Camp,5,12401,1.0
46,Carson,87,6182,1.0
47,Cass,9,30464,1.0
48,Castro,88,8062,1.0
49,Chambers,23,35096,1.0
50,Cherokee,11,50845,1.0
51,Childress,68,7041,1.0
52,Clay,69,10752,1.0
53,Cochran,88,3127,1.0
54,Coke,72,3320,1.0
55,Coleman,60,8895,1.0
56,Collin,33,93798,0.12
57,Collin,66,172129,0.22
58,Collin,67,172141,0.22
59,Collin,70,172143,0.22
60,Collin,89,172130,0.22
61,Collingsworth,68,3057,1.0
62,Colorado,13,20874,1.0
63,Comal,73,108472,1.0
64,Comanche,59,13974,1.0
65,Concho,72,4087,1.0
66,Cooke,68,38437,1.0
67,Coryell,59,75388,1.0
68,Cottle,68,1505,1.0
69,Crane,82,4375,1.0
70,Crockett,53,3719,1.0
71,Crosby,68,6059,1.0
72,Culberson,74,2398,1.0
73,Dallam,86,6703,1.0
74,Dallas,100,161143,0.068
75,Dallas,102,161136,0.068
76,Dallas,103,170948,0.072
77,Dallas,104,172784,0.073
78,Dallas,105,175728,0.074
79,Dallas,107,171872,0.073
80,Dallas,108,163233,0.069
81,Dallas,109,174219,0.074
82,Dallas,110,167508,0.071
83,Dallas,111,166967,0.071
84,Dallas,112,167051,0.071
85,Dallas,113,171418,0.072
86,Dallas,114,172330,0.073
87,Dallas,115,171802,0.073
88,Dawson,82,13833,1.0
89,Deaf Smith,86,19372,1.0
90,Delta,62,5231,1.0
91,Denton,63,167337,0.253
92,Denton,64,167588,0.253
93,Denton,65,165726,0.25
94,Denton,106,161963,0.244
95,DeWitt,30,20097,1.0
96,Dickens,68,2444,1.0
97,Dimmit,80,9996,1.0
98,Donley,88,3677,1.0
99,Duval,31,11782,1.0
100,Eastland,60,18583,1.0
101,Ector,81,137130,1.0
102,Edwards,53,2002,1.0
103,Ellis,10,149610,1.0
104,El Paso,75,159691,0.199
105,El Paso,76,159752,0.2
106,El Paso,77,160385,0.2
107,El Paso,78,160161,0.2
108,El Paso,79,160658,0.201
109,Erath,59,37890,1.0
110,Falls,12,17866,1.0
111,Fannin,62,33915,1.0
112,Fayette,13,24554,1.0
113,Fisher,68,3974,1.0
114,Floyd,68,6446,1.0
115,Foard,69,1336,1.0
116,Fort Bend,26,160091,0.273
117,Fort Bend,27,160080,0.273
118,Fort Bend,28,160373,0.274
119,Fort Bend,85,104827,0.179
120,Fort Bend,131,4,0.0
121,Franklin,1,10605,1.0
122,Freestone,8,19816,1.0
123,Frio,80,17217,1.0
124,Gaines,83,17526,1.0
125,Galveston,23,128624,0.442
126,Galveston,24,162685,0.558
127,Garza,68,6461,1.0
128,Gillespie,73,24837,1.0
129,Glasscock,72,1226,1.0
130,Goliad,30,7210,1.0
131,Gonzales,17,19807,1.0
132,Gray,88,22535,1.0
133,Grayson,62,120877,1.0
134,Gregg,7,121730,1.0
135,Grimes,13,26604,1.0
136,Guadalupe,44,131533,1.0
137,Hale,88,36273,1.0
138,Hall,68,3353,1.0
139,Hamilton,59,8517,1.0
140,Hansford,88,5613,1.0
141,Hardeman,68,4139,1.0
142,Hardin,19,54635,1.0
143,Harris,126,169256,0.041
144,Harris,127,163983,0.04
145,Harris,128,172221,0.042
146,Harris,129,174127,0.043
147,Harris,130,175532,0.043
148,Harris,131,175227,0.043
149,Harris,132,172973,0.042
150,Harris,133,171401,0.042
151,Harris,134,174421,0.043
152,Harris,135,172422,0.042
153,Harris,137,171079,0.042
154,Harris,138,173059,0.042
155,Harris,139,175733,0.043
156,Harris,140,170732,0.042
157,Harris,141,166498,0.041
158,Harris,142,159541,0.039
159,Harris,143,167215,0.041
160,Harris,144,161859,0.04
161,Harris,145,164574,0.04
162,Harris,146,174485,0.043
163,Harris,147,175873,0.043
164,Harris,148,170811,0.042
165,Harris,149,170702,0.042
166,Harris,150,168735,0.041
167,Harrison,9,65631,1.0
168,Hartley,86,6062,1.0
169,Haskell,68,5899,1.0
170,Hays,45,157107,1.0
171,Hemphill,88,3807,1.0
172,Henderson,4,65079,0.829
173,Henderson,10,13453,0.171
174,Hidalgo,35,99709,0.129
175,Hidalgo,36,168963,0.218
176,Hidalgo,39,168659,0.218
177,Hidalgo,40,168662,0.218
178,Hidalgo,41,168776,0.218
179,Hill,8,35089,1.0
180,Hockley,88,22935,1.0
181,Hood,60,51182,1.0
182,Hopkins,2,35161,1.0
183,Houston,57,23732,1.0
184,Howard,72,35012,1.0
185,Hudspeth,74,3476,1.0
186,Hunt,2,86129,1.0
187,Hutchinson,87,22150,1.0
188,Irion,72,1599,1.0
189,Jack,68,9044,1.0
190,Jackson,85,14075,1.0
191,Jasper,19,35710,1.0
192,Jeff Davis,74,2342,1.0
193,Jefferson,21,90343,0.358
194,Jefferson,22,161930,0.642
195,Jim Hogg,31,5300,1.0
196,Jim Wells,43,40838,1.0
197,Johnson,58,150934,1.0
198,Jones,71,20202,1.0
199,Karnes,17,14824,1.0
200,Kaufman,4,103350,1.0
201,Kendall,73,33410,1.0
202,Kenedy,31,416,1.0
203,Kent,68,808,1.0
204,Kerr,53,49625,1.0
205,Kimble,53,4607,1.0
206,King,68,286,1.0
207,Kinney,74,3598,1.0
208,Kleberg,43,32061,1.0
209,Knox,69,3719,1.0
210,Lamar,1,49793,1.0
211,Lamb,88,13977,1.0
212,Lampasas,54,19677,1.0
213,La Salle,31,6886,1.0
214,Lavaca,13,19263,1.0
215,Lee,17,16612,1.0
216,Leon,57,16801,1.0
217,Liberty,18,75643,1.0
218,Limestone,12,23384,1.0
219,Lipscomb,88,3302,1.0
220,Live Oak,31,11531,1.0
221,Llano,53,19301,1.0
222,Loving,74,82,1.0
223,Lubbock,83,110861,0.398
224,Lubbock,84,167970,0.602
225,Lynn,83,5915,1.0
226,McCulloch,59,8283,1.0
227,McLennan,12,71037,0.302
228,McLennan,56,163869,0.698
229,McMullen,31,707,1.0
230,Madison,57,13664,1.0
231,Marion,9,10546,1.0
232,Martin,82,4799,1.0
233,Mason,53,4012,1.0
234,Matagorda,25,36702,1.0
235,Maverick,74,54258,1.0
236,Medina,53,46006,1.0
237,Menard,53,2242,1.0
238,Midland,82,136872,1.0
239,Milam,20,24757,1.0
240,Mills,59,4936,1.0
241,Mitchell,83,9403,1.0
242,Montague,68,19719,1.0
243,Montgomery,3,121750,0.267
244,Montgomery,15,167349,0.367
245,Montgomery,16,166647,0.366
246,Moore,87,21904,1.0
247,Morris,5,12934,1.0
248,Motley,68,1210,1.0
249,Nacogdoches,11,64524,1.0
250,Navarro,8,47735,1.0
251,Newton,19,14445,1.0
252,Nolan,71,15216,1.0
253,Nueces,32,167074,0.491
254,Nueces,34,173149,0.509
255,Ochiltree,88,10223,1.0
256,Oldham,86,2052,1.0
257,Orange,21,81837,1.0
258,Palo Pinto,60,28111,1.0
259,Panola,9,23796,1.0
260,Parker,61,116927,1.0
261,Parmer,86,10269,1.0
262,Pecos,74,15507,1.0
263,Polk,19,45413,1.0
264,Potter,87,121073,1.0
265,Presidio,74,7818,1.0
266,Rains,5,10914,1.0
267,Randall,86,120725,1.0
268,Reagan,72,3367,1.0
269,Real,53,3309,1.0
270,Red River,1,12860,1.0
271,Reeves,74,13783,1.0
272,Refugio,30,7383,1.0
273,Roberts,88,929,1.0
274,Robertson,12,16622,1.0
275,Rockwall,33,78337,1.0
276,Runnels,72,10501,1.0
277,Rusk,11,53330,1.0
278,Sabine,9,10834,1.0
279,San Augustine,57,8865,1.0
280,San Jacinto,18,26384,1.0
281,San Patricio,43,64804,1.0
282,San Saba,59,6131,1.0
283,Schleicher,53,3461,1.0
284,Scurry,83,16921,1.0
285,Shackelford,60,3378,1.0
286,Shelby,9,25448,1.0
287,Sherman,87,3034,1.0
288,Smith,5,49706,0.237
289,Smith,6,160008,0.763
290,Somervell,59,8490,1.0
291,Starr,31,60968,1.0
292,Stephens,60,9630,1.0
293,Sterling,72,1143,1.0
294,Stonewall,68,1490,1.0
295,Sutton,53,4128,1.0
296,Swisher,88,7854,1.0
297,Tarrant,90,159684,0.088
298,Tarrant,91,162838,0.09
299,Tarrant,92,162326,0.09
300,Tarrant,93,162216,0.09
301,Tarrant,94,167374,0.093
302,Tarrant,95,161634,0.089
303,Tarrant,96,164930,0.091
304,Tarrant,97,168869,0.093
305,Tarrant,98,164081,0.091
306,Tarrant,99,170418,0.094
307,Tarrant,101,164664,0.091
308,Taylor,71,131506,1.0
309,Terrell,74,984,1.0
310,Terry,83,12651,1.0
311,Throckmorton,68,1641,1.0
312,Titus,5,32334,1.0
313,Tom Green,72,110224,1.0
314,Travis,46,166447,0.163
315,Travis,47,175314,0.171
316,Travis,48,173008,0.169
317,Travis,49,167309,0.163
318,Travis,50,166516,0.163
319,Travis,51,175672,0.172
320,Trinity,57,14585,1.0
321,Tyler,19,21766,1.0
322,Upshur,7,39309,1.0
323,Upton,82,3355,1.0
324,Uvalde,80,26405,1.0
325,Val Verde,74,48879,1.0
326,Van Zandt,2,52579,1.0
327,Victoria,30,86793,1.0
328,Walker,18,67861,1.0
329,Waller,3,43205,1.0
330,Ward,81,10658,1.0
331,Washington,13,33718,1.0
332,Webb,42,167668,0.67
333,Webb,80,82636,0.33
334,Wharton,85,41280,1.0
