,County.2,HD #,"HD Pop.
in County","% of County
in HD"
0,Accomack,100.0,33164.0,1.0
1,Albemarle,25.0,21420.0,0.216
2,Albemarle,57.0,37303.0,0.377
3,Albemarle,58.0,30929.0,0.313
4,Albemarle,59.0,9318.0,0.094
5,Alleghany,19.0,16250.0,1.0
6,Amelia,61.0,12690.0,1.0
7,Amherst,23.0,10678.0,0.33
8,Amherst,24.0,21675.0,0.67
9,Appomattox,59.0,14973.0,1.0
10,Arlington,45.0,14388.0,0.069
11,Arlington,47.0,80757.0,0.389
12,Arlington,48.0,55008.0,0.265
13,Arlington,49.0,57474.0,0.277
14,Augusta,20.0,24485.0,0.332
15,Augusta,24.0,17273.0,0.234
16,Augusta,25.0,31992.0,0.434
17,Bath,24.0,4731.0,1.0
18,Bedford,19.0,29170.0,0.389
19,Bedford,22.0,28780.0,0.384
20,Bedford,23.0,16948.0,0.226
21,Bland,3.0,6824.0,1.0
22,Botetourt,17.0,4449.0,0.134
23,Botetourt,19.0,28699.0,0.866
24,Brunswick,75.0,17434.0,1.0
25,Buchanan,3.0,24098.0,1.0
26,Buckingham,59.0,17146.0,1.0
27,Campbell,22.0,17154.0,0.313
28,Campbell,59.0,30664.0,0.559
29,Campbell,60.0,7024.0,0.128
30,Caroline,54.0,2484.0,0.087
31,Caroline,55.0,19742.0,0.692
32,Caroline,99.0,6319.0,0.221
33,Carroll,6.0,30042.0,1.0
34,Charles City,74.0,7256.0,1.0
35,Charlotte,60.0,12586.0,1.0
36,Chesterfield,27.0,79381.0,0.251
37,Chesterfield,62.0,49193.0,0.156
38,Chesterfield,63.0,13302.0,0.042
39,Chesterfield,65.0,33896.0,0.107
40,Chesterfield,66.0,61986.0,0.196
41,Chesterfield,68.0,40203.0,0.127
42,Chesterfield,69.0,4994.0,0.016
43,Chesterfield,70.0,33281.0,0.105
44,Clarke,10.0,4309.0,0.307
45,Clarke,33.0,9725.0,0.693
46,Craig,8.0,5190.0,1.0
47,Culpeper,18.0,12895.0,0.276
48,Culpeper,30.0,33794.0,0.724
49,Cumberland,61.0,10052.0,1.0
50,Dickenson,4.0,15903.0,1.0
51,Dinwiddie,63.0,18117.0,0.647
52,Dinwiddie,75.0,9884.0,0.353
53,Essex,98.0,11151.0,1.0
54,Fairfax,34.0,53301.0,0.049
55,Fairfax,35.0,80213.0,0.074
56,Fairfax,36.0,79746.0,0.074
57,Fairfax,37.0,57690.0,0.053
58,Fairfax,38.0,80758.0,0.075
59,Fairfax,39.0,80710.0,0.075
60,Fairfax,40.0,66026.0,0.061
61,Fairfax,41.0,80792.0,0.075
62,Fairfax,42.0,79964.0,0.074
63,Fairfax,43.0,80750.0,0.075
64,Fairfax,44.0,80796.0,0.075
65,Fairfax,45.0,6219.0,0.006
66,Fairfax,48.0,24484.0,0.023
67,Fairfax,49.0,23135.0,0.021
68,Fairfax,53.0,67717.0,0.063
