,County.2,AD #,"AD Pop.
in County","% of County
in AD"
0,Adams,41,13507,0.647
1,Adams,72,7368,0.353
2,Ashland,74,16157,1.0
3,Barron,67,20,0.0
4,Barron,75,45850,1.0
5,Bayfield,74,15014,1.0
6,Brown,1,8424,0.034
7,Brown,2,33946,0.137
8,Brown,4,57486,0.232
9,Brown,5,8740,0.035
10,Brown,6,5929,0.024
11,Brown,88,57528,0.232
12,Brown,89,18346,0.074
13,Brown,90,57608,0.232
14,Buffalo,92,13278,0.977
15,Buffalo,93,309,0.023
16,Burnett,28,9534,0.617
17,Burnett,73,5724,0.37
18,Burnett,75,199,0.013
19,Calumet,3,34555,0.706
20,Calumet,25,8034,0.164
21,Calumet,27,309,0.006
22,Calumet,59,6073,0.124
23,Chippewa,67,41780,0.669
24,Chippewa,68,20583,0.33
25,Chippewa,91,52,0.001
26,Clark,68,10362,0.299
27,Clark,69,23520,0.678
28,Clark,87,808,0.023
29,Columbia,37,4991,0.088
30,Columbia,41,2439,0.043
31,Columbia,42,33934,0.597
32,Columbia,81,15469,0.272
33,Crawford,96,16644,1.0
34,Dane,37,13635,0.028
35,Dane,38,11939,0.024
36,Dane,42,4454,0.009
37,Dane,43,7747,0.016
38,Dane,46,57460,0.118
39,Dane,47,57550,0.118
40,Dane,48,57506,0.118
41,Dane,76,57617,0.118
42,Dane,77,57348,0.117
43,Dane,78,57368,0.118
44,Dane,79,57580,0.118
45,Dane,80,41512,0.085
46,Dane,81,6357,0.013
47,Dodge,37,15761,0.178
48,Dodge,39,54651,0.616
49,Dodge,42,10483,0.118
50,Dodge,53,7864,0.089
51,Door,1,27785,1.0
52,Douglas,73,42982,0.973
53,Douglas,74,1177,0.027
54,Dunn,29,23617,0.538
55,Dunn,67,15446,0.352
56,Dunn,75,677,0.015
57,Dunn,93,4117,0.094
58,Eau Claire,68,22681,0.23
59,Eau Claire,91,57310,0.58
60,Eau Claire,93,18745,0.19
61,Florence,34,4423,1.0
62,Fond du Lac,41,9133,0.09
63,Fond du Lac,42,3036,0.03
64,Fond du Lac,52,57232,0.563
65,Fond du Lac,53,18204,0.179
66,Fond du Lac,59,14028,0.138
67,Forest,34,2310,0.248
68,Forest,36,6994,0.752
69,Grant,49,51208,1.0
70,Green,45,10561,0.287
71,Green,51,14974,0.406
72,Green,80,11307,0.307
73,Green Lake,41,16639,0.873
74,Green Lake,42,2412,0.127
75,Iowa,49,153,0.006
76,Iowa,51,16421,0.693
77,Iowa,80,4823,0.204
78,Iowa,81,2290,0.097
79,Iron,74,5916,1.0
80,Jackson,68,1119,0.055
81,Jackson,70,1482,0.072
82,Jackson,92,17848,0.873
83,Jefferson,33,33022,0.395
84,Jefferson,37,23112,0.276
85,Jefferson,38,19526,0.233
86,Jefferson,43,8026,0.096
87,Juneau,41,2,0.0
88,Juneau,50,26662,1.0
89,Kenosha,32,3379,0.02
90,Kenosha,61,57618,0.346
91,Kenosha,64,47994,0.288
92,Kenosha,65,57435,0.345
93,Kewaunee,1,20574,1.0
94,La Crosse,94,57265,0.5
95,La Crosse,95,57373,0.5
96,Lafayette,49,1699,0.101
97,Lafayette,51,15137,0.899
98,Langlade,35,17446,0.873
99,Langlade,36,2531,0.127
100,Lincoln,35,28743,1.0
101,Manitowoc,1,437,0.005
102,Manitowoc,2,23578,0.29
103,Manitowoc,25,49290,0.605
104,Manitowoc,27,8137,0.1
105,Marathon,35,3548,0.026
106,Marathon,69,16102,0.12
107,Marathon,85,57492,0.429
108,Marathon,86,50742,0.378
109,Marathon,87,6179,0.046
110,Marinette,36,18928,0.453
111,Marinette,89,22821,0.547
112,Marquette,41,12438,0.807
113,Marquette,42,2966,0.193
114,Menominee,36,4232,1.0
115,Milwaukee,7,57492,0.061
116,Milwaukee,8,57196,0.06
117,Milwaukee,9,57289,0.06
118,Milwaukee,10,57428,0.061
119,Milwaukee,11,57503,0.061
120,Milwaukee,12,57494,0.061
121,Milwaukee,13,33325,0.035
122,Milwaukee,14,31754,0.034
123,Milwaukee,15,36764,0.039
124,Milwaukee,16,57458,0.061
125,Milwaukee,17,57354,0.061
126,Milwaukee,18,57480,0.061
127,Milwaukee,19,57546,0.061
128,Milwaukee,20,57428,0.061
129,Milwaukee,21,57449,0.061
130,Milwaukee,22,6777,0.007
131,Milwaukee,23,25111,0.026
132,Milwaukee,24,20436,0.022
133,Milwaukee,82,57430,0.061
134,Milwaukee,83,8632,0.009
135,Milwaukee,84,38389,0.041
136,Monroe,50,1829,0.041
137,Monroe,70,30970,0.693
138,Monroe,96,11874,0.266
139,Oconto,36,21193,0.563
140,Oconto,89,16467,0.437
141,Oneida,34,32665,0.907
142,Oneida,35,3333,0.093
143,Outagamie,2,151,0.001
144,Outagamie,3,22886,0.13
145,Outagamie,5,48730,0.276
146,Outagamie,6,9311,0.053
147,Outagamie,40,1610,0.009
148,Outagamie,55,14216,0.08
149,Outagamie,56,46831,0.265
150,Outagamie,57,32960,0.187
151,Ozaukee,23,32472,0.376
152,Ozaukee,24,9500,0.11
153,Ozaukee,60,44423,0.514
154,Pepin,93,7469,1.0
155,Pierce,30,14122,0.344
156,Pierce,93,26897,0.656
157,Polk,28,41262,0.933
158,Polk,75,2943,0.067
159,Portage,70,8940,0.128
160,Portage,71,57509,0.821
161,Portage,72,3570,0.051
162,Price,74,14159,1.0
163,Racine,32,2149,0.011
164,Racine,62,57320,0.293
165,Racine,63,57390,0.294
