,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Aleutians East,S,3141.0,1.0
1,Aleutians West,S,5561.0,1.0
2,Anchorage,F,7739.0,0.027
3,Anchorage,G,35496.0,0.122
4,Anchorage,H,35478.0,0.122
5,Anchorage,I,35722.0,0.122
6,Anchorage,J,35410.0,0.121
7,Anchorage,K,35397.0,0.121
8,Anchorage,L,35511.0,0.122
9,Anchorage,M,35617.0,0.122
10,Anchorage,N,35456.0,0.121
11,Bethel,S,17013.0,1.0
12,Bristol Bay,S,997.0,1.0
13,Denali,C,1826.0,1.0
14,Dillingham,S,4847.0,1.0
15,Fairbanks North Star,A,35464.0,0.363
16,Fairbanks North Star,B,35459.0,0.363
17,Fairbanks North Star,C,26658.0,0.273
18,Haines,Q,2508.0,1.0
19,Hoonah-Angoon,Q,552.0,0.257
20,Hoonah-Angoon,R,1598.0,0.743
21,Juneau,Q,31275.0,1.0
22,Kenai Peninsula,O,36047.0,0.651
23,Kenai Peninsula,P,19353.0,0.349
24,Ketchikan Gateway,R,13477.0,1.0
25,Kodiak Island,P,13592.0,1.0
26,Kusilvak,S,746.0,0.1
27,Kusilvak,T,6713.0,0.9
28,Lake and Peninsula,S,1631.0,1.0
29,Matanuska-Susitna,D,35533.0,0.399
30,Matanuska-Susitna,E,25814.0,0.29
31,Matanuska-Susitna,F,27648.0,0.311
32,Nome,T,9492.0,1.0
33,North Slope,T,9430.0,1.0
34,Northwest Arctic,T,7523.0,1.0
35,Petersburg,R,3815.0,1.0
36,Prince of Wales-Hyder,R,5559.0,1.0
37,Sitka,R,8881.0,1.0
38,Skagway Municipality,Q,968.0,1.0
39,Southeast Fairbanks,C,2232.0,0.318
40,Southeast Fairbanks,E,4797.0,0.682
41,Valdez-Cordova,C,2240.0,0.232
42,Valdez-Cordova,E,4955.0,0.514
43,Valdez-Cordova,P,2441.0,0.253
44,Wrangell City and,R,2369.0,1.0
45,Yakutat,P,662.0,1.0
46,Yukon-Koyukuk,C,2688.0,0.481
47,Yukon-Koyukuk,S,1058.0,0.189
48,Yukon-Koyukuk,T,1842.0,0.33
