,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Autauga,30.0,54571.0,1.0
1,Baldwin,22.0,44347.0,0.243
2,Baldwin,32.0,137918.0,0.757
3,Barbour,28.0,27457.0,1.0
4,Bibb,14.0,22915.0,1.0
5,Blount,9.0,12710.0,0.222
6,Blount,17.0,44612.0,0.778
7,Bullock,28.0,10914.0,1.0
8,Butler,23.0,20947.0,1.0
9,Calhoun,12.0,118572.0,1.0
10,Chambers,13.0,34215.0,1.0
11,Cherokee,10.0,20645.0,0.794
12,Cherokee,13.0,5344.0,0.206
13,Chilton,14.0,32604.0,0.747
14,Chilton,30.0,11039.0,0.253
15,Choctaw,22.0,3059.0,0.221
16,Choctaw,24.0,10800.0,0.779
17,Clarke,22.0,13467.0,0.521
18,Clarke,23.0,8502.0,0.329
19,Clarke,24.0,3864.0,0.15
20,Clay,12.0,5367.0,0.385
21,Clay,13.0,8565.0,0.615
22,Cleburne,13.0,14972.0,1.0
23,Coffee,31.0,49948.0,1.0
24,Colbert,6.0,54428.0,1.0
25,Conecuh,22.0,3960.0,0.299
26,Conecuh,23.0,9268.0,0.701
27,Coosa,30.0,11539.0,1.0
28,Covington,31.0,37765.0,1.0
29,Crenshaw,25.0,13906.0,1.0
30,Cullman,4.0,80406.0,1.0
31,Dale,29.0,32946.0,0.656
32,Dale,31.0,17305.0,0.344
33,Dallas,23.0,43820.0,1.0
34,DeKalb,8.0,51422.0,0.723
35,DeKalb,9.0,12891.0,0.181
36,DeKalb,10.0,6796.0,0.096
37,Elmore,25.0,28674.0,0.362
38,Elmore,30.0,50629.0,0.638
39,Escambia,22.0,38319.0,1.0
40,Etowah,10.0,104430.0,1.0
41,Fayette,5.0,17241.0,1.0
42,Franklin,6.0,31704.0,1.0
43,Geneva,29.0,26790.0,1.0
44,Greene,24.0,9045.0,1.0
45,Hale,14.0,3097.0,0.197
46,Hale,24.0,12663.0,0.803
47,Henry,28.0,17302.0,1.0
48,Houston,28.0,23362.0,0.23
49,Houston,29.0,78185.0,0.77
50,Jackson,8.0,53227.0,1.0
51,Jefferson,5.0,18626.0,0.028
52,Jefferson,14.0,11123.0,0.017
53,Jefferson,15.0,51564.0,0.078
54,Jefferson,16.0,94811.0,0.144
55,Jefferson,17.0,76659.0,0.116
56,Jefferson,18.0,135258.0,0.205
57,Jefferson,19.0,135218.0,0.205
58,Jefferson,20.0,135207.0,0.205
59,Lamar,21.0,14564.0,1.0
60,Lauderdale,1.0,65612.0,0.708
61,Lauderdale,6.0,27097.0,0.292
62,Lawrence,4.0,29991.0,0.873
63,Lawrence,6.0,4348.0,0.127
64,Lee,13.0,51874.0,0.37
65,Lee,27.0,82218.0,0.586
66,Lee,28.0,6155.0,0.044
67,Limestone,1.0,48995.0,0.592
68,Limestone,2.0,23957.0,0.289
69,Limestone,3.0,9830.0,0.119
70,Lowndes,23.0,11299.0,1.0
71,Macon,28.0,21452.0,1.0
72,Madison,1.0,22031.0,0.066
73,Madison,2.0,113975.0,0.34
74,Madison,3.0,8322.0,0.025
75,Madison,7.0,137905.0,0.412
76,Madison,8.0,33277.0,0.099
77,Madison,9.0,19301.0,0.058
78,Marengo,23.0,6269.0,0.298
79,Marengo,24.0,14758.0,0.702
80,Marion,4.0,12344.0,0.401
81,Marion,6.0,18432.0,0.599
82,Marshall,9.0,93019.0,1.0
83,Mobile,22.0,6279.0,0.015
84,Mobile,33.0,136214.0,0.33
85,Mobile,34.0,135267.0,0.328
86,Mobile,35.0,135232.0,0.327
87,Monroe,22.0,12097.0,0.524
88,Monroe,23.0,10971.0,0.476
89,Montgomery,25.0,92912.0,0.405
90,Montgomery,26.0,136451.0,0.595
91,Morgan,3.0,119490.0,1.0
92,Perry,23.0,10591.0,1.0
93,Pickens,21.0,12443.0,0.63
94,Pickens,24.0,7303.0,0.37
95,Pike,31.0,32899.0,1.0
96,Randolph,13.0,22913.0,1.0
97,Russell,27.0,21680.0,0.409
98,Russell,28.0,31267.0,0.591
99,St. Clair,10.0,5452.0,0.065
100,St. Clair,11.0,69982.0,0.837
101,St. Clair,17.0,8159.0,0.098
102,Shelby,11.0,24832.0,0.127
103,Shelby,14.0,66471.0,0.341
104,Shelby,15.0,61429.0,0.315
105,Shelby,16.0,42353.0,0.217
106,Sumter,24.0,13763.0,1.0
107,Talladega,11.0,41300.0,0.502
108,Talladega,12.0,11319.0,0.138
109,Talladega,15.0,23875.0,0.29
110,Talladega,17.0,5797.0,0.07
111,Tallapoosa,27.0,34020.0,0.817
112,Tallapoosa,30.0,7596.0,0.183
113,Tuscaloosa,5.0,20514.0,0.105
114,Tuscaloosa,21.0,108598.0,0.558
115,Tuscaloosa,24.0,65544.0,0.337
116,Walker,5.0,67023.0,1.0
117,Washington,22.0,15580.0,0.886
118,Washington,23.0,2001.0,0.114
119,Wilcox,23.0,11670.0,1.0
120,Winston,4.0,12473.0,0.509
121,Winston,5.0,12011.0,0.491
