,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Arkansas,25.0,2500.0,0.131
1,Arkansas,28.0,16519.0,0.869
2,Ashley,26.0,21853.0,1.0
3,Baxter,17.0,35596.0,0.857
4,Baxter,18.0,5917.0,0.143
5,Benton,1.0,76737.0,0.347
6,Benton,2.0,60902.0,0.275
7,Benton,3.0,83700.0,0.378
8,Boone,16.0,3806.0,0.103
9,Boone,17.0,33097.0,0.897
10,Bradley,26.0,11508.0,1.0
11,Calhoun,27.0,5368.0,1.0
12,Carroll,5.0,22320.0,0.813
13,Carroll,16.0,5126.0,0.187
14,Chicot,26.0,11800.0,1.0
15,Clark,10.0,5665.0,0.246
16,Clark,12.0,17330.0,0.754
17,Clay,20.0,16083.0,1.0
18,Cleburne,18.0,25970.0,1.0
19,Cleveland,26.0,4173.0,0.48
20,Cleveland,27.0,4516.0,0.52
21,Columbia,12.0,24552.0,1.0
22,Conway,15.0,21273.0,1.0
23,Craighead,20.0,3146.0,0.033
24,Craighead,21.0,84045.0,0.871
25,Craighead,22.0,9252.0,0.096
26,Crawford,5.0,30667.0,0.495
27,Crawford,9.0,31281.0,0.505
28,Crittenden,24.0,50902.0,1.0
29,Cross,23.0,16547.0,0.926
30,Cross,24.0,1323.0,0.074
31,Dallas,12.0,8116.0,1.0
32,Desha,25.0,5903.0,0.454
33,Desha,26.0,7105.0,0.546
34,Drew,26.0,18509.0,1.0
35,Faulkner,15.0,20473.0,0.181
36,Faulkner,18.0,4269.0,0.038
37,Faulkner,29.0,7428.0,0.066
38,Faulkner,35.0,81067.0,0.716
39,Franklin,5.0,726.0,0.04
40,Franklin,6.0,13524.0,0.746
41,Franklin,9.0,3875.0,0.214
42,Fulton,18.0,6701.0,0.547
43,Fulton,19.0,5544.0,0.453
44,Garland,13.0,26214.0,0.273
45,Garland,14.0,69810.0,0.727
46,Grant,12.0,11215.0,0.628
47,Grant,13.0,3645.0,0.204
48,Grant,27.0,2993.0,0.168
49,Greene,20.0,42090.0,1.0
50,Hempstead,10.0,19432.0,0.859
51,Hempstead,11.0,3177.0,0.141
52,Hot Spring,13.0,32923.0,1.0
53,Howard,10.0,13789.0,1.0
54,Independence,19.0,36647.0,1.0
55,Izard,19.0,13696.0,1.0
56,Jackson,23.0,17997.0,1.0
57,Jefferson,25.0,61587.0,0.795
58,Jefferson,27.0,15848.0,0.205
59,Johnson,5.0,118.0,0.005
60,Johnson,6.0,25422.0,0.995
61,Lafayette,11.0,7645.0,1.0
62,Lawrence,20.0,17415.0,1.0
63,Lee,23.0,2822.0,0.271
64,Lee,24.0,7602.0,0.729
65,Lincoln,25.0,6155.0,0.435
66,Lincoln,26.0,7979.0,0.565
67,Little River,11.0,13171.0,1.0
68,Logan,6.0,22353.0,1.0
69,Lonoke,28.0,16532.0,0.242
70,Lonoke,29.0,51824.0,0.758
71,Madison,5.0,15717.0,1.0
72,Marion,17.0,15193.0,0.912
73,Marion,18.0,1460.0,0.088
74,Miller,11.0,43462.0,1.0
75,Mississippi,22.0,46480.0,1.0
76,Monroe,23.0,4736.0,0.581
77,Monroe,25.0,465.0,0.057
78,Monroe,28.0,2948.0,0.362
79,Montgomery,10.0,9487.0,1.0
80,Nevada,10.0,1393.0,0.155
81,Nevada,12.0,7604.0,0.845
82,Newton,16.0,8330.0,1.0
83,Ouachita,12.0,13901.0,0.532
84,Ouachita,27.0,12219.0,0.468
85,Perry,15.0,9972.0,0.955
86,Perry,35.0,473.0,0.045
87,Phillips,24.0,16824.0,0.773
88,Phillips,25.0,4933.0,0.227
89,Pike,10.0,11291.0,1.0
90,Poinsett,22.0,24583.0,1.0
91,Polk,10.0,20662.0,1.0
92,Pope,16.0,61754.0,1.0
93,Prairie,28.0,8715.0,1.0
94,Pulaski,15.0,23257.0,0.061
95,Pulaski,29.0,13990.0,0.037
96,Pulaski,30.0,80769.0,0.211
97,Pulaski,31.0,83517.0,0.218
98,Pulaski,32.0,82467.0,0.215
99,Pulaski,33.0,12711.0,0.033
100,Pulaski,34.0,86037.0,0.225
101,Randolph,19.0,10752.0,0.598
102,Randolph,20.0,7217.0,0.402
103,St. Francis,23.0,17761.0,0.629
104,St. Francis,24.0,10497.0,0.371
105,Saline,13.0,21131.0,0.197
106,Saline,14.0,12395.0,0.116
107,Saline,33.0,73592.0,0.687
108,Scott,9.0,11233.0,1.0
109,Searcy,18.0,8195.0,1.0
110,Sebastian,5.0,5833.0,0.046
111,Sebastian,8.0,82321.0,0.655
112,Sebastian,9.0,37590.0,0.299
113,Sevier,10.0,1668.0,0.098
114,Sevier,11.0,15390.0,0.902
115,Sharp,19.0,17264.0,1.0
116,Stone,18.0,12394.0,1.0
117,Union,27.0,41639.0,1.0
118,Van Buren,15.0,7183.0,0.415
119,Van Buren,16.0,5316.0,0.307
120,Van Buren,18.0,4796.0,0.277
121,Washington,1.0,5769.0,0.028
122,Washington,2.0,23243.0,0.114
123,Washington,4.0,82788.0,0.408
124,Washington,5.0,7622.0,0.038
125,Washington,7.0,83643.0,0.412
126,White,18.0,12653.0,0.164
127,White,23.0,15741.0,0.204
128,White,28.0,39278.0,0.51
129,White,29.0,9404.0,0.122
130,Woodruff,23.0,6419.0,0.884
131,Woodruff,28.0,841.0,0.116
132,Yell,6.0,22185.0,1.0
