,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Adams,21.0,147077.0,0.333
1,Adams,24.0,147254.0,0.333
2,Adams,25.0,147272.0,0.333
3,Alamosa,35.0,15445.0,1.0
4,Arapahoe,26.0,143001.0,0.25
5,Arapahoe,27.0,140830.0,0.246
6,Arapahoe,28.0,140632.0,0.246
7,Arapahoe,29.0,140780.0,0.246
8,Arapahoe,31.0,6760.0,0.012
9,Archuleta,6.0,12084.0,1.0
10,Baca,35.0,3788.0,1.0
11,Bent,35.0,6499.0,1.0
12,Boulder,16.0,14293.0,0.049
13,Boulder,17.0,140126.0,0.476
14,Boulder,18.0,140148.0,0.476
15,Broomfield,23.0,55889.0,1.0
16,Chaffee,5.0,17809.0,1.0
17,Cheyenne,1.0,1836.0,1.0
18,Clear Creek,2.0,9088.0,1.0
19,Conejos,35.0,8256.0,1.0
20,Costilla,35.0,3524.0,1.0
21,Crowley,35.0,5823.0,1.0
22,Custer,35.0,4255.0,1.0
23,Delta,5.0,30952.0,1.0
24,Denver,16.0,27983.0,0.047
25,Denver,31.0,140423.0,0.234
26,Denver,32.0,145528.0,0.242
27,Denver,33.0,145605.0,0.243
28,Denver,34.0,140619.0,0.234
29,Dolores,6.0,2064.0,1.0
30,Douglas,4.0,142188.0,0.498
31,Douglas,30.0,143277.0,0.502
32,Eagle,5.0,52197.0,1.0
33,Elbert,1.0,23086.0,1.0
34,El Paso,2.0,50285.0,0.081
35,El Paso,9.0,145975.0,0.235
36,El Paso,10.0,144855.0,0.233
37,El Paso,11.0,140096.0,0.225
38,El Paso,12.0,141052.0,0.227
39,Fremont,2.0,46824.0,1.0
40,Garfield,8.0,56389.0,1.0
41,Gilpin,16.0,5441.0,1.0
42,Grand,8.0,14843.0,1.0
43,Gunnison,5.0,15324.0,1.0
44,Hinsdale,5.0,843.0,1.0
45,Huerfano,35.0,6711.0,1.0
46,Jackson,8.0,1394.0,1.0
47,Jefferson,16.0,99228.0,0.186
48,Jefferson,19.0,140983.0,0.264
49,Jefferson,20.0,147164.0,0.275
50,Jefferson,22.0,147168.0,0.275
51,Kiowa,35.0,1398.0,1.0
52,Kit Carson,1.0,8270.0,1.0
53,Lake,5.0,7310.0,1.0
54,La Plata,6.0,51334.0,1.0
55,Larimer,14.0,146707.0,0.49
56,Larimer,15.0,140982.0,0.471
57,Larimer,23.0,11941.0,0.04
58,Las Animas,35.0,15507.0,1.0
59,Lincoln,1.0,5467.0,1.0
60,Logan,1.0,22709.0,1.0
61,Mesa,7.0,146723.0,1.0
62,Mineral,35.0,712.0,1.0
63,Moffat,8.0,13795.0,1.0
64,Montezuma,6.0,25535.0,1.0
65,Montrose,6.0,41276.0,1.0
66,Morgan,1.0,28159.0,1.0
67,Otero,35.0,18831.0,1.0
68,Ouray,6.0,4436.0,1.0
69,Park,2.0,16206.0,1.0
70,Phillips,1.0,4442.0,1.0
71,Pitkin,5.0,17148.0,1.0
72,Prowers,35.0,12551.0,1.0
73,Pueblo,3.0,140106.0,0.881
74,Pueblo,35.0,18957.0,0.119
75,Rio Blanco,8.0,6666.0,1.0
76,Rio Grande,35.0,11982.0,1.0
77,Routt,8.0,23509.0,1.0
78,Saguache,35.0,6108.0,1.0
79,San Juan,6.0,699.0,1.0
80,San Miguel,6.0,7359.0,1.0
81,Sedgwick,1.0,2379.0,1.0
82,Summit,8.0,27994.0,1.0
83,Teller,2.0,23350.0,1.0
84,Washington,1.0,4814.0,1.0
85,Weld,1.0,32855.0,0.13
86,Weld,13.0,144390.0,0.571
87,Weld,23.0,75580.0,0.299
88,Yuma,1.0,10043.0,1.0
