,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Alachua,8.0,247336.0,1.0
1,Baker,5.0,27115.0,1.0
2,Bay,2.0,168852.0,1.0
3,Bradford,5.0,28520.0,1.0
4,Brevard,14.0,210312.0,0.387
5,Brevard,17.0,333064.0,0.613
6,Broward,29.0,123631.0,0.071
7,Broward,32.0,466155.0,0.267
8,Broward,33.0,465667.0,0.266
9,Broward,34.0,465665.0,0.266
10,Broward,35.0,226948.0,0.13
11,Calhoun,3.0,14625.0,1.0
12,Charlotte,23.0,92960.0,0.581
13,Charlotte,26.0,67018.0,0.419
14,Citrus,10.0,141236.0,1.0
15,Clay,5.0,190865.0,1.0
16,Collier,28.0,321520.0,1.0
17,Columbia,5.0,67531.0,1.0
18,DeSoto,26.0,34862.0,1.0
19,Dixie,5.0,16422.0,1.0
20,Duval,4.0,393673.0,0.456
21,Duval,6.0,470590.0,0.544
22,Escambia,1.0,297619.0,1.0
23,Flagler,7.0,95696.0,1.0
24,Franklin,3.0,11549.0,1.0
25,Gadsden,3.0,46389.0,1.0
26,Gilchrist,5.0,16939.0,1.0
27,Glades,26.0,12884.0,1.0
28,Gulf,3.0,15863.0,1.0
29,Hamilton,3.0,14799.0,1.0
30,Hardee,26.0,27731.0,1.0
31,Hendry,28.0,39140.0,1.0
32,Hernando,10.0,172778.0,1.0
33,Highlands,26.0,98786.0,1.0
34,Hillsborough,18.0,470486.0,0.383
35,Hillsborough,19.0,354024.0,0.288
36,Hillsborough,20.0,255878.0,0.208
37,Hillsborough,21.0,148838.0,0.121
38,Holmes,2.0,19927.0,1.0
39,Indian River,17.0,138028.0,1.0
40,Jackson,2.0,49746.0,1.0
41,Jefferson,3.0,14761.0,1.0
42,Lafayette,5.0,8870.0,1.0
43,Lake,12.0,215973.0,0.727
44,Lake,22.0,81079.0,0.273
45,Lee,26.0,31022.0,0.05
46,Lee,27.0,474201.0,0.766
47,Lee,28.0,113531.0,0.183
48,Leon,3.0,275487.0,1.0
49,Levy,5.0,40801.0,1.0
50,Liberty,3.0,8365.0,1.0
51,Madison,3.0,19224.0,1.0
52,Manatee,21.0,322833.0,1.0
53,Marion,5.0,16511.0,0.05
54,Marion,8.0,150449.0,0.454
55,Marion,12.0,164338.0,0.496
56,Martin,25.0,146318.0,1.0
57,Miami-Dade,35.0,239157.0,0.096
58,Miami-Dade,36.0,465618.0,0.187
59,Miami-Dade,37.0,465416.0,0.186
60,Miami-Dade,38.0,466655.0,0.187
61,Miami-Dade,39.0,393564.0,0.158
62,Miami-Dade,40.0,466025.0,0.187
63,Monroe,39.0,73090.0,1.0
64,Nassau,4.0,73314.0,1.0
65,Okaloosa,1.0,24954.0,0.138
66,Okaloosa,2.0,155868.0,0.862
67,Okeechobee,26.0,39996.0,1.0
68,Orange,11.0,471085.0,0.411
69,Orange,13.0,470829.0,0.411
70,Orange,15.0,204042.0,0.178
71,Osceola,15.0,268685.0,1.0
72,Palm Beach,25.0,41678.0,0.032
73,Palm Beach,29.0,344321.0,0.261
74,Palm Beach,30.0,466545.0,0.353
75,Palm Beach,31.0,467590.0,0.354
76,Pasco,10.0,154642.0,0.333
77,Pasco,16.0,149926.0,0.323
78,Pasco,20.0,160129.0,0.345
79,Pinellas,16.0,323080.0,0.352
80,Pinellas,19.0,119044.0,0.13
81,Pinellas,24.0,474418.0,0.518
82,Polk,20.0,56881.0,0.094
83,Polk,22.0,387860.0,0.644
84,Polk,26.0,157354.0,0.261
85,Putnam,8.0,74364.0,1.0
86,St. Johns,7.0,190039.0,1.0
87,St. Lucie,25.0,277789.0,1.0
88,Santa Rosa,1.0,151372.0,1.0
89,Sarasota,23.0,379448.0,1.0
90,Seminole,9.0,422718.0,1.0
91,Sumter,12.0,93420.0,1.0
92,Suwannee,5.0,41551.0,1.0
93,Taylor,3.0,22570.0,1.0
94,Union,5.0,15535.0,1.0
95,Volusia,7.0,185414.0,0.375
96,Volusia,9.0,45972.0,0.093
97,Volusia,14.0,263207.0,0.532
98,Wakulla,3.0,30776.0,1.0
99,Walton,2.0,55043.0,1.0
100,Washington,2.0,24896.0,1.0
