,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Appling,19.0,18236.0,1.0
1,Atkinson,7.0,8375.0,1.0
2,Bacon,7.0,11096.0,1.0
3,Baker,12.0,3451.0,1.0
4,Baldwin,25.0,45720.0,1.0
5,Banks,50.0,18395.0,1.0
6,Barrow,47.0,69367.0,1.0
7,Bartow,14.0,61564.0,0.615
8,Bartow,52.0,38593.0,0.385
9,Ben Hill,7.0,17634.0,1.0
10,Berrien,7.0,19286.0,1.0
11,Bibb,18.0,52830.0,0.34
12,Bibb,25.0,11764.0,0.076
13,Bibb,26.0,90953.0,0.585
14,Bleckley,20.0,13063.0,1.0
15,Brantley,3.0,18411.0,1.0
16,Brooks,8.0,16243.0,1.0
17,Bryan,1.0,30233.0,1.0
18,Bulloch,4.0,70217.0,1.0
19,Burke,23.0,23316.0,1.0
20,Butts,25.0,23655.0,1.0
21,Calhoun,12.0,6694.0,1.0
22,Camden,3.0,50513.0,1.0
23,Candler,4.0,10998.0,1.0
24,Carroll,28.0,11556.0,0.105
25,Carroll,30.0,98971.0,0.895
26,Catoosa,53.0,63942.0,1.0
27,Charlton,3.0,9069.0,0.745
28,Charlton,7.0,3102.0,0.255
29,Chatham,1.0,93061.0,0.351
30,Chatham,2.0,172067.0,0.649
31,Chattahoochee,15.0,11267.0,1.0
32,Chattooga,52.0,2195.0,0.084
33,Chattooga,53.0,23820.0,0.916
34,Cherokee,14.0,91011.0,0.425
35,Cherokee,21.0,117110.0,0.546
36,Cherokee,56.0,6225.0,0.029
37,Clarke,46.0,70780.0,0.606
38,Clarke,47.0,45934.0,0.394
39,Clay,12.0,3183.0,1.0
40,Clayton,34.0,138249.0,0.533
41,Clayton,44.0,121175.0,0.467
42,Clinch,8.0,6798.0,1.0
43,Cobb,6.0,95336.0,0.139
44,Cobb,14.0,20576.0,0.03
45,Cobb,32.0,153221.0,0.223
46,Cobb,33.0,174114.0,0.253
47,Cobb,37.0,172832.0,0.251
48,Cobb,38.0,71999.0,0.105
49,Coffee,7.0,42356.0,1.0
50,Colquitt,11.0,45498.0,1.0
51,Columbia,23.0,32670.0,0.263
52,Columbia,24.0,91383.0,0.737
53,Cook,8.0,17212.0,1.0
54,Coweta,28.0,127317.0,1.0
55,Crawford,18.0,12630.0,1.0
56,Crisp,13.0,23439.0,1.0
57,Dade,53.0,16633.0,1.0
58,Dawson,51.0,22330.0,1.0
59,Decatur,11.0,27842.0,1.0
60,DeKalb,10.0,83713.0,0.121
61,DeKalb,40.0,136349.0,0.197
62,DeKalb,41.0,126251.0,0.182
63,DeKalb,42.0,172447.0,0.249
64,DeKalb,43.0,43505.0,0.063
65,DeKalb,44.0,53289.0,0.077
66,DeKalb,55.0,76339.0,0.11
67,Dodge,13.0,21796.0,1.0
68,Dooly,13.0,14918.0,1.0
69,Dougherty,12.0,94565.0,1.0
70,Douglas,30.0,35279.0,0.266
71,Douglas,35.0,97124.0,0.734
72,Early,11.0,11008.0,1.0
73,Echols,8.0,4034.0,1.0
74,Effingham,4.0,52250.0,1.0
75,Elbert,24.0,20166.0,1.0
76,Emanuel,4.0,15935.0,0.705
77,Emanuel,23.0,6663.0,0.295
78,Evans,4.0,11000.0,1.0
79,Fannin,51.0,23682.0,1.0
80,Fayette,16.0,71753.0,0.673
81,Fayette,34.0,34814.0,0.327
82,Floyd,52.0,96317.0,1.0
83,Forsyth,27.0,172726.0,0.984
84,Forsyth,51.0,2785.0,0.016
85,Franklin,50.0,22084.0,1.0
86,Fulton,6.0,78361.0,0.085
87,Fulton,21.0,57398.0,0.062
88,Fulton,28.0,2367.0,0.003
89,Fulton,32.0,21050.0,0.023
90,Fulton,35.0,76604.0,0.083
91,Fulton,36.0,172083.0,0.187
92,Fulton,38.0,102542.0,0.111
93,Fulton,39.0,173809.0,0.189
94,Fulton,40.0,9738.0,0.011
95,Fulton,48.0,58367.0,0.063
96,Fulton,56.0,168262.0,0.183
97,Gilmer,51.0,28292.0,1.0
98,Glascock,23.0,3082.0,1.0
99,Glynn,3.0,79626.0,1.0
100,Gordon,52.0,35389.0,0.641
101,Gordon,54.0,19797.0,0.359
102,Grady,11.0,25011.0,1.0
103,Greene,25.0,15994.0,1.0
104,Gwinnett,5.0,172513.0,0.214
105,Gwinnett,9.0,173867.0,0.216
106,Gwinnett,40.0,27452.0,0.034
107,Gwinnett,41.0,47201.0,0.059
108,Gwinnett,45.0,173558.0,0.216
109,Gwinnett,48.0,112873.0,0.14
110,Gwinnett,55.0,97857.0,0.122
111,Habersham,50.0,43041.0,1.0
112,Hall,49.0,173823.0,0.967
113,Hall,50.0,5861.0,0.033
114,Hancock,25.0,20.0,0.002
115,Hancock,26.0,9409.0,0.998
116,Haralson,31.0,28780.0,1.0
117,Harris,29.0,32024.0,1.0
118,Hart,24.0,25213.0,1.0
119,Heard,28.0,11834.0,1.0
120,Henry,10.0,88673.0,0.435
121,Henry,17.0,115249.0,0.565
122,Houston,18.0,26250.0,0.188
123,Houston,20.0,100352.0,0.717
124,Houston,26.0,13298.0,0.095
125,Irwin,7.0,9538.0,1.0
126,Jackson,47.0,30996.0,0.512
127,Jackson,50.0,29489.0,0.488
128,Jasper,25.0,13900.0,1.0
129,Jeff Davis,19.0,15068.0,1.0
130,Jefferson,23.0,16930.0,1.0
131,Jenkins,23.0,8340.0,1.0
132,Johnson,23.0,9980.0,1.0
133,Jones,25.0,10771.0,0.376
134,Jones,26.0,17898.0,0.624
135,Lamar,16.0,18317.0,1.0
136,Lanier,8.0,10078.0,1.0
137,Laurens,20.0,48434.0,1.0
138,Lee,13.0,28298.0,1.0
139,Liberty,1.0,48019.0,0.757
140,Liberty,19.0,15434.0,0.243
141,Lincoln,24.0,7996.0,1.0
142,Long,19.0,14464.0,1.0
143,Lowndes,8.0,109233.0,1.0
144,Lumpkin,51.0,29966.0,1.0
145,McDuffie,23.0,21875.0,1.0
146,McIntosh,3.0,14333.0,1.0
147,Macon,15.0,14740.0,1.0
148,Madison,47.0,28120.0,1.0
149,Marion,15.0,8742.0,1.0
150,Meriwether,29.0,21992.0,1.0
151,Miller,11.0,6125.0,1.0
152,Mitchell,11.0,11436.0,0.487
153,Mitchell,12.0,12062.0,0.513
154,Monroe,18.0,26424.0,1.0
155,Montgomery,19.0,9123.0,1.0
