,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Adair,10.0,7682.0,1.0
1,Adams,11.0,4029.0,1.0
2,Allamakee,28.0,14330.0,1.0
3,Appanoose,40.0,12887.0,1.0
4,Audubon,6.0,6119.0,1.0
5,Benton,38.0,26076.0,1.0
6,Black Hawk,30.0,60658.0,0.463
7,Black Hawk,31.0,61122.0,0.466
8,Black Hawk,32.0,6290.0,0.048
9,Black Hawk,36.0,3020.0,0.023
10,Boone,24.0,26306.0,1.0
11,Bremer,32.0,24276.0,1.0
12,Buchanan,32.0,19265.0,0.919
13,Buchanan,48.0,1693.0,0.081
14,Buena Vista,6.0,20260.0,1.0
15,Butler,25.0,7258.0,0.488
16,Butler,27.0,7609.0,0.512
17,Calhoun,5.0,9670.0,1.0
18,Carroll,6.0,20816.0,1.0
19,Cass,10.0,1841.0,0.132
20,Cass,11.0,12115.0,0.868
21,Cedar,37.0,18499.0,1.0
22,Cerro Gordo,26.0,1775.0,0.04
23,Cerro Gordo,27.0,42376.0,0.96
24,Cherokee,2.0,12072.0,1.0
25,Chickasaw,26.0,12439.0,1.0
26,Clarke,14.0,9286.0,1.0
27,Clay,1.0,16667.0,1.0
28,Clayton,28.0,18129.0,1.0
29,Clinton,49.0,49116.0,1.0
30,Crawford,6.0,3702.0,0.217
31,Crawford,9.0,13394.0,0.783
32,Dallas,10.0,35892.0,0.543
33,Dallas,22.0,30243.0,0.457
34,Davis,41.0,8753.0,1.0
35,Decatur,14.0,8457.0,1.0
36,Delaware,48.0,17764.0,1.0
37,Des Moines,44.0,40325.0,1.0
38,Dickinson,1.0,16667.0,1.0
39,Dubuque,29.0,32921.0,0.352
40,Dubuque,50.0,60732.0,0.648
41,Emmet,4.0,10302.0,1.0
42,Fayette,28.0,9649.0,0.462
43,Fayette,32.0,11231.0,0.538
44,Floyd,26.0,16303.0,1.0
45,Franklin,27.0,10680.0,1.0
46,Fremont,12.0,7441.0,1.0
47,Greene,24.0,9336.0,1.0
48,Grundy,25.0,12453.0,1.0
49,Guthrie,10.0,10954.0,1.0
50,Hamilton,24.0,15673.0,1.0
51,Hancock,4.0,11341.0,1.0
52,Hardin,25.0,17534.0,1.0
53,Harrison,9.0,14928.0,1.0
54,Henry,42.0,20145.0,1.0
55,Howard,26.0,9566.0,1.0
