,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Allen,12.0,13371.0,1.0
1,Anderson,12.0,8102.0,1.0
2,Atchison,1.0,16924.0,1.0
3,Barber,32.0,4861.0,1.0
4,Barton,33.0,27674.0,1.0
5,Bourbon,12.0,4804.0,0.317
6,Bourbon,13.0,10369.0,0.683
7,Brown,1.0,9984.0,1.0
8,Butler,14.0,29902.0,0.454
9,Butler,16.0,35978.0,0.546
10,Chase,35.0,2790.0,1.0
11,Chautauqua,14.0,3669.0,1.0
12,Cherokee,13.0,21603.0,1.0
13,Cheyenne,40.0,2726.0,1.0
14,Clark,38.0,2215.0,1.0
15,Clay,22.0,8535.0,1.0
16,Cloud,36.0,9533.0,1.0
17,Coffey,14.0,8601.0,1.0
18,Comanche,32.0,1891.0,1.0
19,Cowley,14.0,5711.0,0.157
20,Cowley,32.0,30600.0,0.843
21,Crawford,13.0,39134.0,1.0
22,Decatur,40.0,2961.0,1.0
23,Dickinson,24.0,14536.0,0.736
24,Dickinson,35.0,5218.0,0.264
25,Doniphan,1.0,7945.0,1.0
26,Douglas,2.0,62616.0,0.565
27,Douglas,3.0,43128.0,0.389
28,Douglas,19.0,5082.0,0.046
29,Edwards,33.0,3037.0,1.0
30,Elk,14.0,2882.0,1.0
31,Ellis,40.0,28452.0,1.0
32,Ellsworth,35.0,6497.0,1.0
33,Finney,39.0,36776.0,1.0
34,Ford,38.0,33848.0,1.0
35,Franklin,12.0,25992.0,1.0
36,Geary,17.0,31599.0,0.92
37,Geary,22.0,2763.0,0.08
38,Gove,40.0,2695.0,1.0
39,Graham,40.0,2597.0,1.0
40,Grant,39.0,7829.0,1.0
41,Gray,38.0,6006.0,1.0
42,Greeley,39.0,1247.0,1.0
43,Greenwood,14.0,6689.0,1.0
44,Hamilton,39.0,2690.0,1.0
45,Harper,32.0,6034.0,1.0
46,Harvey,31.0,34684.0,1.0
47,Haskell,39.0,4256.0,1.0
48,Hodgeman,33.0,1592.0,0.831
49,Hodgeman,38.0,324.0,0.169
50,Jackson,1.0,13462.0,1.0
51,Jefferson,2.0,17665.0,0.924
52,Jefferson,19.0,1461.0,0.076
53,Jewell,36.0,3077.0,1.0
54,Johnson,6.0,6599.0,0.012
55,Johnson,7.0,70577.0,0.13
56,Johnson,8.0,69780.0,0.128
57,Johnson,9.0,70212.0,0.129
58,Johnson,10.0,70088.0,0.129
59,Johnson,11.0,69863.0,0.128
60,Johnson,21.0,70443.0,0.129
61,Johnson,23.0,71169.0,0.131
62,Johnson,37.0,45448.0,0.084
63,Kearny,39.0,3977.0,1.0
64,Kingman,32.0,1872.0,0.238
65,Kingman,34.0,5986.0,0.762
66,Kiowa,33.0,2553.0,1.0
67,Labette,13.0,1412.0,0.065
68,Labette,15.0,20195.0,0.935
69,Lane,33.0,1750.0,1.0
70,Leavenworth,3.0,29108.0,0.382
71,Leavenworth,5.0,47119.0,0.618
72,Lincoln,36.0,3241.0,1.0
73,Linn,12.0,9656.0,1.0
74,Logan,40.0,2756.0,1.0
75,Lyon,17.0,33690.0,1.0
76,McPherson,35.0,29180.0,1.0
77,Marion,35.0,12660.0,1.0
78,Marshall,1.0,3451.0,0.341
79,Marshall,36.0,6666.0,0.659
80,Meade,38.0,4575.0,1.0
81,Miami,12.0,8398.0,0.256
82,Miami,37.0,24389.0,0.744
83,Mitchell,36.0,6373.0,1.0
84,Montgomery,14.0,616.0,0.017
85,Montgomery,15.0,34855.0,0.983
86,Morris,35.0,5923.0,1.0
87,Morton,39.0,3233.0,1.0
