,Parish,SD #,"SD Pop.
in Parish","% of Parish
in SD"
0,Acadia,25.0,33069.0,0.535
1,Acadia,26.0,22687.0,0.367
2,Acadia,28.0,6017.0,0.097
3,Allen,28.0,25764.0,1.0
4,Ascension,2.0,19400.0,0.181
5,Ascension,18.0,87815.0,0.819
6,Assumption,2.0,12397.0,0.529
7,Assumption,17.0,11024.0,0.471
8,Avoyelles,28.0,37746.0,0.897
9,Avoyelles,32.0,4327.0,0.103
10,Beauregard,30.0,35654.0,1.0
11,Bienville,29.0,6455.0,0.45
12,Bienville,36.0,7898.0,0.55
13,Bossier,36.0,58063.0,0.496
14,Bossier,37.0,58916.0,0.504
15,Caddo,37.0,51855.0,0.203
16,Caddo,38.0,85150.0,0.334
17,Caddo,39.0,117964.0,0.463
18,Calcasieu,25.0,48742.0,0.253
19,Calcasieu,27.0,118161.0,0.613
20,Calcasieu,30.0,25865.0,0.134
21,Caldwell,32.0,10132.0,1.0
22,Cameron,25.0,6839.0,1.0
23,Catahoula,32.0,10407.0,1.0
24,Claiborne,33.0,13340.0,0.776
25,Claiborne,36.0,3855.0,0.224
26,Concordia,32.0,13657.0,0.656
27,Concordia,34.0,7165.0,0.344
28,De Soto,38.0,26656.0,1.0
29,East Baton Rouge,6.0,66463.0,0.151
30,East Baton Rouge,13.0,6077.0,0.014
31,East Baton Rouge,14.0,115785.0,0.263
32,East Baton Rouge,15.0,119982.0,0.273
33,East Baton Rouge,16.0,118106.0,0.268
34,East Baton Rouge,17.0,13758.0,0.031
35,East Carroll,34.0,7759.0,1.0
36,East Feliciana,17.0,20267.0,1.0
37,Evangeline,28.0,33984.0,1.0
38,Franklin,32.0,20767.0,1.0
39,Grant,29.0,6086.0,0.273
40,Grant,31.0,2785.0,0.125
41,Grant,35.0,13438.0,0.602
42,Iberia,21.0,8289.0,0.113
43,Iberia,22.0,64951.0,0.887
44,Iberville,2.0,10438.0,0.313
45,Iberville,17.0,22949.0,0.687
46,Jackson,29.0,6138.0,0.377
47,Jackson,35.0,10136.0,0.623
48,Jefferson,3.0,30607.0,0.071
49,Jefferson,5.0,1524.0,0.004
50,Jefferson,7.0,46439.0,0.107
51,Jefferson,8.0,111724.0,0.258
52,Jefferson,9.0,105678.0,0.244
53,Jefferson,10.0,118865.0,0.275
54,Jefferson,19.0,17715.0,0.041
55,Jefferson Davis,25.0,31594.0,1.0
56,Lafayette,22.0,3476.0,0.016
57,Lafayette,23.0,120896.0,0.546
58,Lafayette,24.0,62458.0,0.282
59,Lafayette,26.0,34748.0,0.157
60,Lafourche,2.0,15837.0,0.164
61,Lafourche,19.0,17053.0,0.177
62,Lafourche,20.0,48130.0,0.5
63,Lafourche,21.0,15298.0,0.159
64,La Salle,32.0,14890.0,1.0
65,Lincoln,29.0,19530.0,0.418
66,Lincoln,33.0,4930.0,0.105
67,Lincoln,35.0,22275.0,0.477
68,Livingston,6.0,1769.0,0.014
69,Livingston,13.0,103674.0,0.81
70,Livingston,18.0,22583.0,0.176
71,Madison,34.0,12093.0,1.0
72,Morehouse,33.0,18789.0,0.672
73,Morehouse,34.0,9190.0,0.328
74,Natchitoches,29.0,11281.0,0.285
75,Natchitoches,31.0,28285.0,0.715
76,Orleans,1.0,1032.0,0.003
77,Orleans,3.0,59182.0,0.172
78,Orleans,4.0,110743.0,0.322
79,Orleans,5.0,108993.0,0.317
80,Orleans,7.0,51483.0,0.15
81,Orleans,9.0,12396.0,0.036
82,Ouachita,32.0,6099.0,0.04
83,Ouachita,33.0,42027.0,0.273
84,Ouachita,34.0,53240.0,0.346
85,Ouachita,35.0,52354.0,0.341
86,Plaquemines,1.0,1943.0,0.084
87,Plaquemines,7.0,12906.0,0.56
88,Plaquemines,8.0,8193.0,0.356
89,Pointe Coupee,17.0,22802.0,1.0
90,Rapides,29.0,62551.0,0.475
91,Rapides,31.0,40133.0,0.305
92,Rapides,32.0,17375.0,0.132
93,Rapides,35.0,11554.0,0.088
94,Red River,31.0,9091.0,1.0
95,Richland,32.0,710.0,0.034
96,Richland,34.0,20015.0,0.966
97,Sabine,31.0,24233.0,1.0
98,St. Bernard,1.0,14693.0,0.409
99,St. Bernard,3.0,21204.0,0.591
100,St. Charles,2.0,1302.0,0.025
101,St. Charles,19.0,51478.0,0.975
102,St. Helena,6.0,3970.0,0.354
103,St. Helena,17.0,7233.0,0.646
104,St. James,2.0,17062.0,0.772
105,St. James,18.0,5040.0,0.228
106,St. John the Baptist,2.0,20874.0,0.455
107,St. John the Baptist,19.0,25050.0,0.545
108,St. Landry,22.0,7310.0,0.088
109,St. Landry,24.0,54031.0,0.648
110,St. Landry,26.0,5822.0,0.07
111,St. Landry,28.0,16221.0,0.195
112,St. Martin,17.0,1443.0,0.028
113,St. Martin,22.0,46038.0,0.883
114,St. Martin,24.0,4679.0,0.09
115,St. Mary,21.0,54650.0,1.0
116,St. Tammany,1.0,101985.0,0.436
117,St. Tammany,11.0,106651.0,0.456
118,St. Tammany,12.0,25104.0,0.107
119,Tangipahoa,6.0,47822.0,0.395
120,Tangipahoa,11.0,15019.0,0.124
121,Tangipahoa,12.0,49049.0,0.405
122,Tangipahoa,13.0,9207.0,0.076
123,Tensas,34.0,5252.0,1.0
124,Terrebonne,20.0,68112.0,0.609
125,Terrebonne,21.0,43748.0,0.391
126,Union,33.0,22721.0,1.0
127,Vermilion,26.0,57999.0,1.0
128,Vernon,30.0,52334.0,1.0
129,Washington,12.0,47168.0,1.0
130,Webster,36.0,41207.0,1.0
131,West Baton Rouge,2.0,13964.0,0.587
132,West Baton Rouge,17.0,9824.0,0.413
133,West Carroll,33.0,11604.0,1.0
134,West Feliciana,17.0,1741.0,0.111
135,West Feliciana,32.0,13884.0,0.889
136,Winn,29.0,6118.0,0.4
137,Winn,31.0,6350.0,0.415
138,Winn,35.0,2845.0,0.186
