,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Androscoggin,18.0,5282.0,0.049
1,Androscoggin,20.0,34069.0,0.316
2,Androscoggin,21.0,36592.0,0.34
3,Androscoggin,22.0,31759.0,0.295
4,Aroostook,1.0,36736.0,0.511
5,Aroostook,2.0,35134.0,0.489
6,Cumberland,19.0,13531.0,0.048
7,Cumberland,20.0,5542.0,0.02
8,Cumberland,24.0,37936.0,0.135
9,Cumberland,25.0,39293.0,0.139
10,Cumberland,26.0,36583.0,0.13
11,Cumberland,27.0,39803.0,0.141
12,Cumberland,28.0,39669.0,0.141
13,Cumberland,29.0,36452.0,0.129
14,Cumberland,30.0,32865.0,0.117
15,Franklin,17.0,30768.0,1.0
16,Hancock,6.0,3507.0,0.064
17,Hancock,7.0,38843.0,0.714
18,Hancock,8.0,12068.0,0.222
19,Kennebec,3.0,1010.0,0.008
20,Kennebec,13.0,2575.0,0.021
21,Kennebec,14.0,37144.0,0.304
22,Kennebec,15.0,38252.0,0.313
23,Kennebec,16.0,31818.0,0.26
24,Kennebec,17.0,6539.0,0.054
25,Kennebec,22.0,4813.0,0.039
26,Knox,12.0,38209.0,0.962
27,Knox,13.0,1527.0,0.038
28,Lincoln,13.0,32785.0,0.951
29,Lincoln,23.0,1672.0,0.049
30,Oxford,18.0,32444.0,0.561
31,Oxford,19.0,25389.0,0.439
32,Penobscot,2.0,4295.0,0.028
33,Penobscot,4.0,9297.0,0.06
34,Penobscot,5.0,38415.0,0.25
35,Penobscot,8.0,27078.0,0.176
36,Penobscot,9.0,38455.0,0.25
37,Penobscot,10.0,36383.0,0.236
38,Piscataquis,4.0,17535.0,1.0
39,Sagadahoc,23.0,35293.0,1.0
40,Somerset,3.0,35890.0,0.687
41,Somerset,4.0,9603.0,0.184
42,Somerset,16.0,6735.0,0.129
43,Waldo,11.0,38786.0,1.0
44,Washington,6.0,32856.0,1.0
45,York,30.0,6940.0,0.035
46,York,31.0,36194.0,0.184
47,York,32.0,38101.0,0.193
48,York,33.0,38874.0,0.197
49,York,34.0,38419.0,0.195
50,York,35.0,38603.0,0.196
