,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Alcona,36.0,10942.0,1.0
1,Alger,38.0,9601.0,1.0
2,Allegan,26.0,111408.0,1.0
3,Alpena,36.0,29598.0,1.0
4,Antrim,37.0,23580.0,1.0
5,Arenac,36.0,15899.0,1.0
6,Baraga,38.0,8860.0,1.0
7,Barry,19.0,59173.0,1.0
8,Bay,31.0,107771.0,1.0
9,Benzie,35.0,17525.0,1.0
10,Berrien,21.0,156813.0,1.0
11,Branch,16.0,45248.0,1.0
12,Calhoun,19.0,136146.0,1.0
13,Cass,21.0,52293.0,1.0
14,Charlevoix,37.0,25949.0,1.0
15,Cheboygan,37.0,26152.0,1.0
16,Chippewa,37.0,38520.0,1.0
17,Clare,33.0,30926.0,1.0
18,Clinton,24.0,75382.0,1.0
19,Crawford,35.0,14074.0,1.0
20,Delta,38.0,37069.0,1.0
21,Dickinson,38.0,26168.0,1.0
22,Eaton,24.0,107759.0,1.0
23,Emmet,37.0,32694.0,1.0
24,Genesee,14.0,105353.0,0.247
25,Genesee,27.0,252670.0,0.593
26,Genesee,32.0,67767.0,0.159
27,Gladwin,36.0,25692.0,1.0
28,Gogebic,38.0,16427.0,1.0
29,Grand Traverse,37.0,86986.0,1.0
30,Gratiot,33.0,42476.0,1.0
31,Hillsdale,16.0,46688.0,1.0
32,Houghton,38.0,36628.0,1.0
33,Huron,25.0,33118.0,1.0
34,Ingham,23.0,265110.0,0.944
35,Ingham,24.0,15785.0,0.056
36,Ionia,19.0,63905.0,1.0
37,Iosco,36.0,25887.0,1.0
38,Iron,38.0,11817.0,1.0
39,Isabella,33.0,70311.0,1.0
40,Jackson,16.0,160248.0,1.0
41,Kalamazoo,20.0,250331.0,1.0
42,Kalkaska,35.0,17153.0,1.0
43,Kent,26.0,73855.0,0.123
44,Kent,28.0,257943.0,0.428
45,Kent,29.0,270824.0,0.449
46,Keweenaw,38.0,2156.0,1.0
47,Lake,35.0,11539.0,1.0
48,Lapeer,31.0,88319.0,1.0
49,Leelanau,35.0,21708.0,1.0
50,Lenawee,17.0,99892.0,1.0
51,Livingston,22.0,180967.0,1.0
52,Luce,37.0,6631.0,1.0
53,Mackinac,37.0,11113.0,1.0
54,Macomb,8.0,270697.0,0.322
55,Macomb,9.0,271123.0,0.322
56,Macomb,10.0,271474.0,0.323
57,Macomb,25.0,27684.0,0.033
58,Manistee,35.0,24733.0,1.0
59,Marquette,38.0,67077.0,1.0
60,Mason,35.0,28705.0,1.0
61,Mecosta,33.0,42798.0,1.0
62,Menominee,38.0,24029.0,1.0
63,Midland,36.0,83629.0,1.0
64,Missaukee,35.0,14849.0,1.0
65,Monroe,17.0,152021.0,1.0
66,Montcalm,33.0,63342.0,1.0
67,Montmorency,36.0,9765.0,1.0
68,Muskegon,34.0,172188.0,1.0
69,Newaygo,34.0,48460.0,1.0
70,Oakland,8.0,7.0,0.0
71,Oakland,11.0,272444.0,0.227
72,Oakland,12.0,255840.0,0.213
73,Oakland,13.0,272689.0,0.227
74,Oakland,14.0,143402.0,0.119
75,Oakland,15.0,257980.0,0.215
76,Oceana,34.0,26570.0,1.0
77,Ogemaw,35.0,21699.0,1.0
78,Ontonagon,38.0,6780.0,1.0
79,Osceola,35.0,23528.0,1.0
80,Oscoda,36.0,8640.0,1.0
81,Otsego,36.0,24164.0,1.0
82,Ottawa,30.0,263801.0,1.0
83,Presque Isle,36.0,13376.0,1.0
84,Roscommon,35.0,24449.0,1.0
85,Saginaw,32.0,200169.0,1.0
86,St. Clair,25.0,163040.0,1.0
87,St. Joseph,21.0,61295.0,1.0
88,Sanilac,25.0,43114.0,1.0
89,Schoolcraft,38.0,8485.0,1.0
90,Shiawassee,24.0,70648.0,1.0
91,Tuscola,31.0,55729.0,1.0
92,Van Buren,26.0,76258.0,1.0
93,Washtenaw,18.0,272524.0,0.79
94,Washtenaw,22.0,72267.0,0.21
95,Wayne,1.0,254980.0,0.14
96,Wayne,2.0,254986.0,0.14
97,Wayne,3.0,254934.0,0.14
98,Wayne,4.0,254994.0,0.14
99,Wayne,5.0,260266.0,0.143
100,Wayne,6.0,267819.0,0.147
101,Wayne,7.0,272600.0,0.15
102,Wayne,8.0,5.0,0.0
103,Wexford,35.0,32735.0,1.0
