,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Aitkin,10.0,16202.0,1.0
1,Anoka,31.0,58403.0,0.177
2,Anoka,35.0,79047.0,0.239
3,Anoka,36.0,29159.0,0.088
4,Anoka,37.0,79239.0,0.24
5,Anoka,38.0,35559.0,0.107
6,Anoka,41.0,49437.0,0.149
7,Becker,2.0,18754.0,0.577
8,Becker,4.0,13750.0,0.423
9,Beltrami,2.0,18970.0,0.427
10,Beltrami,5.0,25472.0,0.573
11,Benton,13.0,15621.0,0.406
12,Benton,14.0,8042.0,0.209
13,Benton,15.0,14788.0,0.385
14,Big Stone,12.0,5269.0,1.0
15,Blue Earth,19.0,45380.0,0.709
16,Blue Earth,23.0,18633.0,0.291
17,Brown,16.0,25893.0,1.0
18,Carlton,11.0,35386.0,1.0
19,Carver,33.0,12049.0,0.132
20,Carver,47.0,78993.0,0.868
21,Cass,5.0,17934.0,0.628
22,Cass,9.0,10633.0,0.372
23,Chippewa,17.0,12441.0,1.0
24,Chisago,32.0,51002.0,0.946
25,Chisago,39.0,2885.0,0.054
26,Clay,4.0,58999.0,1.0
27,Clearwater,2.0,8695.0,1.0
28,Cook,3.0,5176.0,1.0
29,Cottonwood,22.0,11687.0,1.0
30,Crow Wing,10.0,62500.0,1.0
31,Dakota,51.0,79246.0,0.199
32,Dakota,52.0,79051.0,0.198
33,Dakota,54.0,31268.0,0.078
34,Dakota,56.0,52457.0,0.132
35,Dakota,57.0,79174.0,0.199
36,Dakota,58.0,77356.0,0.194
37,Dodge,21.0,1356.0,0.068
38,Dodge,24.0,1784.0,0.089
39,Dodge,25.0,14026.0,0.698
40,Dodge,27.0,2921.0,0.145
41,Douglas,8.0,23137.0,0.643
42,Douglas,12.0,12872.0,0.357
43,Faribault,23.0,10600.0,0.728
44,Faribault,27.0,3953.0,0.272
45,Fillmore,28.0,20866.0,1.0
46,Freeborn,27.0,31255.0,1.0
47,Goodhue,21.0,44247.0,0.958
48,Goodhue,58.0,1936.0,0.042
49,Grant,12.0,6018.0,1.0
50,Hennepin,29.0,426.0,0.0
51,Hennepin,30.0,609.0,0.001
52,Hennepin,33.0,67090.0,0.058
53,Hennepin,34.0,79811.0,0.069
54,Hennepin,36.0,49908.0,0.043
55,Hennepin,40.0,79066.0,0.069
56,Hennepin,41.0,5156.0,0.004
57,Hennepin,44.0,79109.0,0.069
58,Hennepin,45.0,78894.0,0.068
59,Hennepin,46.0,78789.0,0.068
60,Hennepin,48.0,79146.0,0.069
61,Hennepin,49.0,79263.0,0.069
