,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Adair,18.0,25607.0,1.0
1,Andrew,12.0,17291.0,1.0
2,Atchison,12.0,5685.0,1.0
3,Audrain,10.0,25529.0,1.0
4,Barry,29.0,35597.0,1.0
5,Barton,31.0,12402.0,1.0
6,Bates,31.0,17049.0,1.0
7,Benton,28.0,19056.0,1.0
8,Bollinger,27.0,12363.0,1.0
9,Boone,19.0,162642.0,1.0
10,Buchanan,34.0,89201.0,1.0
11,Butler,25.0,42794.0,1.0
12,Caldwell,21.0,9424.0,1.0
13,Callaway,10.0,44332.0,1.0
14,Camden,16.0,44002.0,1.0
15,Cape Girardeau,27.0,75674.0,1.0
16,Carroll,21.0,9295.0,1.0
17,Carter,25.0,6265.0,1.0
18,Cass,31.0,99478.0,1.0
19,Cedar,28.0,13982.0,1.0
20,Chariton,18.0,7831.0,1.0
21,Christian,20.0,77422.0,1.0
22,Clark,18.0,7139.0,1.0
23,Clay,12.0,45045.0,0.203
24,Clay,17.0,176894.0,0.797
25,Clinton,12.0,20743.0,1.0
26,Cole,6.0,75990.0,1.0
27,Cooper,19.0,17601.0,1.0
28,Crawford,16.0,24696.0,1.0
29,Dade,32.0,7883.0,1.0
30,Dallas,28.0,16777.0,1.0
31,Daviess,12.0,8433.0,1.0
32,DeKalb,12.0,12892.0,1.0
33,Dent,16.0,15657.0,1.0
34,Douglas,33.0,13684.0,1.0
35,Dunklin,25.0,31953.0,1.0
36,Franklin,26.0,101492.0,1.0
37,Gasconade,6.0,15222.0,1.0
38,Gentry,12.0,6738.0,1.0
39,Greene,20.0,98852.0,0.359
40,Greene,30.0,176322.0,0.641
41,Grundy,12.0,10261.0,1.0
42,Harrison,12.0,8957.0,1.0
43,Henry,31.0,22272.0,1.0
44,Hickory,28.0,9627.0,1.0
45,Holt,12.0,4912.0,1.0
46,Howard,21.0,10144.0,1.0
47,Howell,33.0,40400.0,1.0
48,Iron,3.0,10630.0,1.0
49,Jackson,7.0,168435.0,0.25
50,Jackson,8.0,168441.0,0.25
51,Jackson,9.0,168649.0,0.25
52,Jackson,11.0,168612.0,0.25
53,Jackson,31.0,21.0,0.0
54,Jasper,32.0,117404.0,1.0
55,Jefferson,3.0,47074.0,0.215
56,Jefferson,22.0,171659.0,0.785
57,Johnson,21.0,52595.0,1.0
58,Knox,18.0,4131.0,1.0
59,Laclede,28.0,35571.0,1.0
60,Lafayette,21.0,33381.0,1.0
61,Lawrence,29.0,38634.0,1.0
62,Lewis,18.0,10211.0,1.0
63,Lincoln,10.0,52566.0,1.0
64,Linn,18.0,12761.0,1.0
65,Livingston,21.0,15195.0,1.0
66,McDonald,29.0,23083.0,1.0
67,Macon,18.0,15566.0,1.0
68,Madison,27.0,12226.0,1.0
69,Maries,6.0,9176.0,1.0
70,Marion,18.0,28781.0,1.0
71,Mercer,12.0,3785.0,1.0
72,Miller,6.0,24748.0,1.0
73,Mississippi,25.0,14358.0,1.0
74,Moniteau,6.0,15607.0,1.0
75,Monroe,10.0,8840.0,1.0
76,Montgomery,10.0,12236.0,1.0
77,Morgan,6.0,20565.0,1.0
78,New Madrid,25.0,18956.0,1.0
79,Newton,32.0,58114.0,1.0
80,Nodaway,12.0,23370.0,1.0
81,Oregon,33.0,10881.0,1.0
82,Osage,6.0,13878.0,1.0
83,Ozark,33.0,9723.0,1.0
84,Pemiscot,25.0,18296.0,1.0
85,Perry,27.0,18971.0,1.0
86,Pettis,28.0,42201.0,1.0
87,Phelps,16.0,45156.0,1.0
88,Pike,18.0,18516.0,1.0
89,Platte,34.0,89322.0,1.0
90,Polk,28.0,31137.0,1.0
91,Pulaski,16.0,52274.0,1.0
92,Putnam,12.0,4979.0,1.0
93,Ralls,18.0,10167.0,1.0
94,Randolph,18.0,25414.0,1.0
95,Ray,21.0,23494.0,1.0
96,Reynolds,3.0,6696.0,1.0
97,Ripley,33.0,14100.0,1.0
98,St. Charles,2.0,181073.0,0.502
99,St. Charles,23.0,179412.0,0.498
100,St. Clair,28.0,9805.0,1.0
101,Ste. Genevieve,3.0,18145.0,1.0
102,St. Francois,3.0,65359.0,1.0
103,St. Louis,1.0,179604.0,0.18
104,St. Louis,4.0,33831.0,0.034
105,St. Louis,13.0,171967.0,0.172
106,St. Louis,14.0,171748.0,0.172
107,St. Louis,15.0,178835.0,0.179
108,St. Louis,24.0,181627.0,0.182
109,St. Louis,26.0,81342.0,0.081
110,Saline,21.0,23370.0,1.0
111,Schuyler,18.0,4431.0,1.0
112,Scotland,18.0,4843.0,1.0
113,Scott,27.0,39191.0,1.0
114,Shannon,25.0,8441.0,1.0
115,Shelby,18.0,6373.0,1.0
116,Stoddard,25.0,29968.0,1.0
117,Stone,29.0,32202.0,1.0
118,Sullivan,12.0,6714.0,1.0
119,Taney,29.0,51675.0,1.0
120,Texas,33.0,26008.0,1.0
121,Vernon,31.0,21159.0,1.0
122,Warren,10.0,32513.0,1.0
123,Washington,3.0,25195.0,1.0
124,Wayne,27.0,13521.0,1.0
125,Webster,33.0,36202.0,1.0
126,Worth,12.0,2171.0,1.0
127,Wright,33.0,18815.0,1.0
128,St. Louis city,4.0,142256.0,0.446
129,St. Louis city,5.0,177016.0,0.554
130,St. Louis city,13.0,22.0,0.0
