,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Adams,37.0,25050.0,0.776
1,Adams,38.0,7247.0,0.224
2,Alcorn,4.0,37057.0,1.0
3,Amite,37.0,7094.0,0.54
4,Amite,38.0,6037.0,0.46
5,Attala,14.0,6450.0,0.33
6,Attala,21.0,13114.0,0.67
7,Benton,3.0,8729.0,1.0
8,Bolivar,12.0,6418.0,0.188
9,Bolivar,13.0,21231.0,0.622
10,Bolivar,22.0,6496.0,0.19
11,Calhoun,8.0,14962.0,1.0
12,Carroll,14.0,10597.0,1.0
13,Chickasaw,8.0,17392.0,1.0
14,Choctaw,15.0,8547.0,1.0
15,Claiborne,36.0,9604.0,1.0
16,Clarke,33.0,16732.0,1.0
17,Clay,16.0,20634.0,1.0
18,Coahoma,11.0,21351.0,0.816
19,Coahoma,12.0,4800.0,0.184
20,Copiah,35.0,2450.0,0.083
21,Copiah,36.0,22909.0,0.778
22,Copiah,39.0,4090.0,0.139
23,Covington,41.0,19568.0,1.0
24,DeSoto,1.0,58854.0,0.365
25,DeSoto,2.0,58820.0,0.365
26,DeSoto,19.0,43578.0,0.27
27,Forrest,34.0,19819.0,0.264
28,Forrest,41.0,2080.0,0.028
29,Forrest,42.0,10705.0,0.143
30,Forrest,45.0,42330.0,0.565
31,Franklin,37.0,8118.0,1.0
32,George,43.0,22578.0,1.0
33,Greene,43.0,14400.0,1.0
34,Grenada,14.0,9504.0,0.434
35,Grenada,24.0,12402.0,0.566
36,Hancock,46.0,43929.0,1.0
37,Harrison,46.0,13810.0,0.074
38,Harrison,48.0,58961.0,0.315
39,Harrison,49.0,57821.0,0.309
40,Harrison,50.0,56513.0,0.302
41,Hinds,25.0,19045.0,0.078
42,Hinds,26.0,39442.0,0.161
43,Hinds,27.0,54449.0,0.222
44,Hinds,28.0,57480.0,0.234
45,Hinds,29.0,58509.0,0.239
46,Hinds,36.0,16360.0,0.067
47,Holmes,21.0,8262.0,0.43
48,Holmes,24.0,10936.0,0.57
49,Humphreys,22.0,5229.0,0.558
50,Humphreys,24.0,4146.0,0.442
51,Issaquena,23.0,1406.0,1.0
52,Itawamba,5.0,14583.0,0.623
53,Itawamba,6.0,3371.0,0.144
54,Itawamba,7.0,5447.0,0.233
55,Jackson,47.0,20867.0,0.149
56,Jackson,51.0,59854.0,0.429
57,Jackson,52.0,58947.0,0.422
58,Jasper,34.0,17062.0,1.0
59,Jefferson,36.0,7726.0,1.0
60,Jefferson Davis,41.0,12487.0,1.0
61,Jones,34.0,22816.0,0.337
62,Jones,42.0,44945.0,0.663
63,Kemper,32.0,10456.0,1.0
64,Lafayette,9.0,47351.0,1.0
65,Lamar,41.0,5167.0,0.093
66,Lamar,44.0,50491.0,0.907
67,Lauderdale,31.0,6663.0,0.083
68,Lauderdale,32.0,34693.0,0.432
69,Lauderdale,33.0,38905.0,0.485
70,Lawrence,39.0,12929.0,1.0
71,Leake,18.0,16400.0,0.689
72,Leake,21.0,7405.0,0.311
73,Lee,6.0,55944.0,0.675
74,Lee,7.0,20293.0,0.245
75,Lee,8.0,6673.0,0.08
76,Leflore,14.0,4774.0,0.148
77,Leflore,24.0,27543.0,0.852
78,Lincoln,39.0,34869.0,1.0
79,Lowndes,16.0,11933.0,0.2
80,Lowndes,17.0,47846.0,0.8
81,Madison,21.0,23601.0,0.248
82,Madison,22.0,14682.0,0.154
83,Madison,25.0,40158.0,0.422
84,Madison,26.0,16762.0,0.176
85,Marion,40.0,27088.0,1.0
86,Marshall,10.0,26443.0,0.712
87,Marshall,19.0,10701.0,0.288
88,Monroe,7.0,30508.0,0.825
89,Monroe,17.0,6481.0,0.175
90,Montgomery,14.0,6831.0,0.625
91,Montgomery,15.0,4094.0,0.375
92,Neshoba,18.0,29676.0,1.0
93,Newton,31.0,21720.0,1.0
94,Noxubee,16.0,7169.0,0.621
95,Noxubee,32.0,4376.0,0.379
96,Oktibbeha,15.0,32100.0,0.673
97,Oktibbeha,16.0,15571.0,0.327
98,Panola,9.0,11192.0,0.322
99,Panola,11.0,18177.0,0.524
100,Panola,14.0,5338.0,0.154
101,Pearl River,40.0,31832.0,0.57
102,Pearl River,44.0,3896.0,0.07
103,Pearl River,47.0,20106.0,0.36
104,Perry,45.0,12250.0,1.0
105,Pike,37.0,14991.0,0.371
106,Pike,38.0,25413.0,0.629
107,Pontotoc,3.0,21883.0,0.73
108,Pontotoc,8.0,8074.0,0.27
109,Prentiss,5.0,25276.0,1.0
110,Quitman,11.0,8223.0,1.0
111,Rankin,20.0,57094.0,0.403
112,Rankin,30.0,55905.0,0.395
113,Rankin,35.0,28618.0,0.202
114,Scott,31.0,28264.0,1.0
115,Sharkey,22.0,4916.0,1.0
116,Simpson,35.0,27503.0,1.0
117,Smith,41.0,16491.0,1.0
118,Stone,47.0,17786.0,1.0
119,Sunflower,13.0,29450.0,1.0
120,Tallahatchie,13.0,7235.0,0.47
121,Tallahatchie,14.0,5965.0,0.388
122,Tallahatchie,24.0,2178.0,0.142
123,Tate,10.0,28886.0,1.0
124,Tippah,4.0,22232.0,1.0
125,Tishomingo,5.0,19593.0,1.0
126,Tunica,11.0,10778.0,1.0
127,Union,3.0,27134.0,1.0
128,Walthall,38.0,10908.0,0.706
129,Walthall,39.0,4535.0,0.294
130,Warren,23.0,48773.0,1.0
131,Washington,12.0,43092.0,0.843
132,Washington,22.0,8045.0,0.157
133,Wayne,43.0,20747.0,1.0
134,Webster,15.0,10253.0,1.0
135,Wilkinson,38.0,9878.0,1.0
136,Winston,18.0,9343.0,0.487
137,Winston,32.0,9855.0,0.513
138,Yalobusha,8.0,7849.0,0.619
139,Yalobusha,14.0,4829.0,0.381
140,Yazoo,21.0,2180.0,0.078
141,Yazoo,22.0,19470.0,0.694
142,Yazoo,23.0,6415.0,0.229
