,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Beaverhead,36.0,9246.0,1.0
1,Big Horn,21.0,12865.0,1.0
2,Blaine,16.0,4490.0,0.692
3,Blaine,17.0,2001.0,0.308
4,Broadwater,35.0,5612.0,1.0
5,Carbon,29.0,10078.0,1.0
6,Carter,19.0,1160.0,1.0
7,Cascade,10.0,19875.0,0.244
8,Cascade,11.0,19753.0,0.243
9,Cascade,12.0,19659.0,0.242
10,Cascade,13.0,19910.0,0.245
11,Cascade,14.0,1239.0,0.015
12,Cascade,15.0,891.0,0.011
13,Chouteau,14.0,4546.0,0.782
14,Chouteau,16.0,1267.0,0.218
15,Custer,19.0,11037.0,0.943
16,Custer,20.0,662.0,0.057
17,Daniels,17.0,1751.0,1.0
18,Dawson,18.0,8966.0,1.0
19,Deer Lodge,39.0,9298.0,1.0
20,Fallon,19.0,2890.0,1.0
21,Fergus,15.0,11586.0,1.0
22,Flathead,2.0,19896.0,0.219
23,Flathead,3.0,19822.0,0.218
24,Flathead,4.0,19944.0,0.219
25,Flathead,5.0,17738.0,0.195
26,Flathead,6.0,9988.0,0.11
27,Flathead,7.0,3535.0,0.039
28,Flathead,8.0,5.0,0.0
29,Gallatin,30.0,530.0,0.006
30,Gallatin,31.0,19737.0,0.22
31,Gallatin,32.0,19820.0,0.221
32,Gallatin,33.0,19542.0,0.218
33,Gallatin,34.0,19910.0,0.222
34,Gallatin,35.0,9974.0,0.111
35,Garfield,19.0,1206.0,1.0
36,Glacier,8.0,11646.0,0.869
37,Glacier,9.0,1753.0,0.131
38,Golden Valley,15.0,884.0,1.0
39,Granite,39.0,3079.0,1.0
40,Hill,14.0,11751.0,0.73
41,Hill,16.0,2920.0,0.181
42,Hill,17.0,1425.0,0.089
43,Jefferson,36.0,1519.0,0.133
44,Jefferson,38.0,9887.0,0.867
45,Judith Basin,15.0,2072.0,1.0
46,Lake,5.0,2151.0,0.075
47,Lake,6.0,9886.0,0.344
48,Lake,8.0,6805.0,0.237
49,Lake,47.0,9904.0,0.345
50,Lewis and Clark,9.0,1249.0,0.02
51,Lewis and Clark,35.0,4322.0,0.068
52,Lewis and Clark,40.0,18247.0,0.288
53,Lewis and Clark,41.0,19748.0,0.312
54,Lewis and Clark,42.0,19829.0,0.313
55,Liberty,14.0,2339.0,1.0
56,Lincoln,1.0,19687.0,1.0
57,McCone,19.0,1734.0,1.0
58,Madison,36.0,7691.0,1.0
59,Meagher,15.0,1891.0,1.0
60,Mineral,7.0,4223.0,1.0
61,Missoula,7.0,797.0,0.007
62,Missoula,45.0,19714.0,0.18
63,Missoula,46.0,19843.0,0.182
64,Missoula,47.0,9821.0,0.09
65,Missoula,48.0,19684.0,0.18
66,Missoula,49.0,19798.0,0.181
67,Missoula,50.0,19642.0,0.18
68,Musselshell,20.0,4538.0,1.0
69,Park,30.0,15636.0,1.0
70,Petroleum,15.0,494.0,1.0
71,Phillips,16.0,1123.0,0.264
72,Phillips,17.0,3130.0,0.736
73,Pondera,8.0,748.0,0.122
74,Pondera,9.0,5405.0,0.878
75,Powder River,19.0,815.0,0.468
76,Powder River,21.0,928.0,0.532
77,Powell,39.0,5467.0,0.778
78,Powell,40.0,1560.0,0.222
79,Prairie,19.0,1179.0,1.0
80,Ravalli,43.0,20105.0,0.5
81,Ravalli,44.0,20107.0,0.5
82,Richland,18.0,9746.0,1.0
83,Roosevelt,16.0,8350.0,0.801
84,Roosevelt,17.0,2075.0,0.199
85,Rosebud,20.0,4605.0,0.499
86,Rosebud,21.0,4628.0,0.501
87,Sanders,7.0,11413.0,1.0
88,Sheridan,17.0,3384.0,1.0
89,Silver Bow,36.0,1784.0,0.052
90,Silver Bow,37.0,20097.0,0.588
91,Silver Bow,38.0,10056.0,0.294
92,Silver Bow,39.0,2263.0,0.066
93,Stillwater,29.0,9117.0,1.0
94,Sweet Grass,29.0,519.0,0.142
95,Sweet Grass,30.0,3132.0,0.858
96,Teton,9.0,6073.0,1.0
97,Toole,9.0,5324.0,1.0
98,Treasure,20.0,718.0,1.0
99,Valley,16.0,1491.0,0.202
100,Valley,17.0,5878.0,0.798
101,Wheatland,15.0,2168.0,1.0
102,Wibaux,18.0,1017.0,1.0
103,Yellowstone,20.0,9346.0,0.063
104,Yellowstone,21.0,778.0,0.005
105,Yellowstone,22.0,19706.0,0.133
106,Yellowstone,23.0,19738.0,0.133
107,Yellowstone,24.0,19577.0,0.132
108,Yellowstone,25.0,19580.0,0.132
109,Yellowstone,26.0,19676.0,0.133
110,Yellowstone,27.0,19802.0,0.134
111,Yellowstone,28.0,19769.0,0.134
